ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
35127;Minister of Security;ギリェルモ・ローテ;44;PA;Crooked Kleptocrat;Medium;M35074;x
35129;Minister of Security;エドゥアルド・ミヤ・ベルムデス;47;PA;Efficient Sociopath;Medium;M35070;x
35130;Minister of Security;ロベルト・M・オルティス;36;FA;Back Stabber;Medium;M35039;x
35131;Minister of Security;オルテンシオ・キハーノ;38;FA;Efficient Sociopath;Very Low;M35015;x
35132;Minister of Security;アウグスト・ディアス・ブスタン;40;FA;Silent Lawyer;High;M35101;x
35133;Minister of Security;アントニオ・ルイス・ディアス;45;LWR;Crooked Kleptocrat;Very Low;M35025;x
35134;Minister of Security;エバ・ペロン;47;LWR;Man of the People;Very High;M35134;x
35135;Head of Military Intelligence;ディオヘネス・タボアダ;36;SC;Industrial Specialist;Medium;M35135;x
35136;Head of Military Intelligence;マヌエル・マリア・デ・イリオンド;40;SC;Political Specialist;Medium;M35034;x
35137;Head of Military Intelligence;ラモン・カスティリョ;42;SC;Dismal Enigma;Medium;M35005;x
35139;Head of Military Intelligence;アグスティン・ロドリゲス;36;SL;Political Specialist;High;M35087;x
35140;Head of Military Intelligence;ホルヘ・デ・ラ・トーレ;38;SL;Dismal Enigma;Medium;M35006;x
35141;Head of Military Intelligence;エルピディオ・ゴンサレス;40;SL;Technical Specialist;High;M35088;x
35142;Head of Military Intelligence;アルベルト・ヒルベルト;44;SL;Logistics Specialist;High;M35061;x
35143;Head of Military Intelligence;バルトロメオ・デ・ラ・コリーナ;46;SL;Industrial Specialist;Medium;M35095;x
35144;Head of Military Intelligence;バルダサッレ・バルディ・ヒメネス;36;SD;Logistics Specialist;High;M35037;x
35145;Head of Military Intelligence;オスカル・ベナビデス・ペレス;38;SD;Dismal Enigma;Medium;M35145;x
35146;Head of Military Intelligence;ウンベルト・ハシント・バスケス;40;SD;Industrial Specialist;Medium;M35138;x
35147;Head of Military Intelligence;ウリバルディ・ディアス・ブリテンベルク;40;SD;Technical Specialist;Medium;M35147;x
35148;Head of Military Intelligence;フェリペ・ウルダピリェタ;38;PA;Logistics Specialist;Medium;M35148;x
35149;Head of Military Intelligence;ロベルト・M・オルティス;39;PA;Industrial Specialist;Medium;M35039;x
35150;Head of Military Intelligence;アドルフォ・ラウソン・ブスタマンテ;40;PA;Naval Intelligence Specialist;High;M35150;x
35151;Head of Military Intelligence;ウンベルト・ハシント・バスケス;43;PA;Industrial Specialist;Medium;M35138;x
35152;Head of Military Intelligence;ペドロ・グロッソ・ソト;36;FA;Dismal Enigma;Medium;M35016;x
35153;Head of Military Intelligence;ペドロ・S・カサル;45;LWR;Naval Intelligence Specialist;Medium;M35009;x
35154;Head of Military Intelligence;ホルヘ・ディ・パスクァーレ;47;LWR;Dismal Enigma;High;M35154;x
35155;Head of Military Intelligence;グスタボ・メンドーサ・クルティン;47;LWR;Industrial Specialist;Medium;M35038;x
35156;Chief of Staff;ホセ・マリア・サロベ;36;SC;School of Fire Support;Medium;M35156;x
35157;Chief of Staff;フェリペ・ウルダピリェタ;40;SC;School of Psychology;Medium;M35148;x
35158;Chief of Staff;ペドロ・パブロ・ラミレス;43;SC;School of Manoeuvre;Low;M35055;x
35160;Chief of Staff;フランシスコ・M・ベレス;36;SL;School of Fire Support;Low;M35160;x
35161;Chief of Staff;トマス・マルティネス;38;SL;School of Manoeuvre;Very High;M35161;x
35164;Chief of Staff;ファン・ブランコ・カレラ;46;SL;School of Defence;High;M35164;x
35165;Chief of Staff;ファン・ドミンゴ・ペロン;36;SD;School of Psychology;High;M35162;x
35166;Chief of Staff;ホルヘ・マニ;40;SD;School of Mass Combat;High;M35159;x
35167;Chief of Staff;カルロス・O・マルケス;38;PA;School of Mass Combat;Low;M35017;x
35168;Chief of Staff;エデルミロ・ファレル;43;SC;School of Psychology;High;M35041;x
35169;Chief of Staff;カルロス・フォン・デル・ベッケ;46;PA;School of Defence;Low;M35169;x
35171;Chief of Staff;パブロ・サン・マルティン;45;LWR;School of Defence;Medium;M35027;x
35172;Chief of Staff;パウル・カステックス・ラインフォルド;47;LWR;School of Psychology;Medium;M35172;x
35173;Chief of Army;アグスティン・P・フスト;36;SC;Elastic Defence Doctrine;High;M35001;x
35174;Chief of Army;ラウレアノ・アナヤ;38;SC;Armoured Spearhead Doctrine;Very High;M35174;x
35178;Chief of Army;トマス・マルティネス;38;SL;Guns and Butter Doctrine;Very High;M35161;x
35179;Chief of Army;ファン・ドミンゴ・ペロン;40;SL;Decisive Battle Doctrine;Medium;M35028;x
35180;Chief of Army;ファン・ブランコ・カレラ;44;SL;Static Defence Doctrine;High;M35164;x
35182;Chief of Army;エリベルト・ラ・ガリネ;36;SD;Static Defence Doctrine;High;M35029;x
35183;Chief of Army;フランシスコ・M・ベレス;40;SD;Elastic Defence Doctrine;Low;M35160;x
35184;Chief of Army;マヌエル・サビオ;38;PA;Static Defence Doctrine;High;M35176;x
35185;Chief of Army;カルロス・O・マルケス;40;PA;Decisive Battle Doctrine;Very High;M35017;x
35186;Chief of Army;ペドロ・パブロ・ラミレス;42;PA;Guns and Butter Doctrine;Low;M35055;x
35187;Chief of Army;エンリケ・モソコニ;44;PA;Armoured Spearhead Doctrine;Low;M35187;x
35189;Chief of Army;ファン・ドミンゴ・ペロン;45;LWR;Armoured Spearhead Doctrine;Medium;M35028;x
35190;Chief of Navy;エレアサル・ビデラ;36;SC;Decisive Naval Battle Doctrine;High;M35190;x
35192;Chief of Navy;ルイス・シルバ・カラスコ;44;SC;Power Projection Doctrine;Low;M35192;x
35193;Chief of Navy;エルピディオ・ゴンサレス;36;SL;Base Control Doctrine;High;M35088;x
35195;Chief of Navy;エリベルト・ラ・ガリネ;40;SL;Indirect Approach Doctrine;High;M35029;x
35196;Chief of Navy;ファン・P・ペデモンテ;44;SL;Power Projection Doctrine;High;M35196;x
35197;Chief of Navy;カルロス・プタリャ・ビグノロ;46;SL;Open Seas Doctrine;High;M35197;x
35198;Chief of Navy;ルオゴ・カバリエリ;36;SD;Base Control Doctrine;High;M35198;x
35200;Chief of Navy;レオン・サンチェス・スカッソ;38;PA;Open Seas Doctrine;Very High;M35200;x
35201;Chief of Navy;ペドロ・パブロ・ラミレス;40;PA;Base Control Doctrine;Low;M35126;x
35202;Chief of Navy;ペドロ・グロッソ・ソト;44;PA;Indirect Approach Doctrine;Low;M35016;x
35207;Chief of Air Force;レオポルド・メロ;38;SC;Naval Aviation Doctrine;Medium;M35112;x
35208;Chief of Air Force;オスカル・ムラトリオ;40;SC;Vertical Envelopment Doctrine;Very High;M35208;x
35210;Chief of Air Force;ホセ・タンボルニ;36;SL;Army Aviation Doctrine;High;M35089;x
35211;Chief of Air Force;ホルヘ・マニ;38;SL;Air Superiority Doctrine;High;M35159;x
35212;Chief of Air Force;エクトル・デ・リバ;40;SL;Naval Aviation Doctrine;Medium;M35030;x
35214;Chief of Air Force;バルトロメオ・デ・ラ・コリーナ;46;SL;Vertical Envelopment Doctrine;Medium;M35095;x
35215;Chief of Air Force;オスカル・ベナビデス・ペレス;36;SD;Naval Aviation Doctrine;Medium;M35145;x
35216;Chief of Air Force;ウリバルディ・ディアス・ブリテンベルク;40;SD;Army Aviation Doctrine;Medium;M35147;x
35217;Chief of Air Force;アルベルト・ベルダケル;38;PA;Carpet Bombing Doctrine;Medium;M35213;x
35218;Chief of Air Force;カルロス・O・マルケス;40;PA;Vertical Envelopment Doctrine;Very High;M35017;x
35219;Chief of Air Force;カルロス・マウリノ;44;PA;Army Aviation Doctrine;Medium;M35020;x
35220;Chief of Air Force;ガブリエル・A・エルマンソン;46;PA;Air Superiority Doctrine;Medium;M35220;x
35223;Head of State;アドルフォ・ラウソン・ブスタマンテ;43;SC;Barking Buffoon;High;M35150;x
35224;Head of Government;アドルフォ・ラウソン・ブスタマンテ;43;SC;Old Admiral;High;M35150;x
35225;Foreign Minister;セグンド・R・ストルニ;43;SC;Iron Fisted Brute;High;M35225;x
35226;Minister of Armament;ベニート・スエイロ;43;SC;laissez-faire capitalist;High;M35226;x
35227;Minister of Security;ディエゴ・イシドロ・マソン;43;SC;Silent Lawyer;Medium;M35227;x
35228;Head of Military Intelligence;ビセンテ・ウィドラブラ・ウリベ;43;SC;Technical Specialist;Medium;M35228;x
35229;Chief of Army;アドルフォ・ラウソン・ブスタマンテ;41;SC;Decisive Battle Doctrine;Very High;M35150;x
35230;Chief of Navy;セグンド・R・ストルニ;43;SC;Open Seas Doctrine;High;M35225;x
35231;Head of State;ペドロ・パブロ・ラミレス;43;PA;Stern Imperialist;High;M35055;x
35232;Foreign Minister;イポリト・ヘスス・パス;49;LWR;Apologetic Clerk;High;M35232;x
35233;Foreign Minister;ヘロニモ・レモリーノ;51;LWR;The Cloak N Dagger Schemer;High;M35233;x
35234;Head of Military Intelligence;ヘロニモ・レモリーノ;49;LWR;Political Specialist;High;M35233;x
35235;Head of Government;アルベルト・ポデスタ・カステロ;49;SC;Corporate Suit;High;M35235;x
35236;Foreign Minister;アルベルト・ポデスタ・カステロ;49;SC;Biased Intellectual;High;M35235;x
35237;Chief of Army;ホセ・モリーナ・ゴメス;50;LWR;Decisive Battle Doctrine;Medium;L120020;x
