PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
42080;Foreign Minister;オラシオ・チリアニ・コトル;45;PA;Ideological Crusader;Medium;M42080;x
42081;Foreign Minister;アントニオ・アルベルト・タボアダ;46;SC;The Cloak N Dagger Schemer;Medium;M42081;x
42082;Foreign Minister;セサル・アウグスト・バスコンセリョス;47;PA;General Staffer;Medium;M42082;x
42083;Minister of Armament;リカルド・オドリオソラ;36;LWR;Resource Industrialist;Medium;M42051;x
42084;Minister of Armament;ホセ・エスティガリビア・インサウラルデ;37;SC;Military Entrepreneur;Medium;M42063;x
42085;Minister of Armament;フリオ・マヌエル・モラレス;39;SL;laissez-faire capitalist;Medium;M42085;x
42086;Minister of Armament;アレハンドロ・マリン;39;SD;Infantry Proponent;Medium;M42086;x
42087;Minister of Armament;ラブロ・マックス・インスフラン;40;PA;laissez-faire capitalist;Medium;M42044;x
42088;Minister of Armament;サルバドル・ビジャグラン・マフィオド;42;SC;Administrative Genius;Medium;M42054;x
42089;Minister of Armament;ファン・ナタリシオ・ゴンサレス;44;SC;Tank Proponent;Medium;M42089;x
42090;Minister of Armament;アリリオ・ウガルテ・ディアス;46;SC;Theoretical Scientist;Medium;M42090;x
42091;Minister of Security;ウリベ・チランドロ;36;SD;Silent Lawyer;Medium;M42091;x
42092;Minister of Security;エフライン・カルドソ;37;SL;Crime Fighter;Medium;M42045;x
42093;Minister of Security;フランシスコ・エスクリエス;39;SD;Man of the People;Medium;M42055;x
42094;Minister of Security;ビセンテ・マチュカ;40;PA;Prince of Terror;Medium;M42094;x
42095;Minister of Security;フスト・P・ベニテス;44;SC;Compassionate Gentleman;Medium;M42095;x
42096;Minister of Security;ルイス・デ・ガスペリ;46;SC;Silent Lawyer;Medium;M42096;x
42097;Head of Military Intelligence;ラファエル・ニエト;36;SD;Dismal Enigma;Medium;M42056;x
42098;Head of Military Intelligence;カルロス・ソーサ;37;SC;Naval Intelligence Specialist;Medium;M42098;x
42099;Head of Military Intelligence;ファン・テオドロ・デコウ;39;SL;Political Specialist;Medium;M42099;x
42100;Head of Military Intelligence;アウグスト・サルディバル;40;PA;Industrial Specialist;Medium;M42100;x
42101;Head of Military Intelligence;ウーゴ・エスティガリブア・エリセチェ;44;SC;Technical Specialist;Medium;M42046;x
42102;Head of Military Intelligence;ラウル・サペナ・パストル;46;SC;Dismal Enigma;Medium;M42102;x
42103;Chief of Staff;ラファエル・フランコ;36;SD;School of Manoeuvre;Medium;M42047;x
42104;Chief of Staff;マヌエル・T・アポンテ;37;SC;School of Fire Support;Medium;M42008;x
42105;Chief of Staff;イゲニオ・モリニゴ・マルティネス;39;SL;School of Mass Combat;Medium;M42105;x
42107;Chief of Staff;ホセ・レスカーノ;44;SC;School of Manoeuvre;Medium;M42107;x
42108;Chief of Army;ファン・マヌエル・フルトス;36;LWR;Elastic Defence Doctrine;Medium;M42006;x
42110;Chief of Army;イゲニオ・モリニゴ・マルティネス;39;SL;Decisive Battle Doctrine;Medium;M42064;x
42112;Chief of Army;イサイアス・バエス・アジェンデ;42;SC;Elastic Defence Doctrine;Medium;M42112;x
42113;Chief of Army;アマンシオ・パンプリエガ;44;SC;Guns and Butter Doctrine;Medium;M42048;x
42114;Chief of Army;アルフレド・ストレスナー・マティアウダ;46;SC;Armoured Spearhead Doctrine;Medium;M42114;x
42117;Chief of Navy;ファン・ステファニチ;39;SD;Power Projection Doctrine;Medium;M42049;x
42118;Chief of Navy;エンリコ・T・リッソ;40;PA;Indirect Approach Doctrine;Medium;M42118;x
42119;Chief of Navy;ヘスス・G・アラサ;44;SC;Base Control Doctrine;Medium;M42119;x
42122;Chief of Air Force;エルナン・ロハス・バルタサレ;39;SL;Vertical Envelopment Doctrine;Medium;M42050;x
42124;Chief of Air Force;エクトル・ベラスケス;44;SC;Army Aviation Doctrine;Medium;M42124;x
42041;Head of State;ルイス・アベリノ・アルガノ;36;FA;Powerhungry Demagogue;High;M42041;x
42042;Head of Government;ルイス・アベリノ・アルガノ;36;FA;old airmarshal;High;M42041;x
42051;Head of State;リカルド・オドリオソラ;36;LE;Weary Stiffneck;High;M42051;x
42052;Head of Government;リカルド・オドリオソラ;36;LE;Backroom Backstabber;High;M42051;x
42125;Head of State;ファン・マヌエル・フルトス;48;PA;Resigned Generalissimo;High;M42006;x
42126;Head of State;ファン・ナタリシオ・ゴンサレス;48;SC;Benevolent Gentleman;High;M42089;x
42127;Head of State;ライムンド・ロロン・ヴィラサンティ;49;PA;Benevolent Gentleman;High;M42069;x
42128;Head of State;フェリペ・モラス・ロペス;49;ML;Benevolent Gentleman;High;M42128;x
42129;Head of State;フェデリコ・チャべス;49;SC;Popular Figurehead;High;M42004;x
42130;Head of Government;アルフレド・ストレスナー・マティアウダ;49;SC;Old General;High;M42114;x
42131;Chief of Staff;ライムンド・ロロン・ヴィラサンティ;44;SC;School of Defence;Medium;L240022;x
42132;Head of Military Intelligence;フェリペ・モラス・ロペス;46;ML;Technical Specialist;Medium;M42128;x
42133;Minister of Armament;レミジオ・バスティア・マルティン;48;SC;Resource Industrialist;Medium;M42133;x
42134;Minister of Security;トマス・ロメロ・ペレイラ;50;PA;Prince of Terror;Medium;M42134;x
