SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62064;Minister of Armament;ディレク・プハジャヤナマ;45;SC;laissez-faire capitalist;Low;M62014;x
62065;Minister of Armament;プリーディー・パノムヨン;45;SC;Air to Ground Proponent;Low;M62005;x
62066;Minister of Armament;クワン・アパイウォン;46;ML;Infantry Proponent;Medium;M62036;x
62067;Minister of Armament;A・G・エリス;39;SC;Theoretical Scientist;Medium;M62016;x
62068;Minister of Armament;ティアリアン・フントラクール;46;PA;Tank Proponent;Medium;M62051;x
62069;Minister of Armament;ルアン・シンスソンクラームチャイ;46;PA;Air to Sea Proponent;Medium;M62069;x
62070;Minister of Armament;ファオ・ピーラレルト;46;PA;laissez-faire capitalist;Medium;M62024;x
62072;Minister of Security;チュエイ・マグハヴィプフラヤ;35;PA;Efficient Sociopath;Medium;M62072;x
62073;Minister of Security;プレーク・ピブーンソンクラーム;38;FA;Efficient Sociopath;High;M62007;x
62074;Minister of Security;プラヤー・パホンポンパユハセーナー;39;SC;Crime Fighter;Medium;M62002;x
62075;Minister of Security;スリセナ・サンパティシリ;43;FA;Silent Lawyer;Medium;M62075;x
62076;Minister of Security;ハ・サムプタシリ;44;PA;Back Stabber;Medium;M62003;x
62077;Minister of Security;セーニー・プラーモート;44;SC;Compassionate Gentleman;Medium;M62012;x
62078;Minister of Security;タウィー・ブンヤケート;45;SC;Man of the People;Medium;M62015;x
62079;Minister of Security;チット・ムンシルパ・シナディオドハラクサ;45;SC;Prince of Terror;Medium;M62079;x
62081;Minister of Security;チュアン・チャウェングサングソングクラム;46;PA;Silent Lawyer;Medium;M62081;x
62082;Minister of Security;サウォン・サムロングナワサワト;46;PA;Crime Fighter;Medium;M62029;x
62083;Minister of Security;ブング・スファチャヒアサイ;46;PA;Compassionate Gentleman;Medium;M62083;x
62084;Head of Military Intelligence;A・G・エリス;37;SC;Technical Specialist;Medium;M62016;x
62085;Head of Military Intelligence;プレーク・ピブーンソンクラーム;38;FA;Logistics Specialist;Medium;M62007;x
62086;Head of Military Intelligence;サワト・プティアナンズ;43;FA;Naval Intelligence Specialist;Medium;M62086;x
62087;Head of Military Intelligence;サーン・クリシュナムラ;44;PA;Industrial Specialist;Medium;M62057;x
62088;Head of Military Intelligence;ピア・チトナソングクフラ;45;SC;Political Specialist;Medium;M62026;x
62089;Head of Military Intelligence;チュアン・チャウェングサングソングクラム;45;ML;Dismal Enigma;Medium;M62081;x
62091;Chief of Staff;マングコン・フロミオシ;38;FA;School of Mass Combat;Medium;M62025;x
62092;Chief of Staff;シンドゥー・カマラナヴィン;44;PA;School of Psychology;Low;M62017;x
62093;Chief of Staff;チット・ムンシルパ・シナディオドハラクサ;45;SC;School of Defence;Low;M62079;x
62094;Chief of Staff;ジリ・ウィチトソングクラム;45;ML;School of Manoeuvre;Low;M62094;x
62095;Chief of Staff;スク・ナクロブ;46;PA;School of Fire Support;Medium;M62095;x
62096;Chief of Staff;サウォン・サムロングナワサワト;46;PA;School of Manoeuvre;Medium;M62029;x
62097;Chief of Army;マンフヤ・カンフィアロング;38;FA;Static Defence Doctrine;Medium;M62097;x
62098;Chief of Army;サウイ・ブンヤケト;44;PA;Guns and Butter Doctrine;Very High;M62098;x
62099;Chief of Army;シンドゥー・カマラナヴィン;45;SC;Elastic Defence Doctrine;Low;M62017;x
62100;Chief of Army;ピア・チトナソングクフラ;45;ML;Decisive Battle Doctrine;Low;M62026;x
62101;Chief of Army;ティアリアン・フントラクール;46;PA;Armoured Spearhead Doctrine;Medium;M62051;x
62102;Chief of Navy;サワト・プティアナンズ;38;FA;Power Projection Doctrine;Medium;M62086;x
62103;Chief of Navy;ピア・ウィチトチョラサイ;44;PA;Decisive Naval Battle Doctrine;Medium;M62055;x
62104;Chief of Navy;ピア・プリーチャチョラユドハ;45;SC;Indirect Approach Doctrine;Medium;M62019;x
62105;Chief of Navy;ルアン・チャムナナルサユサ;45;ML;Base Control Doctrine;Medium;M62105;x
62106;Chief of Navy;サウォン・サムロングナワサワト;46;PA;Open Seas Doctrine;Medium;M62029;x
62107;Chief of Air Force;ルアン・シンスソンクラームチャイ;38;FA;Naval Aviation Doctrine;Medium;M62069;x
62108;Chief of Air Force;ピア・チャレルマルキアルト;44;PA;Carpet Bombing Doctrine;Medium;M62061;x
62109;Chief of Air Force;ピア・サヤルンピカルト;45;SC;Air Superiority Doctrine;Medium;M62063;x
62110;Chief of Air Force;フラ・シルパサクラコルン;45;ML;Vertical Envelopment Doctrine;Medium;M62110;x
62111;Chief of Air Force;ルアン・カジソンクラーム;46;PA;Army Aviation Doctrine;Medium;M62111;x
62112;Head of State;ラーマ8世;35;FA;Popular Figurehead;High;M62001;x
62113;Head of Government;プレーク・ピブーンソンクラーム;48;SC;Backroom Backstabber;High;M62007;x
62114;Foreign Minister;ポット・サーラシン;48;SC;Great Compromiser;Medium;M62114;x
62200;Head of State;ラーマ9世;45;SC;Benevolent Gentleman;High;M62011;x
62201;Head of State;ラーマ9世;35;FA;Benevolent Gentleman;High;M62011;x
