ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
40080;Foreign Minister;ファン・デ・ディアス・メラ;44;SC;The Cloak N Dagger Schemer;Medium;M40015;x
40081;Foreign Minister;ルイス・ボサノ;37;PA;Ideological Crusader;Medium;M40081;x
40083;Foreign Minister;ベニグノ・アンドラーデ・フロレス;41;PA;General Staffer;Medium;M40007;x
40084;Minister of Armament;ホセ・マリア・ベラスコ・イバラ;37;SD;Infantry Proponent;Medium;M40068;x
40085;Minister of Armament;ネプタリ・ボノファス・アスカスビ;40;SD;Administrative Genius;Medium;M40028;x
40086;Minister of Armament;カルロス・アロセメナ・トーラ;41;SD;laissez-faire capitalist;High;M40038;x
40087;Minister of Armament;ニコラス・デルガド;47;SD;Tank Proponent;Medium;M40024;x
40088;Minister of Armament;アウレリオ・モスケラ・ナルバエス;38;SL;Battle Fleet Proponent;High;M40006;x
40089;Minister of Armament;アントニオ・ポンス・カンプサノ;39;SL;Corrupt Kleptocrat;Medium;M40037;x
40090;Minister of Armament;フェデリコ・パエス・チリボアガ;36;SL;Air to Sea Proponent;Medium;M40001;x
40091;Minister of Armament;ミケル・アンドラモンテ;44;SL;Air Superiority Proponent;Medium;M40074;x
40092;Minister of Armament;ファビアン・デル・カステリョ;37;SC;laissez-faire capitalist;Medium;M40004;x
40093;Minister of Armament;ファン・デ・ディアス・メラ;38;SC;Corrupt Kleptocrat;Medium;M40015;x
40094;Minister of Armament;ガロ・プラサ・ラッソ;40;SC;Resource Industrialist;High;M40094;x
40095;Minister of Armament;フリオ・モレノ・ペナエレーラ;43;SC;Theoretical Scientist;High;M40045;x
40096;Minister of Armament;イシドロ・アヨラ・クエバ;45;SC;Submarine Proponent;Medium;M40041;x
40097;Minister of Armament;カルロス・アロヨ・デル・リオ;47;SC;Air to Ground Proponent;Medium;M40040;x
40098;Minister of Armament;グスタベ・ウリアルテ;37;PA;Corrupt Kleptocrat;Low;M40014;x
40099;Minister of Armament;カルロス・M・ラレア;40;PA;Administrative Genius;Medium;M40042;x
40100;Minister of Security;カルロス・ゲバラ;37;SD;Man of the People;High;M40100;x
40101;Minister of Security;ファン・ビセンテ・トルヒリョ;41;SD;Efficient Sociopath;High;M40070;x
40102;Minister of Security;ホセ・マリア・ベラスコ・イバラ;45;SD;Back Stabber;Medium;M40068;x
40103;Minister of Security;アルベルト・モンタルボ・ペレス;37;SL;Back Stabber;Medium;M40103;x
40104;Minister of Security;グスタボ・ラス・サラス;41;SL;Crime Fighter;Medium;M40104;x
40105;Minister of Security;アントニオ・ポンス・マチャド;37;SC;Silent Lawyer;Low;M40105;x
40106;Minister of Security;カルロス・アロセメナ・トーラ;41;SC;Compassionate Gentleman;High;M40038;x
40107;Minister of Security;ラファエル・バスコネス;42;SC;Crime Fighter;Medium;M40077;x
40108;Minister of Security;イシドロ・アヨラ・クエバ;44;SC;Prince of Terror;Medium;M40041;x
40109;Minister of Security;ファン・デ・ディアス・メラ;47;SC;Crooked Kleptocrat;Medium;M40015;x
40110;Minister of Security;マヌエル・ボレロ・ゴンサレス;37;PA;Compassionate Gentleman;Medium;M40044;x
40111;Minister of Security;フリオ・モレノ・ペナエレーラ;38;PA;Man of the People;High;M40045;x
40112;Minister of Security;カミロ・ポンセ・エンリケス;47;SC;Crooked Kleptocrat;High;M40034;x
40113;Head of Military Intelligence;グスタボ・ベセラ・パス;37;LWR;Technical Specialist;Medium;M40021;x
40114;Head of Military Intelligence;ニコラス・デルガド;41;LWR;Naval Intelligence Specialist;Low;M40024;x
40115;Head of Military Intelligence;カルロス・マンチェノ・カハス;45;SD;Dismal Enigma;Low;M40048;x
40116;Head of Military Intelligence;アルベルト・ラレア・チリボアガ;38;SL;Logistics Specialist;Medium;M40003;x
40117;Head of Military Intelligence;ダビデ・フロレス;39;SL;Industrial Specialist;Medium;M40005;x
40118;Head of Military Intelligence;アントニオ・デ・ケバド;41;SL;Technical Specialist;Medium;M40118;x
40119;Head of Military Intelligence;ラモン・バケリソ・ダビラ;47;SL;Dismal Enigma;Medium;M40119;x
40120;Head of Military Intelligence;カルロス・M・ラレア;37;SC;Naval Intelligence Specialist;Medium;M40042;x
40121;Head of Military Intelligence;ラファエル・バスコネス;40;SC;Technical Specialist;Medium;M40077;x
40122;Head of Military Intelligence;フランシスコ・グアルデラス・ペレス;45;SC;Political Specialist;Medium;M40079;x
40123;Head of Military Intelligence;アウレリオ・モスケラ・ナルバエス;38;PA;Logistics Specialist;Medium;M40006;x
40124;Head of Military Intelligence;ギリェルモ・フレイレ・ポッソ;44;PA;Industrial Specialist;Medium;M40016;x
40125;Head of Military Intelligence;カルロス・マンチェノ・カハス;47;PA;Dismal Enigma;Low;M40048;x
40126;Chief of Staff;ルイス・ラレア・アルバ;37;LWR;School of Psychology;Low;M40027;x
40127;Chief of Staff;フリオ・サレム・ガリェゴス;44;SD;School of Fire Support;High;M40047;x
40129;Chief of Staff;ヒルベルト・エンリケス・ガリョ;38;SL;School of Manoeuvre;Low;M40008;x
40130;Chief of Staff;ラモン・バケリソ・ダビラ;39;SL;School of Fire Support;Medium;M40119;x
40131;Chief of Staff;ファン・デ・ディアス・メラ;37;SC;School of Psychology;Medium;M40015;x
40133;Chief of Staff;カルロス・M・ラレア;45;SC;School of Fire Support;Medium;M40042;x
40135;Chief of Staff;ウーゴ・エンダラ・ペナエレーラ;40;PA;School of Manoeuvre;Medium;M40019;x
40136;Chief of Staff;ギリェルモ・フレイレ・ポッソ;44;PA;School of Mass Combat;Medium;M40016;x
40137;Chief of Staff;カルロス・マンチェノ・カハス;47;PA;School of Fire Support;Low;M40048;x
40138;Chief of Army;ネプタリ・ボノファス・アスカスビ;37;LWR;Guns and Butter Doctrine;Medium;M40028;x
40139;Chief of Army;ラモン・バケリソ・ダビラ;41;SD;Static Defence Doctrine;Medium;M40139;x
40140;Chief of Army;カルロス・イダルゴ・ガルシア;45;SD;Armoured Spearhead Doctrine;Medium;M40140;x
40143;Chief of Army;ロドルフォ・ラレア・アルバ;47;SC;Static Defence Doctrine;Low;M40027;x
40148;Chief of Army;ルイス・カブレラ・セビリャ;40;PA;Armoured Spearhead Doctrine;Medium;M40018;x
40149;Chief of Army;ファン・パブロ・マルティネス・イグアルテ;47;PA;Elastic Defence Doctrine;Medium;M40149;x
40150;Chief of Navy;グスタボ・ベセラ・パス;37;LWR;Base Control Doctrine;Medium;M40021;x
40151;Chief of Navy;ホルヘ・エスコベド・ドゥアルテ;45;SD;Open Seas Doctrine;Medium;M40151;x
40153;Chief of Navy;ウーゴ・エンダラ・ペナエレーラ;41;SL;Indirect Approach Doctrine;Medium;M40019;x
40155;Chief of Navy;ラモン・モラン・バルベルデ;43;SC;Base Control Doctrine;Medium;M40155;x
40156;Chief of Navy;ウーゴ・エンダラ・ペナエレーラ;37;PA;Indirect Approach Doctrine;Medium;M40019;x
40157;Chief of Navy;ホルヘ・エスコベド・ドゥアルテ;44;PA;Open Seas Doctrine;Medium;M40151;x
40158;Chief of Air Force;ファン・バヤルド・トバル;37;LWR;Carpet Bombing Doctrine;Medium;M40030;x
40162;Chief of Air Force;フリオ・サレム・ガリェゴス;37;SC;Air Superiority Doctrine;High;M40047;x
40163;Chief of Air Force;ラモン・カストロ・ヒホン;37;PA;Air Superiority Doctrine;Medium;M40020;x
40165;Chief of Army;ウリアルテ・ファンキル・デルポンテ;39;SL;Elastic Defence Doctrine;Low;M40142;x
40168;Head of State;カルロス・アロヨ・デル・リオ;39;SL;Powerhungry Demagogue;High;M40040;x
40169;Head of Government;カルロス・アロヨ・デル・リオ;39;SL;Flamboyant Tough Guy;High;M40040;x
40170;Head of State;マリアーノ・スアレス・ベインティミリャ;47;SC;Benevolent Gentleman;High;M40168;x
40171;Head of Government;マリアーノ・スアレス・ベインティミリャ;39;SL;Happy Amateur;High;M40168;x
40172;Foreign Minister;アルベルト・ラレア・チリボアガ;36;PA;The Cloak N Dagger Schemer;Medium;M40003;x
40174;Foreign Minister;フリオ・トパル・ドノソ;41;SC;General Staffer;Medium;M40082;x
40175;Foreign Minister;フランシスコ・グアルデラス・ペレス;44;SD;Great Compromiser;Medium;M40079;x
40015;Minister of Security;ファン・デ・ディアス・メラ;36;PA;Crooked Kleptocrat;Medium;M40015;x
40176;Head of State;ガロ・プラサ・ラッソ;48;SC;Insignificant Layman;High;M40094;x
40177;Head of Government;ガロ・プラサ・ラッソ;48;SC;Silent Workhorse;High;M40094;x
