SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70086;Chief of Air Force;マリヌス・ヴァン・オスターケンプ;41;SC;Naval Aviation Doctrine;Low;M70053;x
70087;Chief of Air Force;S・P・レ・ルー;43;ML;Vertical Envelopment Doctrine;Low;M70043;x
70011;Head of State;J・F・ヴァン・レンズバーグ;36;FA;Resigned Generalissimo;High;M70011;x
70012;Head of Government;J・F・ヴァン・レンズバーグ;36;FA;Old General;High;M70011;x
70088;Head of State;E・G・ヤンセン;51;SL;Autocratic Charmer;High;M70036;x
70089;Head of State;E・G・ヤンセン;51;SC;Autocratic Charmer;High;M70036;x
70090;Minister of Armament;ヤン・C・スマッツ;39;ML;Military Entrepreneur;Very High;M70005;x
70091;Minister of Armament;F・C・エラスムス;48;SC;Submarine Proponent;Very High;M70063;x
70092;Minister of Security;H・G・ローレンス;43;ML;Prince of Terror;High;M70092;x
70093;Head of State;C・R・スワート;59;SC;Pig-headed Isolationist;High;M70057;x
70094;Head of State;C・R・スワート;59;SL;Pig-headed Isolationist;High;M70057;x
70095;Head of Government;ヨハネス・G・ストレイダム;54;SC;Backroom Backstabber;High;M70041;x
70096;Head of Government;ヘンドリック・F・フェルヴールト;58;SC;Ambitious Union Boss;High;M70055;x
70097;Head of Government;バロン・ド・ヴィリエ・グラフ;50;SL;Happy Amateur;High;M70097;x
70098;Foreign Minister;ヤコブス・デ・ビーア;50;SL;Great Compromiser;Very High;M70098;x
70099;Minister of Armament;F・C・エラスムス;52;SC;laissez-faire capitalist;Low;M70063;x
70100;Minister of Armament;ヨハネス・J・フーシェ;59;SC;Resource Industrialist;Low;M70100;x
70101;Minister of Security;ジョシュア・F・ナウデ;58;SC;Compassionate Gentleman;Low;M70076;x
70102;Minister of Security;ヨハネス・デ・クラーク;61;SC;Silent Lawyer;Low;M70102;x
70103;Minister of Security;ジョシュア・F・ナウデ;61;SL;Man of the People;High;M70076;x
