DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
16076;Minister of Security;エイギル・トゥーン・ヤコブセン;41;SL;Compassionate Gentleman;High;M16076;x
16077;Minister of Security;J・C・ユルゲンセン;45;SL;Man of the People;High;M16077;x
16078;Minister of Security;ハラルド・ペーターセン;38;SC;Crime Fighter;Very High;M16078;x
16079;Minister of Security;ディドリク・G・ニホルム;42;ML;Compassionate Gentleman;High;M16079;x
16080;Minister of Security;イーヴァル・スタム;45;ML;Crime Fighter;High;M16080;x
16081;Minister of Security;スヴェン・アスブリュン・ホルテン;46;SC;Prince of Terror;High;M16081;x
16082;Minister of Security;クヌート・バック;38;NS;Prince of Terror;Very Low;M16015;x
16083;Minister of Security;オットー・ボーヴェンシーペン;43;PA;Prince of Terror;Medium;M16045;x
16084;Minister of Security;アルトゥール・ダール;44;PA;Man of the People;Very High;M16084;x
16085;Minister of Security;ブルゲ・ハウマン;38;LWR;Efficient Sociopath;High;M16025;x
16086;Minister of Security;クヌート・イェスペルセン;45;ST;Man of the People;High;M16086;x
16087;Head of Military Intelligence;ラウスト・イェンセン・モルテセン;38;SL;Industrial Specialist;Very High;M16087;x
16088;Head of Military Intelligence;アイナール・ウクルム;42;SD;Dismal Enigma;Very High;M16088;x
16089;Head of Military Intelligence;ハルヴォール・ペーターセン;42;SL;Political Specialist;Very High;M16089;x
16090;Head of Military Intelligence;H・M・ルンディング;45;SL;Logistics Specialist;High;M16090;x
16091;Head of Military Intelligence;H・C・ハンセン;45;SD;Technical Specialist;Very High;M16091;x
16092;Head of Military Intelligence;ニールス・フレデリクセン;38;ML;Political Specialist;High;M16092;x
16093;Head of Military Intelligence;アクセル・リンヴァルド;42;ML;Dismal Enigma;High;M16093;x
16095;Head of Military Intelligence;ポール・ソマー;38;NS;Dismal Enigma;High;M16016;x
16096;Head of Military Intelligence;ゲオルグ・フレデリクセン;43;PA;Industrial Specialist;High;M16096;x
16097;Head of Military Intelligence;エイギル・ラーセン;38;ST;Naval Intelligence Specialist;High;M16026;x
16098;Head of Military Intelligence;ニールス・ボーア;45;LWR;Technical Specialist;Very High;M16071;x
16100;Chief of Staff;ハンス・A・ロルステッド;42;SD;School of Mass Combat;High;M16100;x
16101;Chief of Staff;ウィルヘルム・ネーベンダール;42;SL;School of Manoeuvre;High;M16101;x
16102;Chief of Staff;ヴィルヘルム・ラ・クール;45;SD;School of Psychology;High;M16102;x
16103;Chief of Staff;エッベ・グルッツ;38;ML;School of Psychology;Very High;M16103;x
16105;Chief of Staff;C・P・クリッシング;38;NS;School of Fire Support;Medium;M16017;x
16106;Chief of Staff;ウィルヘルム・ネーベンダール;44;PA;School of Manoeuvre;High;M16101;x
16107;Chief of Staff;スヴェン・ワグナー;38;LWR;School of Psychology;Low;M16027;x
16109;Chief of Army;ウィリアム・ヴァイン・プリオル;39;SL;Elastic Defence Doctrine;Medium;M16007;x
16110;Chief of Army;クリスティアン10世;42;SD;Decisive Battle Doctrine;Low;M16001;x
16111;Chief of Army;ペーター・クリスティアン・スコー;45;SD;Guns and Butter Doctrine;High;M16074;x
16112;Chief of Army;エッベ・グルッツ;38;ML;Static Defence Doctrine;Very High;M16103;x
16114;Chief of Army;ヘンリク・カウフマン;45;SC;Guns and Butter Doctrine;Low;M16114;x
16115;Chief of Army;F・フォン・シャルブルク;38;NS;Guns and Butter Doctrine;Low;M16018;x
16116;Chief of Army;アルトゥール・ダール;43;PA;Guns and Butter Doctrine;Very High;M16084;x
16117;Chief of Army;ブルゲ・ティング;38;LWR;Elastic Defence Doctrine;High;M16028;x
16119;Chief of Navy;オーエ・H・ヴェデル;42;SL;Open Seas Doctrine;Very High;M16119;x
16120;Chief of Navy;E・B・デ・クルクヴェコアー;43;SL;Power Projection Doctrine;High;M16120;x
16121;Chief of Navy;カールー・ハンメリク;38;ML;Decisive Naval Battle Doctrine;Very High;M16121;x
16123;Chief of Navy;ヤルマル・レクニッツァー;38;PA;Indirect Approach Doctrine;High;M16009;x
16124;Chief of Navy;セーレン・ブローセン;43;PA;Open Seas Doctrine;High;M16063;x
16126;Chief of Navy;クヌート・イェスペルセン;45;ST;Power Projection Doctrine;High;M16086;x
16128;Chief of Air Force;イェンス・オットー・クラッグ;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
16129;Chief of Air Force;カイ・バークステッド;45;SD;Air Superiority Doctrine;Very High;M16129;x
16131;Chief of Air Force;スヴェン・アスブリュン・ホルテン;42;ML;Carpet Bombing Doctrine;High;M16081;x
16134;Chief of Air Force;フリッツ・クラウセン;43;PA;Naval Aviation Doctrine;Very High;M16011;x
16135;Chief of Air Force;アクセル・ラーセン;38;ST;Air Superiority Doctrine;Very High;M16021;x
16137;Head of State;クリスティアン10世;36;ML;Weary Stiffneck;High;M16001;x
16138;Head of State;フレデリク9世;47;SD;Autocratic Charmer;High;M16138;x
16139;Head of State;フレデリク9世;47;ML;Autocratic Charmer;High;M16138;x
16140;Head of State;クヌート・バック;45;FA;Pig-headed Isolationist;High;M16015;x
16141;Head of Government;クヌート・バック;45;FA;Smiling Oilman;High;M16015;x
16142;Chief of Air Force;ポール・ソマー;45;FA;Army Aviation Doctrine;Very Low;M16016;x
16143;Head of Government;ハンス・ヘドトフト;47;SD;Happy Amateur;High;M16049;x
16144;Foreign Minister;グスタフ・ラスムセン;47;SD;Biased Intellectual;Medium;M16053;x
16145;Minister of Armament;H・C・ハンセン;47;SD;Submarine Proponent;High;M16091;x
16146;Minister of Security;アルシング・アンデルセン;47;SD;Compassionate Gentleman;High;M16004;x
16147;Head of Government;エリク・エリクセン;50;ML;Naive Optimist;High;M16147;x
16148;Minister of Armament;トーキル・クリステンセン;50;ML;Administrative Genius;High;M16148;x
16149;Minister of Security;アクセル・メラー;50;SC;Silent Lawyer;High;M16149;x
16150;Foreign Minister;H・C・ハンセン;53;SD;Ideological Crusader;Medium;M16091;x
16151;Minister of Armament;ヨハネス・キェルベール;53;SD;Military Entrepreneur;High;M16151;x
