CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
573028;Minister of Security;フランク・マリー・ディクソン;38;SC;Back Stabber;Medium;M573028;x
573029;Minister of Security;ジェームズ・H・プライス;39;SC;Prince of Terror;Medium;M573029;x
573030;Minister of Security;プレンティス・クーパー;41;SC;Crime Fighter;Medium;M573030;x
573031;Minister of Security;ミラード・フィルモア・コールドウェル・ジュニア;43;SC;Man of the People;Medium;M573031;x
573032;Minister of Security;ロイド・クロウ・スターク;43;SC;Efficient Sociopath;Medium;M573032;x
573033;Minister of Security;ジョセフ・メルヴィル・ブロートン;44;SC;Compassionate Gentleman;Medium;M573033;x
573034;Minister of Security;フォレスター・C・ドネル;45;SC;Crooked Kleptocrat;Medium;M573034;x
573035;Head of Military Intelligence;ユーリス・ディキッンソン・リヴァース;38;SC;Political Specialist;Medium;M573035;x
573036;Head of Military Intelligence;ガイ・ブラスフィールド・パーク;40;SC;Dismal Enigma;Medium;M573036;x
573037;Head of Military Intelligence;ゴードン・ウィーヴァー・ブラウニング;42;SC;Logistics Specialist;Medium;M573037;x
573038;Head of Military Intelligence;ベンジャミン・トラヴィス・レイニー;44;SC;Naval Intelligence Specialist;Medium;M573038;x
573039;Head of Military Intelligence;ホーマー・M・アドキンス;45;SC;Technical Specialist;Medium;M573039;x
573040;Chief of Staff;デニス・J・マーフリー;38;SC;School of Psychology;Medium;M573040;x
573041;Chief of Staff;ロスコー・マレー;40;SC;School of Fire Support;Medium;M573041;x
573042;Chief of Staff;ウィリアム・W・オースティン;44;SC;School of Manoeuvre;Medium;M573042;x
573043;Chief of Army;ジョン・ポーリン;40;SC;Decisive Battle Doctrine;Medium;M573043;x
573044;Chief of Army;フィールディング・ルイス・ライト;41;SC;Guns and Butter Doctrine;Medium;M573044;x
573045;Chief of Army;ジョン・J・ウィリアムズ;43;SC;Armoured Spearhead Doctrine;Medium;M573045;x
573046;Chief of Navy;ハロルド・アイザート;40;SC;Open Seas Doctrine;Medium;M573046;x
573047;Chief of Navy;シメオン・スレイヴンス・ウィリス;41;SC;Base Control Doctrine;Medium;M573047;x
573048;Chief of Navy;リチャード・パワーズ;42;SC;Power Projection Doctrine;Medium;M573048;x
573049;Chief of Air Force;フィリップ・アーデリー;40;SC;Carpet Bombing Doctrine;Medium;M573049;x
573050;Chief of Air Force;トーマス・ローリー・ベイリー;41;SC;Vertical Envelopment Doctrine;Medium;M573050;x
573051;Chief of Air Force;ジョン・フォーケンベリー;43;SC;Air Superiority Doctrine;Medium;M573051;x
573052;Head of State;ノーマン・トーマス;40;LWR;Insignificant Layman;High;M6021;x
573053;Head of Government;ジェームズ・キャノン;40;LWR;Smiling Oilman;High;M6056;x
573054;Foreign Minister;フロイド・B・オルソン;36;LWR;Ideological Crusader;Low;M6072;x
573055;Minister of Armament;ウィンダム・モーティマー;36;LWR;Resource Industrialist;Low;M6098;x
573056;Minister of Armament;レマート・ハリス;44;LWR;Resource Industrialist;Very High;M6101;x
573057;Minister of Armament;ワルター・ルーサー;46;LWR;Resource Industrialist;Very High;M6102;x
573058;Minister of Security;ウィリアム・アールト;36;LWR;Back Stabber;Medium;M6114;x
573059;Minister of Security;チャールズ・チャップリン;37;LWR;Man of the People;Medium;M6115;x
573060;Minister of Security;ダニエル・ホーン;42;LWR;Silent Lawyer;Medium;M6025;x
573061;Minister of Armament;ジョセフ・P・ラッシュ;36;LWR;Resource Industrialist;Very High;M6024;x
573062;Minister of Security;アーチボルド・マクリーシュ;39;LWR;Man of the People;Medium;M6200;x
573063;Foreign Minister;アーチボルド・マクリーシュ;39;LWR;Biased Intellectual;Medium;M6200;x
573064;Head of State;ダーリントン・フープス;44;LWR;Benevolent Gentleman;High;M6286;x
573065;Head of Government;サミュエル・H・フリードマン;49;LWR;Happy Amateur;Very High;M6287;x
573066;Head of Government;ジョセフ・P・ラッシュ;44;LE;Naive Optimist;High;M6024;x
573067;Foreign Minister;ジェームズ・ポール・ウォーバーグ;40;LE;Ideological Crusader;High;M6023;x
573068;Foreign Minister;ユージン・デニス;44;LE;Biased Intellectual;High;M6076;x
573069;Minister of Security;レイモンド・チャールズ・モーリー;39;LE;Prince of Terror;Low;M6116;x
573070;Minister of Security;ジョン・アブト;40;LE;Efficient Sociopath;Medium;M6029;x
573071;Minister of Security;ジェシカ・スミス;44;LE;Compassionate Gentleman;Medium;M6119;x
573072;Head of Military Intelligence;ハリー・ヘイウッド;36;LE;Dismal Enigma;High;M6026;x
573073;Head of State;アール・ブラウダー;36;ST;Ruthless Powermonger;High;M6041;x
573074;Head of Government;ウィリアム・Z・フォスター;36;ST;Political Protege;High;M6055;x
573075;Foreign Minister;サム・ダーシー;37;ST;Ideological Crusader;Low;M6073;x
573076;Foreign Minister;ロバート・マイナー;42;ST;General Staffer;High;M6075;x
573077;Minister of Armament;エリザベス・ガーレイ・フリン;38;ST;Battle Fleet Proponent;Very High;M6099;x
573078;Minister of Armament;アプトン・シンクレア;40;ST;Air to Ground Proponent;High;M6100;x
573079;Chief of Staff;ハンス・アムリ;36;ST;School of Defence;High;M6027;x
573080;Chief of Army;オリヴァー・ロー;36;ST;Decisive Battle Doctrine;High;M6149;x
573081;Chief of Army;スティーヴ・ネルソン;40;ST;Static Defence Doctrine;High;M6150;x
573082;Chief of Army;ロバート・メリマン;44;ST;Armoured Spearhead Doctrine;High;M6028;x
573083;Chief of Navy;ジョン・アブト;36;ST;Base Control Doctrine;Medium;M6029;x
573084;Chief of Air Force;ジョン・アブト;36;ST;Army Aviation Doctrine;Medium;M6029;x
