AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
56078;Minister of Security;ケネス・イーサー;36;ML;Efficient Sociopath;High;M56078;x
56079;Minister of Security;アレクサンダー・マクラクラン;37;SC;Crime Fighter;High;M56006;x
56080;Minister of Security;アール・ページ;37;SC;Man of the People;Medium;M56048;x
56081;Minister of Security;ヘンリー・S・ガレット;39;SC;Prince of Terror;Medium;M56043;x
56082;Minister of Security;ハティル・S・フォール;41;SC;Compassionate Gentleman;Medium;M56058;x
56083;Minister of Security;ジョージ・F・ピアース;36;SC;Silent Lawyer;High;M56003;x
56084;Minister of Security;ロバート・A・パークヒル;44;SC;Compassionate Gentleman;Medium;M56004;x
56085;Minister of Security;ヒューバート・P・ラザリーニ;37;SD;Silent Lawyer;Medium;M56085;x
56086;Minister of Security;ハーバート・V・エヴァット;41;SD;Back Stabber;High;M56050;x
56087;Minister of Security;ジェームズ・マッカーシー;36;PA;Crime Fighter;Medium;M56015;x
56088;Minister of Security;J・H・A・デュラント;39;PA;Compassionate Gentleman;High;M56012;x
56089;Minister of Security;ジェームズ・カリトン;43;PA;Back Stabber;High;M56089;x
56090;Minister of Security;ジョン・B・マイルズ;36;ST;Prince of Terror;High;M56025;x
56091;Minister of Security;グイド・バラッチ;39;ST;Silent Lawyer;Very High;M56091;x
56092;Minister of Security;フィリップ・アダムズ;42;ST;Man of the People;High;M56092;x
56093;Head of Military Intelligence;シリル・ビンガムホワイト;37;SC;Logistics Specialist;High;M56093;x
56094;Head of Military Intelligence;ラグナー・M・コルヴィン;36;SD;Naval Intelligence Specialist;Medium;M56009;x
56095;Head of Military Intelligence;ベン・チフリー;41;SD;Political Specialist;Very High;M56039;x
56096;Head of Military Intelligence;ノーマン・J・メーキン;40;SC;Industrial Specialist;Medium;M56061;x
56097;Head of Military Intelligence;ヒューバート・P・ラザリーニ;42;SD;Dismal Enigma;Medium;M56085;x
56098;Head of Military Intelligence;ジョン・J・デドマン;44;SD;Technical Specialist;High;M56098;x
56099;Head of Military Intelligence;ロン・ロー;36;FA;Political Specialist;Medium;M56016;x
56100;Head of Military Intelligence;トム・デール;36;ST;Dismal Enigma;Medium;M56026;x
56101;Head of Military Intelligence;アルフ・ブラッドリー;41;LE;Logistics Specialist;High;M56101;x
56102;Head of Military Intelligence;トニー・マクギリック;45;ST;Technical Specialist;High;M56077;x
56103;Chief of Staff;ジェームズ・V・フェアベアン;39;SC;School of Fire Support;Medium;M56103;x
56104;Chief of Staff;シリル・ビンガムホワイト;39;SC;School of Mass Combat;High;M56093;x
56105;Chief of Staff;E・K・スクワイア;38;SC;School of Defence;Medium;M56105;x
56106;Chief of Staff;ジョン・J・カーティン;40;SD;School of Psychology;Very High;M56038;x
56107;Chief of Staff;レスリー・ビーヴィス;44;SD;School of Manoeuvre;Medium;M56107;x
56108;Chief of Staff;ジョージ・F・ラングレー;36;PA;School of Mass Combat;Medium;M56017;x
56109;Chief of Staff;ジェームズ・キャノン;36;ST;School of Mass Combat;Medium;M56027;x
56110;Chief of Army;シリル・ビンガムホワイト;37;SC;Decisive Battle Doctrine;High;M56093;x
56111;Chief of Army;レスリー・モースヘッド;40;SC;Guns and Butter Doctrine;Medium;M56111;x
56112;Chief of Army;ホラス・ウィリアム・ストラット;44;SC;Static Defence Doctrine;Medium;M56065;x
56113;Chief of Army;ヴァーノン・スターディー;37;SD;Elastic Defence Doctrine;Medium;M56049;x
56114;Chief of Army;シドニー・ローウェル;41;SD;Guns and Butter Doctrine;Medium;M56066;x
56115;Chief of Army;アラン・ラムゼー;36;PA;Guns and Butter Doctrine;Medium;M56018;x
56116;Chief of Army;ジョン・ノースコット;36;ST;Guns and Butter Doctrine;Medium;M56028;x
56117;Chief of Navy;ヘクター・ウォーラー;37;SC;Base Control Doctrine;Medium;M56117;x
56118;Chief of Navy;ヴィクター・クラッチリー;41;SC;Open Seas Doctrine;Medium;M56019;x
56119;Chief of Navy;ガイ・C・C・ロイル;37;SD;Indirect Approach Doctrine;Medium;M56068;x
56120;Chief of Navy;ジョン・コリンズ;41;SD;Power Projection Doctrine;Medium;M56068;x
56121;Chief of Navy;ヘンリー・シャワーズ;44;SD;Decisive Naval Battle Doctrine;Medium;M56064;x
56123;Chief of Navy;F・E・ゲッティング;36;ST;Decisive Naval Battle Doctrine;Medium;M56029;x
56124;Chief of Air Force;A・M・チャールズワース;37;SC;Vertical Envelopment Doctrine;Medium;M56124;x
56125;Chief of Air Force;W・D・ボストック;44;SC;Naval Aviation Doctrine;High;M56059;x
56126;Chief of Air Force;スタンリー・J・ゴーブル;37;SD;Army Aviation Doctrine;Medium;M56067;x
56127;Chief of Air Force;チャールズ・バーネット;41;SD;Air Superiority Doctrine;Medium;M56127;x
56128;Chief of Air Force;A・M・G・ジョーンズ;44;SD;Carpet Bombing Doctrine;High;M56063;x
56129;Chief of Air Force;ジョン・レルー;36;PA;Army Aviation Doctrine;Medium;M56020;x
56130;Chief of Air Force;G・J・W・マキノルティ;36;ST;Air Superiority Doctrine;Medium;M56030;x
56131;Chief of Air Force;ランス・シャーキー;41;ST;Army Aviation Doctrine;Very High;M56021;x
56132;Head of State;アレクサンダー・G・アークライト;36;SD;Stern Imperialist;High;M56031;x
56133;Head of State;ウェストミンスター公爵;45;SD;Autocratic Charmer;High;M56032;x
56134;Head of State;サー・ウィリアム・ジョン・マッケル;47;SD;Insignificant Layman;High;M56134;x
56135;Head of State;サー・ウィリアム・ジョン・マッケル;47;SC;Insignificant Layman;High;M56134;x
56136;Head of State;アレクサンダー・G・アークライト;36;ML;Stern Imperialist;High;M56031;x
56137;Head of State;ウェストミンスター公爵;45;ML;Autocratic Charmer;High;M56032;x
56138;Head of State;サー・ウィリアム・ジョン・マッケル;47;ML;Insignificant Layman;High;M56134;x
56139;Head of Government;アール・ページ;36;ML;Naive Optimist;High;M56139;x
56140;Head of Government;アーサー・W・ファデン;40;ML;Happy Amateur;High;M56140;x
56141;Head of Government;フランシス・M・フォード;45;SD;Silent Workhorse;High;M56141;x
56147;Chief of Staff;ラグナー・M・コルヴィン;40;SC;School of Manoeuvre;Medium;M56009;x
56148;Foreign Minister;ジョン・マクウェン;40;ML;Biased Intellectual;High;M56148;x
56149;Minister of Armament;アール・ページ;42;ML;Laissez-Faire Capitalist;Very High;M56139;x
56150;Foreign Minister;パーシー・C・スペンダー;49;SC;Apologetic Clerk;Very High;M56150;x
56151;Minister of Armament;ジョン・J・デドマン;46;SD;Theoretical Scientist;Medium;M56098;x
56152;Minister of Armament;エリック・ジョン・ハリソン;49;SC;Military Entrepreneur;Medium;M56152;x
56153;Minister of Security;ハーバート・V・ジョンソン;45;SD;Man of the People;High;M56153;x
56154;Minister of Security;パーマー・A・マクブライド;49;SC;Silent Lawyer;High;M56042;x
56155;Minister of Security;エリック・ジョン・ハリソン;50;SC;Compassionate Gentleman;High;M56152;x
56156;Minister of Security;W・S・K・ヒューズ;51;SC;Prince of Terror;High;M56156;x
56157;Head of Military Intelligence;ハーバート・V・エヴァット;41;SD;Political Specialist;High;M56050;x
56158;Head of Military Intelligence;ジョン・A・スパイサー;49;SC;Dismal Enigma;High;M56158;x
56159;Head of State;サー・ウィリアム・スリム;53;SD;Resigned Generalissimo;High;M56159;x
56160;Head of State;サー・ウィリアム・スリム;53;SC;Resigned Generalissimo;High;M56159;x
56161;Head of State;ウィリアム・モリスン卿;60;SD;Weary Stiffneck;High;M56161;x
56162;Head of State;ウィリアム・モリスン卿;60;SC;Weary Stiffneck;High;M56161;x
56163;Head of State;ウィリアム・シドニー卿;61;SD;Autocratic Charmer;High;M56163;x
56164;Head of State;ウィリアム・シドニー卿;61;SC;Autocratic Charmer;High;M56163;x
56165;Head of Government;ハーバート・V・エヴァット;51;SD;Silent Workhorse;High;M56050;x
56166;Head of Government;アーサー・コルウェル;60;SD;Naive Optimist;High;M56166;x
56167;Foreign Minister;リチャード・G・ケーシー;51;SC;Ideological Crusader;Very High;M56167;x
56168;Foreign Minister;ガーフィールド・E・バーウィック;61;SC;Iron Fisted Brute;Very High;M56168;x
56169;Foreign Minister;アーサー・コルウェル;54;SD;Great Compromiser;Very High;M56166;x
56170;Foreign Minister;ゴフ・ホイットラム;60;SD;The Cloak N Dagger Schemer;Very High;M56170;x
56171;Minister of Armament;フィリップ・A・M・マクブライド;50;SC;Laissez-Faire Capitalist;Medium;M56171;x
56172;Minister of Armament;アソール・G・タウンリー;58;SC;Resource Industrialist;Medium;M56172;x
56173;Minister of Armament;マルコム・フレーザー;58;SD;Air Superiority Proponent;Medium;M56173;x
56174;Minister of Security;アレン・フェアホール;56;SC;Silent Lawyer;High;M56174;x
56175;Minister of Security;ゴードン・フリース;58;SC;Compassionate Gentleman;High;M56175;x
56176;Minister of Security;ピーター・J・ニクソン;61;SD;Back Stabber;High;M56176;x
56177;Head of Military Intelligence;ニール・オサリヴァン;56;SC;Industrial Specialist;High;M56177;x
56178;Head of Military Intelligence;ガーフィールド・E・バーウィック;58;SC;Political Specialist;High;M56168;x
56179;Head of Military Intelligence;ライオネル・K・マーフィー;61;SD;Technical Specialist;High;M56179;x
