LUX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
66059;Minister of Armament;ジャン・ピエール・カウダー;45;LWR;Military Entrepreneur;Medium;M66025;x
66060;Minister of Security;ニコラス・ブラウンシャウゼン;36;SC;Back Stabber;High;M66060;x
66061;Minister of Security;エティエンヌ・シュミット;37;SC;Silent Lawyer;High;M66061;x
66062;Minister of Security;ジョゼフ・ベッシュ;38;SC;Compassionate Gentleman;Very High;M66002;x
66063;Minister of Security;ロベルト・アルス;44;SC;Crime Fighter;High;M66063;x
66064;Minister of Security;ヴィクター・ボドゥソン;46;SC;Man of the People;High;M66064;x
66065;Minister of Security;ルネ・ブルム;36;SD;Crime Fighter;Very High;M66039;x
66066;Minister of Security;ヨーゼフ・ゲーデルト;44;SD;Compassionate Gentleman;Medium;M66066;x
66067;Minister of Security;ヘンリ・アーネン;36;FA;Compassionate Gentleman;Medium;M66015;x
66069;Minister of Security;ジャン・ピエール・カウダー;36;LE;Man of the People;Medium;M66025;x
66070;Minister of Security;ミヒェルー・ハンゼン;45;LWR;Efficient Sociopath;High;M66070;x
66072;Head of Military Intelligence;エドモント・クライン;40;SC;Dismal Enigma;Very High;M66072;x
66073;Head of Military Intelligence;ヨーゼフ・トッカート;36;SD;Technical Specialist;Very High;M66073;x
66074;Head of Military Intelligence;フランソワ・シャメル;44;SD;Logistics Specialist;Very High;M66050;x
66075;Head of Military Intelligence;シャルル・ベッカー;45;SD;Political Specialist;Very High;M66075;x
66076;Head of Military Intelligence;ギヨーム・ソワッソン;36;FA;Logistics Specialist;Medium;M66016;x
66077;Head of Military Intelligence;マックス・ジーモン;40;FA;Political Specialist;Medium;M66077;x
66078;Head of Military Intelligence;ジュール・プルーセン;45;PA;Technical Specialist;High;M66078;x
66079;Head of Military Intelligence;ジャン・ピエール・カウダー;36;LE;Industrial Specialist;Medium;M66025;x
66080;Head of Military Intelligence;マックス・ヴェッケリング;45;LWR;Dismal Enigma;Low;M66080;x
66082;Chief of Staff;ジャン・セール;40;SC;School of Psychology;Very High;M66082;x
66083;Chief of Staff;アレックス・フェーデルシュピール;36;SD;School of Fire Support;Medium;M66055;x
66084;Chief of Staff;フランソワ・シャメル;44;SD;School of Mass Combat;Very High;M66050;x
66085;Chief of Staff;アロイゼ・グロート;36;FA;School of Fire Support;Medium;M66017;x
66087;Chief of Staff;マルティン・カープ;36;LE;School of Mass Combat;Medium;M66024;x
66090;Chief of Army;フェリックス・ブルボン＝パルマ;40;SC;Armoured Spearhead Doctrine;Very High;M66090;x
66093;Chief of Army;アロイゼ・グロート;36;FA;Armoured Spearhead Doctrine;Medium;M66017;x
66094;Chief of Army;アレクサンダー・フォン・ファルケンハウゼン;40;FA;Decisive Battle Doctrine;Medium;M66034;x
66096;Chief of Army;マルティン・カープ;36;LE;Elastic Defence Doctrine;Medium;M66024;x
66100;Chief of Navy;ヘンリ・アーネン;36;FA;Indirect Approach Doctrine;Medium;M66015;x
66102;Chief of Navy;パウル・メディンガー;36;LE;Base Control Doctrine;Medium;M66021;x
66106;Chief of Air Force;ギヨーム・ソワッソン;36;FA;Air Superiority Doctrine;Medium;M66016;x
66109;Chief of Air Force;ジャン・マルク・シュテフェン;36;LWR;Vertical Envelopment Doctrine;Medium;M66030;x
66110;Head of State;シャルロッテ;45;FA;Autocratic Charmer;High;M66001;x
66111;Chief of Navy;ピエール・フィッシュバッハ;40;SC;Open Seas Doctrine;Very High;M66111;x
66113;Minister of Security;マックス・ジーモン;40;FA;Prince of Terror;Medium;M66077;x
66114;Minister of Security;ユージェーヌ・シャウス;46;SL;Man of the People;Medium;M66114;x
66115;Head of Military Intelligence;ジョセフ・ウォールファールト;51;ML;Industrial Specialist;Very High;M66115;x
