ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65047;Foreign Minister;ラス・セガ;36;SC;Biased Intellectual;Medium;M65023;x
65048;Foreign Minister;デジャ・ジナッチ・ナデオン;41;SC;Iron Fisted Brute;Medium;M65029;x
65049;Foreign Minister;ツェハフェ・タエザズ;43;SC;Ideological Crusader;Very High;M65049;x
65050;Minister of Armament;ピエール・リナン・デ・ベレフォンス;37;PA;Administrative Genius;Very High;M65050;x
65052;Minister of Armament;ツェハフェ・タエザズ;45;PA;Air Superiority Proponent;Very High;M65049;x
65053;Minister of Armament;ラス・ガタチュ;36;FA;Military Entrepreneur;Medium;M65014;x
65054;Minister of Armament;ラス・ハイル・テクレ・ハイマノット;39;FA;Corrupt Kleptocrat;Medium;M65013;x
65055;Minister of Armament;ブラタ・ザウデ・ベライネ;36;SC;Resource Industrialist;Medium;M65024;x
65056;Minister of Armament;ワグシャム・ウォセン・ハイル;41;SC;Tank Proponent;Medium;M65056;x
65058;Minister of Security;アクリル・ハブテウォルド;41;PA;Efficient Sociopath;Very High;M65058;x
65059;Minister of Security;ディージャズ・ガブレマリアム;45;PA;Compassionate Gentleman;Very High;M65059;x
65060;Minister of Security;カンティバ・ウォセネ・ザマネル;36;FA;Prince of Terror;Medium;M65015;x
65061;Minister of Security;リジ・アスラテ;39;FA;Silent Lawyer;Medium;M65061;x
65062;Minister of Security;ラス・ガグサ・アリア;36;SC;Compassionate Gentleman;Medium;M65025;x
65063;Minister of Security;アト・ファシカ;41;SC;Prince of Terror;Medium;M65063;x
65065;Head of Military Intelligence;フィクレ・セラッセ・カタマ;41;PA;Logistics Specialist;Very High;M65065;x
65066;Head of Military Intelligence;タムラト・イゲズ;45;PA;Dismal Enigma;Very High;M65066;x
65067;Head of Military Intelligence;マルコス・ウォルデ・ガブリエル;36;FA;Dismal Enigma;Medium;M65067;x
65068;Head of Military Intelligence;ハイレ・サラシェ・ガグサ;39;FA;Political Specialist;Medium;M65012;x
65069;Head of Military Intelligence;ラス・イムル・ハイレ・サラシェ;36;SC;Political Specialist;Medium;M65021;x
65070;Head of Military Intelligence;リジ・アラヤ・アベベ;41;SC;Industrial Specialist;Medium;M65070;x
65071;Chief of Staff;ハプテ・ミカエル・アガファリ;37;PA;School of Psychology;Very High;M65071;x
65072;Chief of Staff;ハイレ・ウォルデ・ルフェ;45;PA;School of Mass Combat;Very High;M65072;x
65073;Chief of Staff;ラス・ケベデ;36;FA;School of Defence;Medium;M65017;x
65074;Chief of Staff;ウォルデメスカル・タリク;36;SC;School of Defence;Medium;M65027;x
65075;Chief of Staff;アベネフソ・バルチャ;41;SC;School of Mass Combat;Medium;M65075;x
65077;Chief of Army;ハイレ・アッバ・メルサ;41;PA;Decisive Battle Doctrine;Very High;M65077;x
65078;Chief of Army;リジ・アビイェ・アベベ;45;PA;Armoured Spearhead Doctrine;High;M65078;x
65079;Chief of Army;ラス・カーサ;36;FA;Decisive Battle Doctrine;Medium;M65018;x
65080;Chief of Army;ラス・セヤム;39;FA;Static Defence Doctrine;Medium;M65009;x
65081;Chief of Army;ウォルデメスカル・タリク;36;SC;Guns and Butter Doctrine;Medium;M65027;x
65082;Chief of Army;ラス・カーサ;41;SC;Static Defence Doctrine;Medium;M65018;x
65083;Chief of Army;リジ・アビイェ・アベベ;45;SC;Armoured Spearhead Doctrine;High;M65078;x
65084;Chief of Navy;ウォンドセン・カーサ;37;PA;Open Seas Doctrine;Medium;M65084;x
65085;Chief of Navy;リジ・ヨハネス;36;FA;Open Seas Doctrine;Medium;M65011;x
65086;Chief of Navy;ラス・セヤム;39;FA;Indirect Approach Doctrine;Very High;M65009;x
65087;Chief of Navy;デジャ・ジナッチ・ナデオン;36;SC;Power Projection Doctrine;Medium;M65029;x
65089;Chief of Air Force;メスフィン・シレシ;39;PA;Carpet Bombing Doctrine;Medium;M65089;x
65090;Chief of Air Force;フィタウリ・ザウデ・ゴベナ;45;PA;Air Superiority Doctrine;Medium;M65020;x
65091;Chief of Air Force;フィタウリ・ザウデ・ゴベナ;36;FA;Air Superiority Doctrine;Medium;M65020;x
65092;Chief of Air Force;ガブリエル・ザウデ・ギラネ;36;SC;Army Aviation Doctrine;Medium;M65030;x
