TUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
12083;Chief of Air Force;エルカン・ガタリ;43;ML;Army Aviation Doctrine;Medium;M12083;x
12084;Chief of Air Force;メムドゥー・タグマク;46;ML;Air Superiority Doctrine;Medium;M12059;x
12011;Head of State;ニハール・アトシーズ;36;FA;Ruthless Powermonger;High;M12011;x
12012;Head of Government;ゼキ・ヴェリディ・トガン;36;FA;Old General;High;M12012;x
12013;Foreign Minister;フェトヒ・オクヤル;36;PA;Ideological Crusader;Medium;M12013;x
12014;Minister of Armament;サディ・オズベク;36;FA;Air to Sea Proponent;Medium;M12014;x
12016;Head of Military Intelligence;フェトヒ・オクヤル;36;SC;Dismal Enigma;Medium;M12013;x
12017;Chief of Staff;イスメト・イノニュ;36;PA;School of Defence;Medium;M12002;x
12018;Chief of Army;アルパルスラン・トゥルケス;36;FA;Guns and Butter Doctrine;Medium;M12018;x
12019;Chief of Navy;ラウフ・オルバイ;36;FA;Base Control Doctrine;Medium;M12019;x
12020;Chief of Air Force;サディ・オズベク;36;PA;Naval Aviation Doctrine;Medium;M12014;x
12021;Head of State;セフィク・フスヌ;36;ST;Stern Imperialist;High;M12021;x
12022;Head of Government;ペルテヴ・ナイリ・ボラタヴ;36;ST;Naive Optimist;High;M12022;x
12023;Foreign Minister;ナジム・ヒクメット・ラン;36;ST;The Cloak N Dagger Schemer;Medium;M12023;x
12024;Minister of Armament;レフィク・サイダム;36;LWR;Infantry Proponent;Medium;M12024;x
12027;Chief of Staff;アッバス・セヴァト;36;LWR;School of Manoeuvre;Medium;M12025;x
12028;Chief of Army;ペルテヴ・ナイリ・ボラタヴ;36;LWR;Elastic Defence Doctrine;Very Low;M12022;x
12029;Chief of Navy;イスマエル・エリム;36;LE;Decisive Naval Battle Doctrine;Medium;M12029;x
12030;Chief of Air Force;レフィク・サイダム;36;LE;Air Superiority Doctrine;Medium;M12024;x
12085;Head of State;ジェラール・バヤル;50;ML;Barking Buffoon;High;M12032;x
12086;Head of Government;メフメト・レジェプ・ペケル;46;SC;Political Protege;High;M12067;x
12087;Head of Government;ハッサン・サカ;47;SC;Happy Amateur;High;M12038;x
12088;Head of Government;メフメト・ギュナルタイ;49;SC;Silent Workhorse;High;M12051;x
12089;Head of Government;アドナン・メンデレス;50;ML;Ambitious Union Boss;High;M12046;x
12090;Foreign Minister;メフメト・フアト・キョプリュリュ;50;ML;Iron Fisted Brute;Medium;M12090;x
12091;Minister of Armament;ファイク・アフメト・バルトチュ;47;SC;Battle Fleet Proponent;Medium;M12091;x
12092;Minister of Armament;イスマエル・エリム;49;SC;Resource Industrialist;Medium;M12029;x
12093;Minister of Armament;サメト・アーオルー;50;ML;Theoretical Scientist;Medium;M12093;x
12094;Minister of Armament;ファトゥン・リュスチュ・ゾルル;52;ML;Administrative Genius;Medium;M12094;x
12095;Minister of Security;レフク・コラルタン;50;ML;Silent Lawyer;Medium;M12095;x
