IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25135;Chief of Army;フランク・ファヒー;36;ML;Static Defence Doctrine;High;M25031;x
25136;Chief of Army;M・J・コステロ;37;ML;Elastic Defence Doctrine;High;M25007;x
25137;Chief of Army;リアム・アーチャー;36;SC;Armoured Spearhead Doctrine;High;M25113;x
25138;Chief of Army;エオイン・オダフィー;36;FA;Elastic Defence Doctrine;High;M25138;x
25139;Chief of Army;ショーン・マッコイン;36;LWR;Decisive Battle Doctrine;High;M25028;x
25140;Chief of Navy;A・T・ロウラー;36;SD;Open Seas Doctrine;High;M25140;x
25141;Chief of Navy;S・オムイリス;41;SD;Decisive Naval Battle Doctrine;High;M25141;x
25142;Chief of Navy;ショーン・マッケンティー;36;ML;Open Seas Doctrine;High;M25004;x
25143;Chief of Navy;トーマス・デリグ;41;ML;Power Projection Doctrine;High;M25143;x
25144;Chief of Navy;ショーン・T・オシアライ;44;ML;Base Control Doctrine;High;M25036;x
25145;Chief of Navy;A・H・J・ジェローム;47;ML;Indirect Approach Doctrine;High;M25145;x
25146;Chief of Navy;ジョン・オバイアン;36;SC;Power Projection Doctrine;High;M25081;x
25148;Chief of Navy;イーモン・ブロイ;36;FA;Power Projection Doctrine;High;M25015;x
25149;Chief of Navy;ウィリアム・マッカルー;36;LWR;Decisive Naval Battle Doctrine;High;M25029;x
25150;Chief of Air Force;シアバール・オダライ;36;SD;Vertical Envelopment Doctrine;High;M25092;x
25151;Chief of Air Force;M・J・コステロ;36;ML;Army Aviation Doctrine;High;M25007;x
25152;Chief of Air Force;オスカー・トレイナー;39;ML;Vertical Envelopment Doctrine;High;M25152;x
25153;Chief of Air Force;チャールズ・カセイ;41;ML;Air Superiority Doctrine;High;M25153;x
25154;Chief of Air Force;W・デラメア;44;ML;Naval Aviation Doctrine;High;M25154;x
25155;Chief of Air Force;H・T・グリーン;36;SC;Naval Aviation Doctrine;High;M25009;x
25156;Chief of Air Force;P・クイン;44;SC;Carpet Bombing Doctrine;High;M25156;x
25157;Chief of Air Force;ジャック・ホワイト;36;FA;Army Aviation Doctrine;High;M25020;x
25158;Chief of Air Force;ピエラス・ビアスライ;36;LWR;Air Superiority Doctrine;High;M25030;x
25159;Head of State;ショーン・T・オシアライ;47;SC;Autocratic Charmer;High;M25036;x
25160;Foreign Minister;フランク・アイケン;51;ML;Great Compromiser;High;M25074;x
25161;Minister of Armament;オスカー・トレイナー;39;ML;Infantry Proponent;High;M25111;x
25162;Minister of Armament;ケヴィン・オヒギンス;48;SC;Military Entrepreneur;High;M25058;x
25163;Head of State;イーモン・デ・ヴァレラ;35;ML;Pig-headed Isolationist;Medium;M25002;x
25164;Head of State;ショーン・マッコイン;45;SC;Resigned Generalissimo;Medium;M25028;x
25165;Head of Government;パトリック・マクカルタン;45;SD;AMBITIOUS UNION BOSS;Medium;M25165;x
25166;Chief of Staff;オスカー・トレイナー;39;ML;School of Mass Combat;High;M25166;x
