EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
512091;Chief of Army;ムスタファ・カメル;36;SL;Decisive Battle Doctrine;High;M512087;x
512093;Chief of Army;ワセフ・ブトロス・ガリ;36;SD;Guns and Butter Doctrine;High;M512023;x
512096;Chief of Navy;モハンメド・アジミ・パシャ;43;SC;Base Control Doctrine;Medium;M512096;x
512097;Chief of Navy;タラル・アル＝キュロス;36;ML;Indirect Approach Doctrine;High;M512051;x
512099;Chief of Navy;ピエール・ラカウ;36;SL;Power Projection Doctrine;Medium;M512072;x
512100;Chief of Navy;アリ・ハミド・パシャ;42;SL;Base Control Doctrine;Medium;M512072;x
512102;Chief of Navy;ワヒド・ラーファト;44;SD;Power Projection Doctrine;Medium;M512078;x
512103;Chief of Air Force;アブデルハミド・ソリマン;36;SC;Air Superiority Doctrine;Medium;M512048;x
512104;Chief of Air Force;モハンメド・アジミ・パシャ;43;SC;Army Aviation Doctrine;Medium;M512096;x
512105;Chief of Air Force;モハンメド・ナシェード;36;ML;Army Aviation Doctrine;Medium;M512105;x
512107;Chief of Air Force;アリ・マヒール・パシャ;36;SL;Naval Aviation Doctrine;High;M512002;x
512108;Chief of Air Force;アリ・チャンシ・パシャ;41;SL;Carpet Bombing Doctrine;Medium;M512027;x
512109;Chief of Air Force;アガ・カーン1世;36;SD;Army Aviation Doctrine;Medium;M512077;x
512110;Chief of Air Force;ソリマ・サミ;42;SD;Naval Aviation Doctrine;Medium;M512073;x
512111;Head of State;モハンメド・ナギブ;52;SD;Resigned Generalissimo;High;M512088;x
512112;Head of Government;イブラヒム・アブデル・ハディ;49;SC;Political Protege;High;M512033;x
512113;Head of Government;モハンメド・ナギブ;52;SD;Old General;High;M512088;x
512114;Minister of Armament;ノウレッディン・アラフ;52;SD;Theoretical Scientist;High;M512114;x
512115;Minister of Security;カマレッディン・フセイン;52;SD;Prince of Terror;Medium;M512115;x
512116;Chief of Staff;モハンメド・ナギブ;52;SD;School of Mass Combat;High;M512088;x
512117;Chief of Army;ガマール・アブドゥン＝ナーセル;52;SD;Armoured Spearhead Doctrine;High;L512001;x
512118;Chief of Air Force;ガマール・アブドゥン＝ナーセル;52;SD;Carpet Bombing Doctrine;Medium;L512001;x
