ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3146;Chief of Army;A・デ・マリニス・デ・リチア;44;SL;Elastic Defence Doctrine;High;M3014;x
3147;Chief of Army;ジアンカーロ・パジェッタ;35;LWR;Guns and Butter Doctrine;High;M3028;x
3149;Chief of Navy;アルトゥーロ・リカルディ;40;FA;Indirect Approach Doctrine;Medium;M3149;x
3150;Chief of Navy;パオロ・エミリオ・タオン・ディ・ルヴェル;43;NS;Open Seas Doctrine;Medium;M3035;x
3151;Chief of Navy;アルフレド・ロッコ;45;NS;Decisive Naval Battle Doctrine;Medium;M3151;x
3153;Chief of Navy;ディーノ・グランディ;45;PA;Power Projection Doctrine;High;M3153;x
3154;Chief of Navy;ラファエル・デ・コーテン;43;SC;Open Seas Doctrine;Medium;M3019;x
3155;Chief of Navy;アレッサンドリノ・セレサ;35;SC;Open Seas Doctrine;High;M3155;x
3157;Chief of Navy;ヴィットーリオ・シアロジャ;46;SL;Power Projection Doctrine;High;M3157;x
3158;Chief of Navy;ジアンカーロ・パジェッタ;35;LWR;Open Seas Doctrine;High;M3028;x
3160;Chief of Air Force;フランチェスコ・プリコロ;39;FA;Naval Aviation Doctrine;High;M3160;x
3161;Chief of Air Force;リノ・コルソ・フォギエレ;41;FA;Air Superiority Doctrine;Low;M3161;x
3163;Chief of Air Force;レナート・サンダリ;43;PA;Army Aviation Doctrine;High;M3020;x
3164;Chief of Air Force;トマソ・ティトーニ;35;SC;Army Aviation Doctrine;High;M3164;x
3165;Chief of Air Force;ピエトロ・ピアセンティーニ;44;SC;Naval Aviation Doctrine;High;M3165;x
3166;Chief of Air Force;アントニオ・シアロジャ;44;SC;Vertical Envelopment Doctrine;High;M3166;x
3167;Chief of Air Force;ルイージ・ガスパロット;45;SL;Army Aviation Doctrine;High;M3136;x
3014;Minister of Armament;A・デ・マリニス・デ・リチア;35;SL;Administrative Genius;High;M3014;x
3016;Head of Military Intelligence;ウンベルト・リッチ;35;SC;Industrial Specialist;High;M3015;x
3018;Chief of Army;エンリコ・マッテイ;35;SC;Decisive Battle Doctrine;High;M3018;x
3168;Head of State;ルイージ・エイナウディ;48;SC;Insignificant Layman;High;M3085;x
3169;Head of State;ルイージ・エイナウディ;48;SL;Insignificant Layman;High;M3085;x
3170;Head of Government;ジュゼッペ・ペラ;53;SC;Silent Workhorse;High;M3116;x
3171;Foreign Minister;ジュゼッペ・ペラ;53;SC;Ideological Crusader;High;M3116;x
3172;Minister of Armament;ランドルフォ・パチアルディ;48;SC;Military Entrepreneur;High;M3133;x
3173;Minister of Armament;エミリオ・パオロ・タヴィアーニ;53;SC;Theoretical Scientist;High;M3173;x
3174;Minister of Security;アミントーレ・ファンファーニ;53;SC;Compassionate Gentleman;High;M3174;x
3175;Minister of Armament;パオロ・イグナチオ・マリア・タオン・ディ・レヴェル;35;FA;Military Entrepreneur;High;M3175;x
3176;Head of Government;イタロ・バルボ;42;FA;Old Airmarshal;High;L6015;x
3177;Head of Government;チェーザレ・マリーア・デ・ヴェッキ;37;FA;Old Lawyer;High;L6060;x
3178;Head of Government;ロドルフォ・グラツィアーニ;36;PA;Old General;High;L6084;x
