U17;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
595344;Chief of Air Force;エナン・ザドロズニ;35;SC;Air Superiority Doctrine;Medium;M525044;x
595412;Head of State;ポルヴォニツ・ユソポフ;35;PA;Weary Stiffneck;High;M526012;x
595414;Head of Government;アブドゥラヒム・マルテミャノフ;35;PA;Silent Workhorse;High;M526014;x
595418;Foreign Minister;ニコライ・チチャゴフ;35;PA;Apologetic Clerk;High;M526018;x
595419;Foreign Minister;アリシェル・イヴァノフ;35;PA;Great Compromiser;High;M526019;x
595424;Minister of Armament;バブル・イパティエフ;35;PA;Air Superiority Proponent;Medium;M526024;x
595425;Minister of Armament;バハウディン・ゴルチャコフ;35;PA;Military Entrepreneur;Medium;M526025;x
595430;Minister of Security;ママデュリ・ディネイ;35;PA;Silent Lawyer;Medium;M526030;x
595431;Minister of Security;サリム・イェヴゲトフ;35;PA;Man of the People;Medium;M526031;x
595435;Head of Military Intelligence;ハムザ・ドブリニン;35;PA;Logistics Specialist;Medium;M526035;x
595436;Head of Military Intelligence;フェリクス・ドロジンスキ;35;PA;Dismal Enigma;Medium;M526036;x
595438;Chief of Staff;バブル・イパティエフ;35;PA;School of Manoeuvre;Medium;M526038;x
595440;Chief of Army;ナゼ・デュディン;35;PA;Elastic Defence Doctrine;Medium;M526040;x
595442;Chief of Navy;サリム・イバディノフ;35;PA;Open Seas Doctrine;Medium;M526042;x
595444;Chief of Air Force;バブル・イパティエフ;35;PA;Air Superiority Doctrine;Medium;M526038;x
595445;Head of State;オスカー・フォン・ニーダーマイヤー;35;NS;Reichskommissar;Medium;M595445;x
