HAI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
78055;Foreign Minister;ミルコ・シャンドラ;37;LWR;The Cloak N Dagger Schemer;Medium;M78023;x
78056;Foreign Minister;F・ドリアン・ユステ・コンスタン;41;LWR;Biased Intellectual;High;M78021;x
78057;Foreign Minister;クレメント・ジュメル;46;LWR;Apologetic Clerk;High;M78057;x
78058;Minister of Armament;ルイ・ダブテス・ベレガルド;37;SC;Corrupt Kleptocrat;Medium;M78005;x
78059;Minister of Armament;リュック・ドミニク;41;SC;Tank Proponent;Medium;M78014;x
78060;Minister of Armament;ジャン・フランソワ・デュヴァリエ;45;SC;Administrative Genius;Low;M78015;x
78061;Minister of Armament;ルイ・デジョア;46;SC;laissez-faire capitalist;Low;M78033;x
78062;Minister of Armament;マクス・シャルメ;37;SL;Strategic Air Proponent;Low;M78062;x
78063;Minister of Armament;フレデリック・ドレ;41;SL;Resource Industrialist;Low;M78063;x
78064;Minister of Armament;アルマンド・オウレ;46;SL;Administrative Genius;Low;M78064;x
78065;Minister of Armament;F・ドリアン・ユステ・コンスタン;46;PA;laissez-faire capitalist;High;M78021;x
78066;Minister of Armament;クレメント・ジュメル;37;LWR;Air Superiority Proponent;High;M78057;x
78067;Minister of Armament;ミシェル・コルヴィントン・レイモンド;41;LWR;Theoretical Scientist;Medium;M78024;x
78068;Minister of Security;ステニオ・ヴィンセント;37;SC;Crooked Kleptocrat;High;M78001;x
78069;Minister of Security;オーグスト・ボナミー;41;SC;Silent Lawyer;High;M78069;x
78070;Minister of Security;エミル・レスコ;45;SC;Man of the People;Medium;M78004;x
78071;Minister of Security;ガスリー・ヴィルドロイン;46;SC;Back Stabber;Low;M78071;x
78072;Minister of Security;デュマルセ・エスティメ;37;SL;Back Stabber;High;M78034;x
78073;Minister of Security;マクス・シャルメ;41;SL;Crooked Kleptocrat;Low;M78062;x
78074;Minister of Security;ジャン・フランソワ・デュヴァリエ;46;SL;Efficient Sociopath;Low;M78015;x
78075;Minister of Security;アントワーヌ・レヴェル;46;PA;Silent Lawyer;High;M78075;x
78076;Minister of Security;ベルモー・マクス＝ピエール;37;LWR;Back Stabber;Medium;M78076;x
78077;Minister of Security;ヴィクトル・ヴィヴィアン;41;LWR;Efficient Sociopath;Medium;M78025;x
78078;Minister of Security;ダニエル・フィノール;46;LWR;Silent Lawyer;High;M78045;x
78079;Head of Military Intelligence;ジョセフ・ルイ・ボルノ;37;SC;Technical Specialist;High;M78079;x
78080;Head of Military Intelligence;ルイ・ダブテス・ベレガルド;41;SC;Industrial Specialist;Medium;M78005;x
78081;Head of Military Intelligence;ジョルジュ・リゴー博士;45;SC;Logistics Specialist;Medium;M78049;x
78082;Head of Military Intelligence;ガスリー・ヴィルドロイン;37;SL;Logistics Specialist;Low;M78071;x
78083;Head of Military Intelligence;アンドレ・デュモン;41;SL;Naval Intelligence Specialist;Medium;M78052;x
78084;Head of Military Intelligence;マクス・シャルメ;46;SL;Technical Specialist;Low;M78062;x
78085;Head of Military Intelligence;アントワーヌ・レヴェル;46;PA;Logistics Specialist;High;M78075;x
78086;Head of Military Intelligence;ロック・デスローセ;37;LWR;Technical Specialist;Medium;M78026;x
78087;Head of Military Intelligence;ベルモー・マクス＝ピエール;41;LWR;Logistics Specialist;Medium;M78076;x
78088;Head of Military Intelligence;デモステネス・カリクステ;46;LWR;Political Specialist;Medium;M78037;x
78090;Chief of Staff;セバスチャン・デ・アロンデ;39;SC;School of Manoeuvre;Medium;M78006;x
78091;Chief of Staff;フランク・ラヴォー;41;SC;School of Psychology;Medium;M78035;x
78092;Chief of Staff;アントワーヌ・レヴェル;46;SC;School of Manoeuvre;High;M78075;x
78093;Chief of Staff;アンドレ・デュモン;37;SL;School of Manoeuvre;Medium;M78052;x
78094;Chief of Staff;ポール・マグロワール;46;SL;School of Mass Combat;Medium;M78043;x
78096;Chief of Staff;アンティオチェ・ベノ;37;LWR;School of Defence;Medium;M78027;x
78098;Chief of Army;フランク・ラヴォー;41;SC;Elastic Defence Doctrine;Medium;M78035;x
78099;Chief of Army;アントワーヌ・レヴェル;46;SC;Armoured Spearhead Doctrine;High;M78075;x
78100;Chief of Army;アンドレ・デュモン;37;SL;Decisive Battle Doctrine;Medium;M78052;x
78101;Chief of Army;ポール・マグロワール;46;SL;Guns and Butter Doctrine;Medium;M78043;x
78102;Chief of Army;フランク・ラヴォー;46;PA;Elastic Defence Doctrine;Medium;M78035;x
78103;Chief of Army;アーンスト・セヴェレ;37;LWR;Guns and Butter Doctrine;Medium;M78028;x
78104;Chief of Navy;ジョルジュ・レジェ;37;SC;Base Control Doctrine;High;M78046;x
78106;Chief of Navy;アンドレ・サン・フレデリック;37;SL;Power Projection Doctrine;Medium;M78106;x
78107;Chief of Navy;レイモンド・ガスナー;37;LWR;Power Projection Doctrine;Medium;M78029;x
78109;Chief of Air Force;アンドレ・サン・フレデリック;41;SC;Naval Aviation Doctrine;Medium;M78106;x
78110;Chief of Air Force;パスカル・B・G・ギョーム;37;SL;Vertical Envelopment Doctrine;Medium;M78020;x
78111;Chief of Air Force;アントワーヌ・レヴェル;46;PA;Carpet Bombing Doctrine;High;M78075;x
78112;Chief of Air Force;ベルモー・マクス＝ピエール;37;LWR;Vertical Envelopment Doctrine;Medium;M78076;x
78113;Chief of Air Force;シャルル・H・フォルビン;46;LWR;Air Superiority Doctrine;Medium;M78030;x
78115;Foreign Minister;レオン・ラルー;38;SC;Ideological Crusader;High;M78115;x
78114;Head of State;ポール・マグロワール;50;PA;Ruthless Powermonger;High;M78043;x
