FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
2121;Minister of Security;モーリス・ソレズ;44;ST;Prince of Terror;Very High;M2011;x
2122;Minister of Security;ウジェーヌ・デュノアイエ・ド・スゴンザック;38;PA;Compassionate Gentleman;Very High;M2122;x
2123;Head of Military Intelligence;ロジェ・サレングロ;36;SD;Industrial Specialist;Medium;M2123;x
2124;Head of Military Intelligence;フェリックス・グーアン;37;SD;Technical Specialist;Medium;M2034;x
2125;Head of Military Intelligence;ダニエル・メイヤー;41;SD;Logistics Specialist;Medium;M2023;x
2126;Head of Military Intelligence;アンドレ・ル・トワクエ;47;SD;Dismal Enigma;Medium;M2072;x
2128;Head of Military Intelligence;ピエール＝エティエンヌ・フランダン;38;SL;Dismal Enigma;Low;M2003;x
2129;Head of Military Intelligence;モーリス・ディレージ;41;SL;Technical Specialist;High;M2129;x
2130;Head of Military Intelligence;アイメ・ルペルク;47;SL;Industrial Specialist;High;M2130;x
2131;Head of Military Intelligence;レネ・ニコラウ;36;SC;Dismal Enigma;High;M2112;x
2132;Head of Military Intelligence;ジャック・ブランシュウィグ;38;SC;Naval Intelligence Specialist;High;M2132;x
2133;Head of Military Intelligence;アンドレ・マリー;40;ML;Technical Specialist;Medium;M2041;x
2134;Head of Military Intelligence;シャルル・ルイゼ;40;ML;Technical Specialist;High;M2134;x
2135;Head of Military Intelligence;アンドレ・デ・ワウリン＝パシー;42;SC;Logistics Specialist;High;M2135;x
2136;Head of Military Intelligence;ロジェ・ランテノア;44;SC;Industrial Specialist;High;M2136;x
2137;Head of Military Intelligence;アンドレ・ブーロチェ;46;SC;Dismal Enigma;High;M2137;x
2138;Head of Military Intelligence;ワルデック・ロシェ;36;ST;Dismal Enigma;High;M2016;x
2139;Head of Military Intelligence;ジャン＝マリー・クラマム;38;ST;Industrial Specialist;Medium;M2120;x
2140;Head of Military Intelligence;アンリ・グールドー;41;ST;Logistics Specialist;High;M2119;x
2141;Head of Military Intelligence;グスタフ・ゲーノ;47;ST;Technical Specialist;Medium;M2141;x
2142;Head of Military Intelligence;ポール・レピトン＝プレノー;38;PA;Logistics Specialist;Medium;M2142;x
2144;Chief of Staff;ジャン・ド・ラトル・ド・タシニ;36;SC;School of Mass Combat;Medium;M2047;x
2146;Chief of Staff;マキシム・ウェイガン;40;SL;School of Defence;Very High;L24145;x
2148;Chief of Staff;ポール・ル・ジェンティローム;36;SC;School of Psychology;Medium;M2148;x
2150;Chief of Staff;シャルル・ド・ゴール;40;SC;School of Manoeuvre;High;M2027;x
2151;Chief of Staff;ピエール＝アルマンド・ビロッテ;42;SC;School of Fire Support;Medium;M2151;x
2152;Chief of Staff;ピエール・ブルジェ＝マノーリー;44;SC;School of Psychology;High;M2152;x
2154;Chief of Staff;マルセル・カチン;36;ST;School of Fire Support;Medium;M2017;x
2157;Chief of Army;レオン・ヴィクトル・ブルジョア;36;SD;Guns and Butter Doctrine;Medium;M2157;x
2158;Chief of Army;ジャン・ド・ラトル・ド・タシニ;40;SC;Armoured Spearhead Doctrine;Medium;M2047;x
2160;Chief of Army;ピエール・アウグステ・シャルディニー;41;SL;Elastic Defence Doctrine;Medium;M2098;x
2164;Chief of Army;ジャン・ベルタン＝ブース;40;SC;Elastic Defence Doctrine;Medium;M2164;x
2166;Chief of Army;アンドレ・マーティ;36;ST;Guns and Butter Doctrine;Medium;M2018;x
2167;Chief of Army;ピエール・ファビエン;40;ST;Decisive Battle Doctrine;Medium;M2167;x
2168;Chief of Army;マキシム・ウェイガン;38;PA;Elastic Defence Doctrine;Medium;L24145;x
2170;Chief of Navy;ジョセフ・ポール・ボンクール;38;SD;Base Control Doctrine;High;M2170;x
2171;Chief of Navy;ジャン・ゴウト;44;SD;Power Projection Doctrine;High;M2171;x
2173;Chief of Navy;セザール・シャンピンシ;40;ML;Indirect Approach Doctrine;Very High;M2173;x
2176;Chief of Navy;フランソワ・ピエトリ;40;SC;Indirect Approach Doctrine;Medium;M2176;x
2178;Chief of Navy;エティエンヌ・シュルンバジェ;40;SC;Decisive Naval Battle Doctrine;High;M2174;x
2179;Chief of Navy;アンドレ・マーティ;36;ST;Indirect Approach Doctrine;Medium;M2018;x
2180;Chief of Navy;シャルル・ティロン;44;ST;Base Control Doctrine;High;M2180;x
2181;Chief of Navy;ピエール・リシャール;38;PA;Decisive Naval Battle Doctrine;High;M2181;x
2183;Chief of Air Force;マルセル・ディート;38;SD;Air Superiority Doctrine;Low;M2183;x
2184;Chief of Air Force;ピエール・コット;40;SD;Army Aviation Doctrine;Very High;M2184;x
2187;Chief of Air Force;ジョセフ・ヴイエミン;38;SL;Air Superiority Doctrine;Very High;M2187;x
2188;Chief of Air Force;ガイ・ラ・シャムブル;40;SL;Vertical Envelopment Doctrine;Medium;M2188;x
2191;Chief of Air Force;ロベルト・ロッシ;40;SC;Army Aviation Doctrine;Very High;M2191;x
2193;Chief of Air Force;マルシャル・ヴァレ;40;SC;Air Superiority Doctrine;Very High;M2185;x
2194;Chief of Air Force;レイモンド・ロキュー;44;SC;Carpet Bombing Doctrine;Very High;M2194;x
2195;Chief of Air Force;マルセル・ギトン;36;ST;Air Superiority Doctrine;Medium;M2020;x
2196;Chief of Air Force;シャルル・ティロン;40;ST;Army Aviation Doctrine;High;M2180;x
2201;Head of Government;ロベール・シューマン;47;SL;Corporate Suit;High;M2088;x
2202;Foreign Minister;モーリス・デジーン;40;ML;Great Compromiser;High;M2202;x
2203;Foreign Minister;ルネ・プレヴァン;42;ML;Biased Intellectual;High;M2090;x
2206;Chief of Army;アルフォンス・ジュアン;39;SC;Static Defence Doctrine;High;L24082;x
2207;Head of State;アルベール・ルブラン;36;SC;Barking Buffoon;Very High;M2001;x
2208;Head of State;カミーユ・ショータン;40;SL;Popular Figurehead;Very High;M2036;x
2209;Head of Government;ルイ＝ジョルジュ・マンデル;40;SL;Backroom Backstabber;Medium;M2108;x
2210;Minister of Security;イヴォン・デルボス;40;SL;Silent Lawyer;High;M2048;x
2211;Head of State;アンリ＝オノレ・ジロー;40;PA;Weary Stiffneck;Very High;L24084;x
2212;Head of Government;アンリ＝オノレ・ジロー;40;PA;Old General;Very High;L24084;x
2213;Foreign Minister;シャルル・エマニュエル・マス;40;PA;General Staffer;High;L24224;x
2214;Minister of Armament;マリー＝ピエール・コニ;40;SC;Military Entrepreneur;Very High;L24107;x
2215;Chief of Staff;アンリ＝オノレ・ジロー;40;PA;School of Fire Support;Very High;L24084;x
2216;Head of Government;ロベール・シューマン;47;ML;Corporate Suit;High;M2088;x
2218;Head of Government;ルネ・プレヴァン;50;ML;Political Protege;High;M2090;x
2219;Head of Government;エドガール・フォール;52;SD;Backroom Backstabber;High;M2219;x
2220;Head of Government;アントワーヌ・ピネ;52;ML;Silent Workhorse;High;M2220;x
2221;Head of Government;レネ・マイエル;53;SL;Naive Optimist;High;M2221;x
2222;Head of Government;ジョセフ・ラニエル;53;SC;Flamboyant Tough Guy;High;M2222;x
2223;Foreign Minister;ロベール・シューマン;48;ML;Biased Intellectual;High;M2088;x
2224;Minister of Armament;ピーエル=アンリ・テトジャン;47;ML;Laissez-Faire Capitalist;Medium;M2224;x
2225;Minister of Armament;レネ・マイエル;48;SL;Tank Proponent;Medium;M2221;x
2226;Minister of Armament;ポール・ラマディエ;48;SL;Resource Industrialist;Medium;M2035;x
2227;Minister of Armament;ジュール・モッホ;50;SD;Battle Fleet Proponent;Medium;M2104;x
2217;Minister of Armament;ジョルジュ・ビドー;51;ML;Infantry Proponent;Medium;M2039;x
2228;Minister of Security;アンリ・クイユ;50;SC;Back Stabber;Medium;M2043;x
2229;Minister of Security;シャルル・ブリュン;51;SD;Silent Lawyer;Medium;M2229;x
2230;Minister of Security;レオン=マルティナド・デプラ;53;SC;Compassionate Gentleman;Medium;M2230;x
2231;Head of Military Intelligence;ロベール・ルクール;48;SC;Industrial Specialist;Medium;M2231;x
2232;Head of Military Intelligence;レネ・マイエル;49;SL;Logistics Specialist;Medium;M2221;x
2233;Head of Military Intelligence;エドガール・フォール;51;SD;Dismal Enigma;Medium;M2219;x
2234;Head of Military Intelligence;レオン=マルティナド・デプラ;52;SC;Political Specialist;Medium;M2230;x
2235;Head of Military Intelligence;ポール・リベイル;53;SC;Naval Intelligence Specialist;Medium;M2235;x
2236;Head of State;ヴァンサン・オリオール;47;SC;Autocratic Charmer;Medium;M2004;x
2237;Head of State;アンリ6世;38;PA;The Daydreaming Throne;High;M2032;x
2238;Head of Government;フィリップ・ペタン;38;PA;Old General;High;M57001;x
