CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
45087;Head of Military Intelligence;ラルフ・ギブソン;44;ML;Industrial Specialist;High;M45087;x
45088;Head of Military Intelligence;モーリス・ポープ;36;SC;Political Specialist;High;M45088;x
45089;Head of Military Intelligence;ウィリアム・G・アダムズ;44;SC;Naval Intelligence Specialist;Medium;M45079;x
45090;Head of Military Intelligence;アンドリュー・グリーン・カーネル;36;PA;Political Specialist;Medium;M45016;x
45091;Head of Military Intelligence;ピエール・バートン;38;PA;Dismal Enigma;Medium;M45091;x
45092;Head of Military Intelligence;レネ・サンピエール;41;PA;Industrial Specialist;Medium;M45061;x
45093;Head of Military Intelligence;ジーン・クイラード;43;PA;Naval Intelligence Specialist;Medium;M45078;x
45094;Head of Military Intelligence;ジャック・ロバート;36;LE;Political Specialist;Medium;M45094;x
45095;Head of Military Intelligence;ジョン・レスブリッジ;42;LE;Logistics Specialist;Medium;M45028;x
45096;Head of Military Intelligence;ジャック・リチャード;43;LE;Naval Intelligence Specialist;Medium;M45096;x
45097;Head of Military Intelligence;ウィリアム・ディーズ;45;LE;Technical Specialist;Medium;M45026;x
45099;Chief of Staff;トーマス・アンダーソン;40;ML;School of Defence;High;M45099;x
45100;Chief of Staff;ヘンリー・クレーラー;42;ML;School of Psychology;High;M45006;x
45101;Chief of Staff;ケネス・ステュアート;36;SC;School of Mass Combat;Very High;M45086;x
45102;Chief of Staff;ジョン・マーチー;40;SC;School of Fire Support;High;M45102;x
45103;Chief of Staff;チャールズ・フォークス;44;SC;School of Manoeuvre;Very High;M45103;x
45104;Chief of Staff;フレデリック・M・W・ハーヴェイ;36;PA;School of Mass Combat;Medium;M45017;x
45105;Chief of Staff;ロバート・M・エドワーズ;36;LWR;School of Defence;Medium;M45065;x
45106;Chief of Staff;サミュエル・チーノ;43;LE;School of Fire Support;Medium;M45027;x
45108;Chief of Army;トーマス・アンダーソン;40;ML;Static Defence Doctrine;High;M45099;x
45109;Chief of Army;ヘンリー・クレーラー;44;ML;Armoured Spearhead Doctrine;High;M45006;x
45110;Chief of Army;ケネス・ステュアート;36;SC;Decisive Battle Doctrine;Very High;M45086;x
45111;Chief of Army;ジョン・マーチー;40;SC;Armoured Spearhead Doctrine;High;M45102;x
45112;Chief of Army;チャールズ・フォークス;44;SC;Elastic Defence Doctrine;Very High;M45103;x
45113;Chief of Army;フレデリック・M・W・ハーヴェイ;44;PA;Guns and Butter Doctrine;Medium;M45017;x
45114;Chief of Army;ジャック・ロバート;36;LE;Static Defence Doctrine;Medium;M45094;x
45115;Chief of Army;ジョン・レスブリッジ;42;LE;Elastic Defence Doctrine;Medium;M45028;x
45118;Chief of Navy;アラスデア・マレー;36;PA;Base Control Doctrine;Medium;M45019;x
45119;Chief of Navy;ジーン・クイラード;38;PA;Indirect Approach Doctrine;Medium;M45078;x
45120;Chief of Navy;ジョン・F・キング;36;LWR;Indirect Approach Doctrine;Medium;M45029;x
45121;Chief of Navy;ジャック・リチャード;39;LE;Power Projection Doctrine;Medium;M45096;x
45123;Chief of Air Force;ジョセフ・ロメオ・ヴァチョン;36;SC;Air Superiority Doctrine;Medium;M45123;x
45124;Chief of Air Force;P・W・オーランド;36;PA;Army Aviation Doctrine;Medium;M45020;x
45126;Chief of Air Force;ジノ・ヴァーチエラ;36;LE;Air Superiority Doctrine;Medium;M45082;x
45127;Chief of Air Force;ボブ・マン;43;LE;Army Aviation Doctrine;Medium;M45030;x
45128;Head of State;ジョン・トウィーズミュア男爵;36;SC;Benevolent Gentleman;High;M45001;x
45129;Head of State;サー・ライマン・プーア;40;SC;Popular Figurehead;High;M45129;x
45130;Head of State;サー・ライマン・プーア;40;ML;Popular Figurehead;High;M45129;x
45131;Head of State;アレクサンダー・ケンブリッジ卿;40;ML;Stern Imperialist;High;M45131;x
45132;Head of State;アレクサンダー・ケンブリッジ卿;40;SC;Stern Imperialist;High;M45131;x
45133;Head of State;ハロルド・アレクサンダー卿;46;SC;Resigned Generalissimo;High;M45133;x
45134;Head of State;ハロルド・アレクサンダー卿;46;ML;Resigned Generalissimo;High;M45133;x
45135;Head of Government;ルイス・サンロラン;48;ML;Old General;High;M45042;x
45136;Head of Government;ゴードン・グレイドン;48;SC;Silent Workhorse;High;M45071;x
45137;Head of Government;J・L・イルセー;52;SC;Silent Workhorse;High;M45137;x
45138;Foreign Minister;レスター・B・ピアスン;48;ML;Ideological Crusader;High;M45138;x
45139;Foreign Minister;ロバート・スタンフィールド;48;SC;Biased Intellectual;High;M45139;x
45140;Minister of Armament;ブルック・クラクストン;48;ML;Air Superiority Proponent;High;M45140;x
45141;Minister of Armament;ラルフ・オズボーン・カンプネ;48;SC;Laissez-Faire Capitalist;High;M45141;x
45142;Minister of Security;スチュアート・シンクレア・ガーソン;48;ML;Man of the People;Very High;M45142;x
45143;Minister of Security;エドモンド・デイヴィッド・ファットン;48;SC;Compassionate Gentleman;Very High;M45143;x
45144;Head of Military Intelligence;ワルター・エドワード・ハリス;48;ML;Dismal Enigma;Very High;M45144;x
45145;Head of Military Intelligence;ビル・ニューソン;51;SC;Logistics Specialist;Very High;M45145;x
45146;Head of State;ヴィンセント・マッセイ;52;SC;Autocratic Charmer;High;M45146;x
45147;Head of State;ヴィンセント・マッセイ;52;ML;Autocratic Charmer;High;M45146;x
45170;Head of State;ジョルジュ・P・バニエ;59;SC;Popular Figurehead;High;M45170;x
45171;Head of State;ジョルジュ・P・バニエ;59;ML;Popular Figurehead;High;M45170;x
45148;Head of Government;ジョン・ディーフェンベーカー;57;SC;Flamboyant Tough Guy;High;M45042;x
45149;Head of Government;レスター・B・ピアスン;63;ML;Backroom Backstabber;High;M45138;x
45150;Foreign Minister;ハワード・チャールズ・グリーン;57;SC;Ideological Crusader;High;M45150;x
45151;Foreign Minister;ポール・ヨーゼフ・マルティン;63;ML;Great Compromiser;High;M45151;x
45152;Minister of Armament;ジョージ・パークス;57;SC;Infantry Proponent;High;M45152;x
45153;Minister of Armament;ダグ・ハークネス;60;SC;Laissez-Faire Capitalist;High;M45153;x
45154;Minister of Armament;ゴードン・M・チャーチル;63;SC;Strategic Air Proponent;High;M45154;x
45155;Minister of Armament;ポール・ヘリヤー;63;ML;Military Entrepreneur;High;M45155;x
45156;Minister of Security;ドナルド・M・フレミング;62;SC;Prince of Terror;Very High;M45156;x
45157;Minister of Security;ライオネル・シェブリエ;63;ML;Crime Fighter;Very High;M45157;x
45158;Head of Military Intelligence;ダグラス・C・アボット;49;ML;Political Specialist;High;M45158;x
45159;Head of Military Intelligence;ドナルド・M・フレミング;57;SC;Dismal Enigma;High;M45156;x
45160;Head of Military Intelligence;ジョージ・ノーラン;63;ML;Technical Specialist;High;M45160;x
45161;Chief of Staff;ガイ・シモンズ;51;ML;School of Manoeuvre;High;L52065;x
45162;Chief of Staff;ハワード・グラハム;55;ML;School of Fire Support;High;M45162;x
45163;Chief of Staff;ジェフリー・ウォルシュ;58;SC;School of Mass Combat;High;M45163;x
45164;Chief of Army;ラルフ・キーフラー;52;ML;Guns and Butter Doctrine;High;L52030;x
45165;Chief of Army;エドワード・プラウ;56;ML;Static Defence Doctrine;High;L52054;x
45166;Chief of Army;クレランス・ハーペル;61;SC;Elastic Defence Doctrine;High;M45166;x
45167;Chief of Navy;ダニエル・ハニントン;57;SC;Open Seas Doctrine;Medium;M45167;x
45168;Chief of Air Force;ロイド・ブレッドナー;41;ML;Army Aviation Doctrine;Medium;M45168;x
45169;Chief of Air Force;ロバート・レッキー;53;ML;Naval Aviation Doctrine;Medium;M45169;x
45172;Head of State;ヴィアー・ポンソンビー;31;SC;Popular Figurehead;Medium;M45172;x
