ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1188;Chief of Air Force;サー・フレデリック・ボウヒル;35;ML;Naval Aviation Doctrine;High;L1417;x
1189;Head of State;ジョージ6世;35;SD;Benevolent Gentleman;High;M1033;x
1190;Head of State;エリザベス2世;35;SD;Popular Figurehead;High;M1182;x
1191;Head of Government;アンソニー・イーデン;55;SC;Political Protege;High;M1003;x
1192;Head of Government;ハロルド・マクミラン;57;SC;Corporate Suit;High;M1192;x
1193;Head of Government;アレック・ダグラス＝ヒューム;63;SC;Happy Amateur;High;M1193;x
1194;Head of Government;ヒュー・ゲイツケル;54;SD;Naive Optimist;High;M1194;x
1195;Head of Government;ハロルド・ウィルソン;63;SD;Ambitious Union Boss;High;M1195;x
1196;Foreign Minister;ハロルド・マクミラン;55;SC;Biased Intellectual;Medium;M1192;x
1197;Foreign Minister;アレック・ダグラス＝ヒューム;60;SC;Great Compromiser;Medium;M1193;x
1198;Foreign Minister;リチャード・A・バトラー;63;SC;The Cloak N Dagger Schemer;Medium;M1064;x
1199;Foreign Minister;アルフレッド・ローベンス;53;SD;Apologetic Clerk;Medium;M1199;x
1200;Foreign Minister;アニューリン・ベヴァン;56;SD;Ideological Crusader;Medium;M1021;x
1201;Foreign Minister;デニス・ヒーレイ;59;SD;Iron Fisted Brute;Medium;M1201;x
1202;Foreign Minister;ハロルド・ウィルソン;61;SD;Ideological Crusader;Medium;M1195;x
1203;Foreign Minister;パトリック・ゴードン・ウォーカー;63;SD;Apologetic Clerk;Medium;M1203;x
1204;Minister of Armament;ハロルド・マクミラン;54;SC;Resource Industrialist;Medium;M1192;x
1205;Minister of Armament;ウォルター・モンクトン;55;SC;Air Superiority Proponent;Medium;M1205;x
1206;Minister of Armament;アントニー・ヘッド;56;SC;Submarine Proponent;Medium;M1206;x
1207;Minister of Armament;ダンカン・サンディズ;57;SC;Laissez-Faire Capitalist;Medium;M1207;x
1208;Minister of Armament;ハロルド・ワトキンソン;59;SC;Infantry Proponent;Medium;M1208;x
1209;Minister of Armament;ピーター・ソーニークロフト;62;SC;Military Entrepreneur;Medium;M1209;x
1210;Minister of Armament;ハロルド・ウィルソン;59;SD;Administrative Genius;Medium;M1195;x
1211;Minister of Armament;デニス・ヒーレイ;61;SD;Resource Industrialist;Medium;M1201;x
1212;Minister of Security;グウィリム・ロイド＝ジョージ;54;SC;Prince of Terror;High;M1212;x
1213;Minister of Security;リチャード・A・バトラー;57;SC;Back Stabber;High;M1064;x
1214;Minister of Security;ヘンリー・ブルック;62;SC;Efficient Sociopath;High;M1214;x
1215;Minister of Security;パトリック・ゴードン・ウォーカー;56;SD;Silent Lawyer;High;M1203;x
1216;Minister of Security;フランク・パケナム;61;SD;Man of the People;High;M1216;x
1217;Head of Military Intelligence;アントニー・ヘッド;51;SC;Industrial Specialist;High;M1206;x
1218;Head of Military Intelligence;ジョン・ヒュー・ヘアー;57;SC;Naval Intelligence Specialist;High;M1218;x
1219;Head of Military Intelligence;クリストファー・ソームズ;58;SC;Political Specialist;High;M1219;x
1220;Head of Military Intelligence;ジョン・プロフューモ;60;SC;Dismal Enigma;High;M1220;x
1221;Head of Military Intelligence;ジェームズ・ラムズデン;63;SC;Technical Specialist;High;M1221;x
1222;Head of Military Intelligence;ジェームズ・キャラハン;52;SD;Industrial Specialist;Very High;M1222;x
1224;Chief of Staff;サー・ウィリアム・スリム;48;ML;School of Psychology;Medium;L1281;x
1225;Chief of Staff;サー・ジョン・ハーディング;52;ML;School of Manoeuvre;Medium;L1153;x
1226;Chief of Staff;サー・ジェラルド・テンプラー;55;ML;School of Mass Combat;Medium;L1294;x
1227;Chief of Staff;サー・フランシス・フェスティング;58;ML;School of Defence;Medium;L1120;x
1228;Chief of Staff;サー・リチャード・アミアット＝フル;61;ML;School of Fire Support;Medium;L1009;x
1229;Chief of Army;サー・ウィリアム・スリム;48;ML;Elastic Defence Doctrine;Medium;L1281;x
1230;Chief of Army;サー・ジョン・ハーディング;52;ML;Decisive Battle Doctrine;Medium;L1153;x
1231;Chief of Army;サー・ジェラルド・テンプラー;55;ML;Guns and Butter Doctrine;Medium;L1294;x
1232;Chief of Army;サー・フランシス・フェスティング;58;ML;Static Defence Doctrine;Medium;L1120;x
1233;Chief of Army;サー・リチャード・アミアット＝フル;61;ML;Armoured Spearhead Doctrine;Medium;L1009;x
1234;Chief of Navy;サー・R・B・ブルース＝フレイザー;48;ML;Base Control Doctrine;Very High;L1328;x
1235;Chief of Navy;サー・ロデリック・マグガレー;51;ML;Power Projection Doctrine;Very High;M1235;x
1236;Chief of Navy;マウントバッテン伯爵;55;ML;Decisive Naval Battle Doctrine;Very High;M1236;x
1237;Chief of Navy;サー・デビッド・ルース;60;ML;Indirect Approach Doctrine;Very High;M1237;x
1238;Chief of Air Force;サー・ウィリアム・ショルト・ダグラス;44;SL;Air Superiority Doctrine;High;L1479;x
1239;Chief of Air Force;サー・ジョン・スレッサー;48;ML;Air Superiority Doctrine;High;L1480;x
1240;Chief of Air Force;サー・ウィリアム・ディクスン;53;ML;Carpet Bombing Doctrine;High;M1240;x
1241;Chief of Air Force;サー・ダーモット・ボイル;56;ML;Vertical Envelopment Doctrine;High;M1241;x
1242;Chief of Air Force;サー・トーマス・パイク;59;ML;Naval Aviation Doctrine;High;M1242;x
1243;Chief of Air Force;サー・チャールズ・エルウォーシー;63;ML;Army Aviation Doctrine;High;M1243;x
1247;Minister of Security;バーバラ・キャッスル;55;SD;Crime Fighter;Very High;M1099;x
1248;Minister of Armament;ジェームズ・キャラハン;59;SD;Military Entrepreneur;Very High;M1222;x
1249;Minister of Armament;ジョー・グリモンド;56;SL;Laissez-Faire Capitalist;Very High;M1249;x
1250;Head of Government;ジョー・グリモンド;56;SL;Flamboyant Tough Guy;Very High;M1249;x
1251;Head of Government;デヴィッド・ロイド・ジョージ;40;PA;Naive Optimist;Very High;M1160;x
1252;Minister of Armament;ヒュー・ゲイツケル;50;SD;Laissez-Faire Capitalist;Very High;M1194;x
1253;Head of Government;ハーバート・モリソン;48;SD;Silent Workhorse;Very High;M1048;x
1254;Minister of Armament;サー・デリック・ヒースコート＝エイモリー;58;ML;Resource Industrialist;Very High;M1254;x
1255;Minister of Armament;レジナルド・モードリング;61;ML;Laissez-Faire Capitalist;Very High;M1255;x
1256;Head of Government;リチャード・A・バトラー;61;ML;Backroom Backstabber;Very High;M1064;x
1257;Minister of Armament;ジョン・セルウィン・ロイド;55;ML;Administrative Genius;Very High;M1046;x
