CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
44055;Foreign Minister;ルイス・アラモス・バロス;41;SD;Ideological Crusader;High;M44055;x
44056;Foreign Minister;エルネスト・バラス・ハルパ;42;SD;General Staffer;Medium;M44056;x
44057;Foreign Minister;J・フェルナンデス・イ・フェルナンデス;42;SD;The Cloak N Dagger Schemer;Medium;M44057;x
44058;Foreign Minister;ラウル・フリエ・ゴメス;45;SD;Apologetic Clerk;Medium;M44058;x
44059;Foreign Minister;J・R・ギテレス・アレンデ;38;SL;Biased Intellectual;High;M44059;x
44060;Foreign Minister;ルイス・アルテアガ・ガルシア;38;SL;The Cloak N Dagger Schemer;Medium;M44023;x
44061;Foreign Minister;ミゲル・クルチャガ・タコマール;42;PA;Iron Fisted Brute;Medium;M44003;x
44062;Foreign Minister;フランシスコ・オライアン・オレゴ;42;SC;General Staffer;Medium;M44062;x
44063;Foreign Minister;カルロス・D・ソト;43;SC;The Cloak N Dagger Schemer;Medium;M44063;x
44064;Foreign Minister;ルイス・レナルド・バレンスエラ;46;SC;Apologetic Clerk;High;M44064;x
44065;Foreign Minister;J・G・フォン・マレース;38;FA;Ideological Crusader;Very Low;M44011;x
44066;Foreign Minister;ルイス・アルテアガ・ガルシア;38;LE;The Cloak N Dagger Schemer;Medium;M44023;x
44067;Foreign Minister;フェルナンド・ブロウン・モラレス;46;LWR;Apologetic Clerk;Medium;M44067;x
44068;Minister of Armament;カルロス・ガルシア・パラシオス;38;SD;Theoretical Scientist;High;M44068;x
44069;Minister of Armament;ファン・リオス・モラレス;38;SD;Resource Industrialist;High;M44069;x
44070;Minister of Armament;ルイス・アラモス・バロス;39;SD;Infantry Proponent;High;M44055;x
44071;Minister of Armament;ペドロ・アギレ・セルダ;40;SD;laissez-faire capitalist;Medium;M44031;x
44072;Minister of Armament;カルロス・フエンテス・ラーベ;41;SD;Military Entrepreneur;High;M44072;x
44073;Minister of Armament;フランシスコ・ワルケル・リナレス;42;SD;Tank Proponent;Very High;M44073;x
44074;Minister of Armament;ダリオ・ムヒカ・ガンボア;44;SD;Air Superiority Proponent;Medium;M44010;x
44075;Minister of Armament;マヌエル・C・ピレイラ;46;SD;Resource Industrialist;High;M44075;x
44076;Minister of Armament;ホセ・ルイス・サンチェス・ベサ;37;SL;Air to Ground Proponent;High;M44076;x
44077;Minister of Armament;クリストバル・サエンス・セルダ;38;SL;Administrative Genius;Medium;M44052;x
44078;Minister of Armament;エンリケ・ビリェガス;38;SC;laissez-faire capitalist;High;M44078;x
44079;Minister of Armament;ビクトル・ラレンス・キハダ;39;SC;Submarine Proponent;High;M44079;x
44080;Minister of Armament;フランシスコ・オライアン・オレゴ;43;SC;Battle Fleet Proponent;Medium;M44062;x
44081;Minister of Armament;ミサエル・ガリェギリョス;46;SC;Corrupt Kleptocrat;Low;M44012;x
44082;Minister of Armament;グスタボ・ロス・サンタ・マリア;46;SC;Administrative Genius;Medium;M44002;x
44083;Minister of Armament;エルネスト・バラス・ハルパ;42;PA;Corrupt Kleptocrat;Medium;M44056;x
44084;Minister of Armament;マヌエル・ビアンチ・グンディアン;42;PA;Infantry Proponent;Medium;M44054;x
44086;Minister of Armament;ラモン・カリス;38;FA;Infantry Proponent;Low;M44014;x
44087;Minister of Armament;カルロス・プガ・モンサルベ;44;FA;Air to Sea Proponent;High;M44087;x
44088;Minister of Armament;C・L・ブレスト・リフォ;38;LE;Theoretical Scientist;Very Low;M44022;x
44089;Minister of Armament;アウグスティン・エドワーズ;42;LE;Air Superiority Proponent;Medium;M44089;x
44090;Minister of Armament;アウレリオ・セレドン・パルマ;46;LWR;Strategic Air Proponent;High;M44090;x
44091;Minister of Security;マヌエル・サリナス;38;SD;Silent Lawyer;High;M44091;x
44092;Minister of Security;マヌエル・モラ・ミランダ;41;SD;Back Stabber;Medium;M44045;x
44093;Minister of Security;ダリオ・ムヒカ・ガンボア;42;SD;Efficient Sociopath;Medium;M44010;x
44094;Minister of Security;アントニオ・J・ロイス;45;SD;Prince of Terror;High;M44032;x
44095;Minister of Security;アントニオ・ウネーウス;37;SL;Man of the People;High;M44095;x
44096;Minister of Security;ミゲル・ゴンサレス・リオス;38;SL;Crooked Kleptocrat;Medium;M44096;x
44097;Minister of Security;アブラーム・オルエガ・アグアヨ;38;SL;Crime Fighter;Medium;M44051;x
44098;Minister of Security;J・R・ギテレス・アレンデ;42;SC;Crime Fighter;High;M44059;x
44099;Minister of Security;マヌエル・リバス・ビクーニャ;43;SC;Prince of Terror;High;M44099;x
44100;Minister of Security;エルネスト・バラス・ハルパ;46;SC;Crooked Kleptocrat;Medium;M44056;x
44101;Minister of Security;カルロス・イバニェス・デル・カンポ;39;PA;Man of the People;Medium;M44035;x
44102;Minister of Security;ビセンテ・メリノ・ビエリチ;42;PA;Prince of Terror;Medium;M44102;x
44103;Minister of Security;カルロス・ケレル;38;FA;Back Stabber;Low;M44015;x
44104;Minister of Security;マーマデューク・グロベ;38;LE;Man of the People;Medium;M44021;x
44105;Minister of Security;クリストバル・サエンス・セルダ;45;LWR;Prince of Terror;Medium;M44052;x
44106;Head of Military Intelligence;フェデリコ・エスカマンテ;38;SD;Logistics Specialist;Medium;M44106;x
44108;Head of Military Intelligence;ファン・リオス・モラレス;41;SD;Dismal Enigma;High;M44069;x
44109;Head of Military Intelligence;エドゥアルド・イルマン;42;SD;Naval Intelligence Specialist;High;M44004;x
44110;Head of Military Intelligence;サルバドル・アジェンデ;43;SD;Industrial Specialist;Low;M44039;x
44111;Head of Military Intelligence;ダリオ・ムヒカ・ガンボア;46;SD;Technical Specialist;Medium;M44010;x
44112;Head of Military Intelligence;カルロス・フエンテス・ラーベ;38;SL;Industrial Specialist;High;M44072;x
44113;Head of Military Intelligence;カルロス・プガ・モンサルベ;40;SL;Technical Specialist;High;M44087;x
44114;Head of Military Intelligence;ビクトル・ラレンス・キハダ;42;SC;Naval Intelligence Specialist;High;M44079;x
44115;Head of Military Intelligence;フェデリコ・クラウデ;43;SL;Industrial Specialist;High;M44115;x
44116;Head of Military Intelligence;ダリオ・セリェハス・ロハス;46;SC;Logistics Specialist;Medium;M44116;x
44117;Head of Military Intelligence;アリオスト・エレーラ;38;FA;Logistics Specialist;High;M44016;x
44118;Head of Military Intelligence;ピエトロ・カンポス・バレンサナ;44;PA;Industrial Specialist;High;M44118;x
44119;Head of Military Intelligence;フリオ・アラルド・ピント;38;LE;Political Specialist;Medium;M44006;x
44121;Chief of Staff;エルネスト・M・オルランド;38;SD;School of Mass Combat;High;M44121;x
44122;Chief of Staff;アルトゥーロ・エスピノサ・ムヒカ;45;SC;School of Fire Support;High;M44122;x
44123;Chief of Staff;カルロス・プガ・モンサルベ;38;SL;School of Mass Combat;High;M44087;x
44124;Chief of Staff;ダリオ・セリェハス・ロハス;42;SC;School of Psychology;Medium;M44116;x
44125;Chief of Staff;ラウル・アライ・スティグリチ;44;SC;School of Manoeuvre;Medium;M44125;x
44126;Chief of Staff;ルイス・ビダル・バルガス;46;SC;School of Fire Support;Medium;M44126;x
44127;Chief of Staff;E・ノボア・フエンテス;42;PA;School of Defence;Medium;M44008;x
44128;Chief of Staff;ディアス・バルデラマ;38;FA;School of Defence;Very Low;M44017;x
44129;Chief of Staff;グスタボ・シルバ;38;LE;School of Manoeuvre;Medium;M44027;x
44130;Chief of Army;ルイス・オテロ・ムヒカ;38;SD;Armoured Spearhead Doctrine;High;M44130;x
44131;Chief of Army;サルバドル・アロン・ガルベス;44;SD;Guns and Butter Doctrine;High;M44131;x
44132;Chief of Army;カルロス・フエンテス・ラーベ;38;SL;Decisive Battle Doctrine;High;M44072;x
44133;Chief of Army;アルトゥーロ・エスピノサ・ムヒカ;43;SC;Static Defence Doctrine;High;M44122;x
44134;Chief of Army;オスカル・イスリエタ・モリナ;46;SC;Guns and Butter Doctrine;Medium;M44134;x
44135;Chief of Army;ラファエル・フェルナンデス・レイエス;42;PA;Elastic Defence Doctrine;Medium;M44135;x
44136;Chief of Army;ディアス・バルデラマ;38;FA;Static Defence Doctrine;Medium;M44017;x
44137;Chief of Army;フリオ・アラルド・ピント;38;LE;Elastic Defence Doctrine;Medium;M44006;x
44138;Chief of Navy;ファン・ロドリゲス;38;SD;Open Seas Doctrine;Medium;M44138;x
44139;Chief of Navy;フリオ・ヘルケン・マン;44;SD;Power Projection Doctrine;Medium;M44139;x
44140;Chief of Navy;フランシスコ・オライアン・オレゴ;38;SL;Decisive Naval Battle Doctrine;Medium;M44062;x
44142;Chief of Navy;ガストン・クルスセウスキ・ガルシア;46;SC;Base Control Doctrine;Medium;M44142;x
44144;Chief of Navy;エルナン・サラテア;38;FA;Decisive Naval Battle Doctrine;Medium;M44019;x
44145;Chief of Navy;グスタボ・シルバ;38;LE;Indirect Approach Doctrine;Medium;M44027;x
44146;Chief of Air Force;ディエゴ・アラセナ;38;SD;Air Superiority Doctrine;Medium;M44146;x
44147;Chief of Air Force;ラウル・ゴンサレス・ノリェ;46;SL;Army Aviation Doctrine;Medium;M44147;x
44148;Chief of Air Force;ホセ・ルイス・サンチェス・ベサ;37;SL;Carpet Bombing Doctrine;High;M44076;x
44149;Chief of Air Force;イスマエル・サラスア・テラン;42;SC;Vertical Envelopment Doctrine;High;M44149;x
44150;Chief of Air Force;マヌエル・トバリアス;46;SC;Army Aviation Doctrine;Low;M44150;x
44151;Chief of Air Force;アリオスト・エレーラ;38;FA;Air Superiority Doctrine;Very High;M44016;x
44152;Chief of Air Force;マーマデューク・グロベ;38;LE;Naval Aviation Doctrine;Very Low;M44021;x
44153;Chief of Air Force;グスタボ・シルバ;45;LWR;Army Aviation Doctrine;Medium;M44027;x
44154;Head of State;グスタボ・ロス・サンタ・マリア;38;SC;Popular Figurehead;High;M44002;x
44155;Head of State;マヌエル・モラ・ミランダ;42;SC;Insignificant Layman;High;M44045;x
44156;Head of Government;カルロス・イバニェス・デル・カンポ;46;SC;Old General;High;M44035;x
44157;Head of State;ヘロニモ・メンデス・アランシビア;41;SD;Stern Imperialist;High;M44157;x
44158;Head of Government;ヘロニモ・メンデス・アランシビア;41;SD;Silent Workhorse;High;M44157;x
44159;Head of State;アルフレド・ドゥアルデ・バスケス;46;SD;Pig-headed Isolationist;High;M44159;x
44160;Head of Government;アルフレド・ドゥアルデ・バスケス;46;SD;Naive Optimist;High;M44159;x
44161;Head of State;ミサエル・ガリェギリョス;44;FA;Insignificant Layman;High;M44012;x
44162;Head of State;ミゲル・クルチャガ・タコマール;38;SL;Autocratic Charmer;Medium;M44003;x
44163;Head of Government;ミゲル・クルチャガ・タコマール;38;SL;Naive Optimist;Medium;M44003;x
44164;Head of Government;ホルへ・アレッサンドリ・ロドリゲス;52;SC;Corporate Suit;High;M44164;x
