GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
46039;Foreign Minister;フランシスコ・ハビエル・アラナ;45;SC;Iron Fisted Brute;Medium;M46027;x
46041;Foreign Minister;カルロス・アルグメド・サラサル;37;PA;Great Compromiser;Medium;M46035;x
46042;Minister of Armament;ファン・アレバロ・ベルメホ;44;LWR;Resource Industrialist;Medium;M46022;x
46043;Minister of Armament;ハコポ・アルベンス・グスマン;45;SD;Infantry Proponent;Medium;M46021;x
46044;Minister of Armament;ディエゴ・A・カストロ・アリゴン;46;SD;Administrative Genius;Medium;M46044;x
46045;Minister of Armament;フリオ・エレーラ;45;SL;Resource Industrialist;Medium;M46045;x
46046;Minister of Armament;ホセ・マトス;45;SC;laissez-faire capitalist;Medium;M46014;x
46047;Minister of Armament;T・カストロ・ドミンゲス;37;PA;Corrupt Kleptocrat;Medium;M46005;x
46048;Minister of Armament;マヌエル・アロヨ;40;PA;Theoretical Scientist;Medium;M46031;x
46049;Minister of Armament;フェデリコ・ポンセ・バイデス;44;PA;Tank Proponent;Medium;M46007;x
46050;Minister of Security;マヌエル・オレリャナ;44;LWR;Crime Fighter;Medium;M46012;x
46051;Minister of Security;マヌエル・バリャダレス;45;SD;Silent Lawyer;Medium;M46015;x
46052;Minister of Security;トマス・メンドーサ・ウリベ;45;SL;Silent Lawyer;Medium;M46009;x
46053;Minister of Security;カルロス・カスティリョ・アルマス;45;SC;Silent Lawyer;Medium;M46053;x
46054;Minister of Security;アルフレド・スキナー・クレー;37;PA;Compassionate Gentleman;Medium;M46003;x
46055;Minister of Security;フェデリコ・ポンセ・バイデス;40;PA;Efficient Sociopath;Medium;M46007;x
46056;Minister of Security;R・ブエナベントゥレ・ピネダ;44;PA;Prince of Terror;Medium;M46010;x
46057;Head of Military Intelligence;アドリアン・レシノス;44;LWR;Technical Specialist;Medium;M46016;x
46058;Head of Military Intelligence;ハコポ・アルベンス・グスマン;47;SD;Political Specialist;Medium;M46021;x
46059;Head of Military Intelligence;トマス・メンドーサ・ウリベ;45;SL;Naval Intelligence Specialist;Medium;M46009;x
46060;Head of Military Intelligence;フェリペ・ウリアルテ・トマス;45;SC;Logistics Specialist;Medium;M46060;x
46061;Head of Military Intelligence;ギリェルモ・フロレス・アレンダノ;37;PA;Dismal Enigma;Medium;M46004;x
46062;Head of Military Intelligence;マヌエル・アロヨ;44;PA;Naval Intelligence Specialist;Medium;M46031;x
46063;Chief of Staff;カルロス・ディアス・デ・レオン;45;SD;School of Manoeuvre;Medium;M46063;x
46064;Chief of Staff;マヌエル・オレリャナ;44;LWR;School of Defence;Medium;M46012;x
46066;Chief of Staff;ホルヘ・ウビコ・カスタネダ;37;PA;School of Mass Combat;High;M46001;x
46067;Chief of Army;ハコポ・アルベンス・グスマン;44;LWR;Decisive Battle Doctrine;Medium;M46021;x
46068;Chief of Army;カルロス・ディアス・デ・レオン;45;SD;Armoured Spearhead Doctrine;Medium;M46063;x
46069;Chief of Army;マヌエル・オレリャナ;45;SL;Static Defence Doctrine;Medium;M46012;x
46070;Chief of Army;R・ブエナベントゥレ・ピネダ;45;SC;Guns and Butter Doctrine;Medium;M46010;x
46071;Chief of Army;フェデリコ・ポンセ・バイデス;37;PA;Decisive Battle Doctrine;Medium;M46007;x
46072;Chief of Navy;トマス・メンドーサ・ウリベ;45;SD;Indirect Approach Doctrine;Medium;M46009;x
46073;Chief of Navy;ホルヘ・トリエーリョ・ガリド;44;LWR;Power Projection Doctrine;High;M46011;x
46074;Chief of Navy;ホセ・エスイラ・アベル;45;SC;Open Seas Doctrine;Medium;M46019;x
46076;Chief of Air Force;フランシスコ・ハビエル・アラナ;44;LWR;Vertical Envelopment Doctrine;Very High;M46027;x
46077;Chief of Air Force;W・テッシュ・オルランド;45;SD;Air Superiority Doctrine;Medium;M46077;x
46079;Chief of Air Force;ミゲル・ガルシア・グラナドス;45;SC;Carpet Bombing Doctrine;Medium;M46079;x
46081;Chief of Staff;M・イディガラス・フエンテス;44;PA;School of Psychology;Medium;M46018;x
46082;Head of Government;フェデリコ・ポンセ・バイデス;44;PA;Old General;Very High;M46007;x
