AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
23085;Minister of Security;アルトゥール・ザイス＝インクヴァルト;38;NS;Silent Lawyer;High;M23011;x
23086;Minister of Security;ハンス・ロイター;42;NS;Man of the People;High;M23086;x
23087;Minister of Security;エドムント・グライゼ＝ホルステナウ;36;NS;Prince of Terror;Medium;M23050;x
23088;Minister of Security;ロベルト・ヴィンターシュタイン;38;SC;Crooked Kleptocrat;Medium;M23025;x
23089;Minister of Security;カール・テュピー;45;SC;Efficient Sociopath;Low;M23077;x
23090;Minister of Security;フランツ・ゼーベク;45;SD;Compassionate Gentleman;High;M23036;x
23091;Minister of Security;オットー・バウアー;38;LE;Back Stabber;Very Low;M23031;x
23092;Minister of Security;ヴィリ・フランク;45;ST;Crime Fighter;Medium;M23035;x
23093;Head of Military Intelligence;カルマン・セール;45;PA;Political Specialist;Medium;M23093;x
23094;Head of Military Intelligence;コンスタンティン・ドゥンバ;36;FA;Naval Intelligence Specialist;Medium;M23084;x
23095;Head of Military Intelligence;カルマン・エグルゼアー;38;FA;Logistics Specialist;High;M23095;x
23096;Head of Military Intelligence;ヴィルヘルム・ヴォルフ;38;NS;Technical Specialist;High;M23013;x
23097;Head of Military Intelligence;アレクサンダー・レーア;42;NS;Dismal Enigma;Medium;M23010;x
23098;Head of Military Intelligence;ロベルト・ヴィンターシュタイン;38;SC;Technical Specialist;High;M23025;x
23099;Head of Military Intelligence;ユリウス・ラープ;45;SC;Industrial Specialist;Medium;M23004;x
23173;Head of State;ユリウス・ラープ;51;SC;Die-hard Reformer;Medium;M23004;x
23174;Head of Government;アルフォンス・ゴルバッハ;53;SC;Flamboyant Tough Guy;Medium;M23174;x
23100;Head of Military Intelligence;フランツ・ゼーベク;45;SD;Political Specialist;High;M23036;x
23102;Head of Military Intelligence;リヒャルト・ベルナシェク;45;ST;Technical Specialist;High;M23038;x
23103;Chief of Staff;O・マイクスナー・フォン・ツヴァイエンシュタム;45;PA;School of Defence;Medium;M23103;x
23104;Chief of Staff;ヴァルター・エルンスト;36;FA;School of Defence;High;M23104;x
23105;Chief of Staff;ルドルフ・フォン・ブルダーマン;41;FA;School of Manoeuvre;High;M23105;x
23106;Chief of Staff;エミール・ヒックマン;38;NS;School of Manoeuvre;High;M23017;x
23107;Chief of Staff;アルフレート・フービキ;40;NS;School of Psychology;Medium;M23107;x
23108;Chief of Staff;オイゲン・バイヤー;42;NS;School of Fire Support;Medium;M23018;x
23109;Chief of Staff;ウィルヘルム・ツェーナー;38;SC;School of Mass Combat;High;M23008;x
23110;Chief of Staff;エリック・フォン・クロップフェンベルク;45;SC;School of Defence;High;M23039;x
23111;Chief of Staff;アドルフ・シャルフ;45;SD;School of Fire Support;Medium;M23022;x
23112;Chief of Staff;フェルディナント・シュトラッサー;38;LE;School of Manoeuvre;High;M23037;x
23114;Chief of Army;エリック・フォン・クロップフェンベルク;45;PA;Static Defence Doctrine;High;M23039;x
23115;Chief of Army;O・マイクスナー・フォン・ツヴァイエンシュタム;38;FA;Guns and Butter Doctrine;Medium;M23103;x
23116;Chief of Army;リヒャルト・マルティネク;41;FA;Elastic Defence Doctrine;Medium;M23116;x
23117;Chief of Army;オイゲン・バイヤー;38;NS;Elastic Defence Doctrine;High;M23018;x
23118;Chief of Army;ロタール・レンデュリック;42;NS;Armoured Spearhead Doctrine;Medium;M23118;x
23119;Chief of Army;ヘンリヒ・グライスナー;38;SC;Decisive Battle Doctrine;Very Low;M23028;x
23121;Chief of Army;リヒャルト・ベルナシェク;38;LE;Static Defence Doctrine;Medium;M23038;x
23123;Chief of Navy;オットー・I・フォン・ハプスブルク;45;PA;Indirect Approach Doctrine;Very High;M23041;x
23125;Chief of Navy;エミール・ヒックマン;38;NS;Open Seas Doctrine;Low;M23017;x
23126;Chief of Navy;ロベルト・ヴィンターシュタイン;38;SC;Indirect Approach Doctrine;Medium;M23025;x
23128;Chief of Navy;エリック・フォン・クロップフェンベルク;38;LE;Open Seas Doctrine;High;M23039;x
23129;Chief of Navy;ヨーゼフ・トイフル;45;ST;Base Control Doctrine;Medium;M23047;x
23130;Chief of Air Force;W・エーレンブルク・フォン・ルティッツ;45;PA;Army Aviation Doctrine;High;M23082;x
23131;Chief of Air Force;オットー・ショーベル;38;FA;Vertical Envelopment Doctrine;High;M23030;x
23133;Chief of Air Force;ヨーゼフ・ビュルケル;42;NS;Carpet Bombing Doctrine;High;M23042;x
23134;Chief of Air Force;ユリウス・イーラム;38;SC;Air Superiority Doctrine;Low;M23040;x
23135;Chief of Air Force;エゴン・ベルガー＝ヴァルデネック;42;SC;Carpet Bombing Doctrine;High;M23003;x
23139;Head of Military Intelligence;クルト・シュシュニック;37;FA;Political Specialist;Undying;M23002;x
23140;Chief of Staff;クルト・シュシュニック;36;FA;School of Fire Support;Undying;M23002;x
23141;Head of State;アルフレート・フービキ;45;NS;Stern Imperialist;High;M23107;x
23142;Chief of Air Force;アルトゥール・ブライシャ＝ヴォーティエ;42;LE;Naval Aviation Doctrine;Low;M23136;x
23143;Head of State;カール・レンナー;38;SC;Benevolent Gentleman;High;M23021;x
23144;Head of State;テオドール・ケルナー;51;SC;Weary Stiffneck;High;M23144;x
23145;Head of State;テオドール・ケルナー;51;SD;Weary Stiffneck;High;M23144;x
23146;Head of Government;レオポルト・フィグル;45;SC;Happy Amateur;High;M23045;x
23170;Head of Military Intelligence;レオポルト・フィグル;45;SC;Industrial Specialist;High;M23045;x
23147;Head of Government;ユリウス・ラープ;35;SC;Corporate Suit;Medium;M23004;x
23148;Minister of Armament;フェルディナント・グラーフ;45;SC;Laissez-Faire Capitalist;Medium;M23148;x
23171;Head of Military Intelligence;フェルディナント・グラーフ;53;SC;Political Specialist;Medium;M23148;x
23172;Head of Military Intelligence;カール・シュレインツァー;61;SC;Dismal Enigma;Medium;;x
23149;Minister of Security;ヨゼフ・ゲレ;45;SC;Silent Lawyer;Low;M23149;x
23155;Chief of Army;ヨシップ・ブロズ;42;SL;Doctrine of Autonomy;Low;M20021;x
23150;Minister of Security;オットー・チャベック;49;SC;Man of the People;Low;M23150;x
23151;Head of Military Intelligence;オスカル・ヘルマー;45;ML;Dismal Enigma;High;M23151;x
23165;Minister of Security;オスカル・ヘルマー;45;ML;Secret Police Chief;High;M23151;x
23166;Minister of Security;ジョセフ・アフリッチュ;45;SL;Man of the People;High;;x
23167;Minister of Security;フランツ・オラー;59;SL;Crooked Kleptocrat;High;;x
23152;Head of State;アドルフ・シャルフ;45;SD;Pig-headed Isolationist;Very High;M23022;x
23153;Chief of Staff;アルフレート・フォン・ヤンザ;33;PA;School of Defence;Very High;M23007;x
23154;Chief of Staff;フランツ・ベーメ;38;NS;School of Manoeuvre;Very High;L36;x
23157;Minister of Armament;ゲオルグ・ツィンマーマン;38;SC;Bank President;Very High;M23157;x
23158;Minister of Armament;オイゲン・マルガレータ;45;SC;Planned Economy Proponent;Very High;M23158;x
23159;Minister of Armament;ラインハルト・カーミッツ;49;PA;Laissez-Faire Capitalist;Very High;M23159;x
23160;Minister of Armament;エドゥアルド・ヘイリンセッツァー;52;SC;Construction Magnate;Very High;;x
23161;Minister of Armament;ジョセフ・クラウス;-840;SC;Military Entrepreneur;Very High;M23161;x
23162;Minister of Armament;フランツ・コリネック;61;SC;Resource Industrialist;Very High;M23162;x
23163;Foreign Minister;ブルーノ・クレイスキー;53;SL;Great Compromiser;Very High;M23163;x
23164;Minister of Security;フランツ・ホナー;40;LWR;Efficient Sociopath;Very High;M23164;x
