SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
528046;Chief of Staff;ルシアン・カンバ;41;SL;School of Manoeuvre;Medium;M528046;x
528047;Chief of Staff;フセイン・アル＝ザイム;45;SL;School of Mass Combat;Medium;M528047;x
528048;Chief of Staff;シャイク・ムハメド・アル＝ガウジ;36;SC;School of Fire Support;Medium;M528024;x
528049;Chief of Army;ファウジ・アル＝クワウジ;36;PA;Static Defence Doctrine;Medium;M528049;x
528050;Chief of Army;ジョルジュ・カトルー;41;SL;Decisive Battle Doctrine;Medium;L24029;x
528051;Chief of Army;アディブ・アル＝シシャクリ;45;SL;Guns and Butter Doctrine;Medium;M528051;x
528052;Chief of Army;ベルナール・デュペリエ;36;SC;Elastic Defence Doctrine;Medium;M528052;x
528053;Chief of Navy;シャイク・ムハメド・アル＝ガウジ;36;PA;Base Control Doctrine;Medium;M528024;x
528054;Chief of Navy;オマル・アブラシュ;45;SL;Open Seas Doctrine;Medium;M528054;x
528055;Chief of Navy;イヴ・モランダ;36;SC;Decisive Naval Battle Doctrine;Medium;M528005;x
528056;Chief of Air Force;フセイン・アル＝ザイム;36;PA;Air Superiority Doctrine;Medium;M528047;x
528057;Chief of Air Force;アンリ・アミエル;45;SL;Army Aviation Doctrine;Medium;M528007;x
528058;Chief of Air Force;アンリ・アミエル;36;SC;Vertical Envelopment Doctrine;Medium;M528007;x
528059;Minister of Armament;アミル・ムスタファ・アル＝シハビ;40;PA;laissez-faire capitalist;High;M528059;x
528060;Head of State;フセイン・アル＝ザイム;49;SL;Resigned Generalissimo;High;M528047;x
528061;Head of State;ファウジ・アス・シル;51;SL;Barking Buffoon;High;M528061;x
528062;Head of State;アディブ・アル＝シシャクリ;53;SL;Powerhungry Demagogue;High;M528051;x
528063;Head of Government;ハリド・アル・アズム;48;SL;Flamboyant Tough Guy;High;M528063;x
528064;Head of Government;フセイン・アル＝ザイム;49;SL;Old General;High;M528047;x
528065;Head of Government;ムフシン・アル・バラジ;49;SL;Silent Workhorse;High;M528065;x
528066;Head of Government;ハシム・アル＝アタシ;49;SL;Happy Amateur;High;M528012;x
528067;Head of Government;ナーズム・アル・クドゥシ;50;SL;Ambitious Union Boss;High;M528067;x
528068;Head of Government;ハッサン・アル・ハキム;51;SL;Smiling Oilman;High;M528068;x
528069;Head of Government;ファウジ・アス・シル;51;SL;Old General;High;M528061;x
528070;Head of Government;アディブ・アル＝シシャクリ;53;SL;Corporate Suit;High;M528051;x
528071;Chief of Staff;ファウジ・アス・シル;49;SL;School of Defence;Medium;M528061;x
528072;Minister of Armament;ハリド・アル・アズム;46;SL;Resource Industrialist;Medium;M528063;x
528073;Foreign Minister;ムフシン・アル・バラジ;39;SL;Apologetic Clerk;High;M528065;x
528074;Minister of Security;ナーズム・アル・クドゥシ;43;SL;Silent Lawyer;Medium;M528067;x
528075;Minister of Armament;ハッサン・アル・ハキム;49;SL;Air to Ground Proponent;Medium;M528068;x
528076;Head of Military Intelligence;サミ・ヒンナーウィー;44;SL;Logistics Specialist;Medium;M528076;x
528077;Chief of Air Force;ハリード・アル・ラジ;49;SL;Carpet Bombing Doctrine;Medium;M528077;x
