EST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
26044;Head of Government;ヨハネス・ラウリスティン;39;ST;Happy Amateur;High;M26044;x
26045;Head of Government;オスカル・セプレ;40;ST;Silent Workhorse;High;M26044;x
26046;Head of Government;アーノルト・ヴェイマー;44;ST;Naive Optimist;High;M26046;x
26047;Foreign Minister;アウグスト・レイ;36;ML;Ideological Crusader;Medium;M26031;x
26048;Foreign Minister;アンツ・ビープ;39;PA;Great Compromiser;Medium;M26048;x
26049;Foreign Minister;カレル・リーダク;44;ML;Iron Fisted Brute;High;M26039;x
26050;Foreign Minister;フレデリク・カール・アケル;36;PA;General Staffer;Medium;M26050;x
26051;Foreign Minister;カール・セルター;38;PA;Biased Intellectual;Medium;M26004;x
26052;Foreign Minister;ヤルマル・メイ;36;NS;Iron Fisted Brute;Medium;M26011;x
26053;Foreign Minister;ヨハネス・ラウリスティン;36;ST;Apologetic Clerk;Medium;M26044;x
26054;Foreign Minister;ニゴール・アンドレセン;40;ST;Iron Fisted Brute;Medium;M26023;x
26055;Foreign Minister;ハンス・クルス;44;ST;Ideological Crusader;Medium;M26055;x
26056;Minister of Armament;レオ・セップ;36;ML;Resource Industrialist;Medium;M26056;x
26057;Minister of Armament;フーゴ・パーテルポー;44;ML;laissez-faire capitalist;Medium;M26057;x
26059;Minister of Armament;オットー・ティエフ;38;PA;Corrupt Kleptocrat;Low;M26038;x
26060;Minister of Armament;コンスタンティン・パッツ;39;PA;Administrative Genius;Very High;M26001;x
26061;Minister of Armament;アルフレート・ヴェント;36;FA;Military Entrepreneur;Medium;M26014;x
26062;Minister of Armament;ユハン・ナルマ＝ナイティク;36;ST;Resource Industrialist;Medium;M26024;x
26063;Minister of Armament;パウル・ケールド;40;ST;Corrupt Kleptocrat;Medium;M26063;x
26064;Minister of Armament;ニコラウス・ピランコール;44;ST;Military Entrepreneur;Medium;M26064;x
26065;Minister of Security;リヒャルト・ヴェールマー;36;ML;Silent Lawyer;Medium;M26065;x
26066;Minister of Security;アウグスト・ユリマ;39;ML;Crooked Kleptocrat;Medium;M26066;x
26067;Minister of Security;ヨハネス・クレスメント;44;ML;Compassionate Gentleman;Medium;M26067;x
26069;Minister of Security;ユリウス・セリャマ;38;PA;Prince of Terror;Medium;M26003;x
26070;Minister of Security;オスカル・アンゲルス;36;NS;Prince of Terror;Medium;M26015;x
26071;Minister of Security;カール・シギスムント・リッツマン;41;NS;Back Stabber;Low;M26035;x
26072;Minister of Security;アンドレイ・ムロ;36;ST;Man of the People;Medium;M26072;x
26073;Minister of Security;マクシム・ウント;39;ST;Prince of Terror;Medium;M26025;x
26074;Minister of Security;ボリス・クム;40;ST;Efficient Sociopath;Medium;M26074;x
26075;Minister of Security;アレクサンダー・ルセヴ;44;ST;Back Stabber;Medium;M26075;x
26076;Head of Military Intelligence;ユーリー・ウルオツ;36;ML;Industrial Specialist;Medium;M26032;x
26077;Head of Military Intelligence;アウグスト・レイ;44;ML;Political Specialist;Medium;M26031;x
26079;Head of Military Intelligence;オスカル・アンゲルス;36;NS;Logistics Specialist;Medium;M26015;x
26080;Head of Military Intelligence;オスカル・セプレ;36;ST;Dismal Enigma;Medium;M26044;x
26081;Head of Military Intelligence;ヨハネス・ヴァレス＝バルバルセ;40;ST;Political Specialist;Medium;M26021;x
26082;Head of Military Intelligence;アーノルト・ヴェイマー;44;ST;Technical Specialist;Very High;M26046;x
26083;Chief of Staff;アレクサンダー・ヤークソン;36;ML;School of Fire Support;Medium;M26083;x
26084;Chief of Staff;ヨハン・ホルベルク;41;ML;School of Defence;Medium;M26084;x
26086;Chief of Staff;ヨハネス・ソードゥラ;36;NS;School of Psychology;Medium;M26017;x
26087;Chief of Staff;ニコライ・G・カロタム;36;ST;School of Mass Combat;Medium;M26027;x
26089;Chief of Army;リヒャルト・ヴェールマー;36;ML;Decisive Battle Doctrine;Medium;M26065;x
26091;Chief of Army;ユハン・トゥーリンク;36;NS;Decisive Battle Doctrine;Medium;M26018;x
26092;Chief of Army;アルフォンス・レバネ;41;NS;Armoured Spearhead Doctrine;Medium;M26092;x
26093;Chief of Army;ニコライ・G・カロタム;36;ST;Decisive Battle Doctrine;Medium;M26027;x
26094;Chief of Navy;アレックス・ニルク;36;ML;Power Projection Doctrine;Medium;M26094;x
26096;Chief of Navy;アルフレート・ヴェント;36;FA;Indirect Approach Doctrine;Medium;M26014;x
26097;Chief of Navy;ヨハネス・ヴァレス＝バルバルセ;36;ST;Power Projection Doctrine;Medium;M26021;x
26098;Chief of Air Force;レオ・セップ;36;ML;Carpet Bombing Doctrine;Medium;M26056;x
26100;Chief of Air Force;ユハン・トゥーリンク;36;NS;Army Aviation Doctrine;Medium;M26018;x
26101;Chief of Air Force;オスカル・エリクソン;36;ST;Carpet Bombing Doctrine;Medium;M26030;x
26102;Head of Government;ユーリー・ウルオツ;39;PA;Smiling Oilman;High;M26032;x
26103;Head of State;ボリス・クム;46;ST;Pig-headed Isolationist;High;M26074;x
26104;Chief of Navy;オスカル・エリクソン;46;ST;Open Seas Doctrine;Medium;M26030;x
