KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
521048;Chief of Army;マラゴザ・タハバイエフ;36;LE;Static Defence Doctrine;Medium;M521048;x
521049;Chief of Army;バクティト・ゴリヤシェンコ;36;SD;Armoured Spearhead Doctrine;Medium;M521049;x
521050;Chief of Army;エヴゲニー・ソコロフ;36;ML;Elastic Defence Doctrine;Medium;M521050;x
521051;Chief of Army;ウラズ・ズシャンドソフ;36;PA;Decisive Battle Doctrine;Medium;M521051;x
521052;Chief of Navy;アスマリ・トルボイエフ;36;LE;Base Control Doctrine;Medium;M521052;x
521053;Chief of Navy;ギルナラ・ポポフ;36;SD;Decisive Naval Battle Doctrine;Medium;M521053;x
521054;Chief of Navy;クバン・バクールベク;36;ML;Base Control Doctrine;Medium;M521054;x
521055;Chief of Navy;ミハイ・ドラトセンコ;36;PA;Indirect Approach Doctrine;Medium;L500120;x
521056;Chief of Air Force;ミハイル・ウス;36;LE;Naval Aviation Doctrine;Medium;M521038;x
521057;Chief of Air Force;ミハイル・V・フルンゼ;36;SD;Vertical Envelopment Doctrine;Medium;M521008;x
521058;Chief of Air Force;パヴェル・シャマエフ;36;ML;Army Aviation Doctrine;Medium;M521058;x
521059;Chief of Air Force;オットー・ランゲメイヤー;36;PA;Carpet Bombing Doctrine;Medium;M521059;x
521060;Head of State;クルト・ダリューゲ;36;NS;Reichskommissar;Medium;M82;x
