U16;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
191016;Foreign Minister;アラシュ・ブルブル;35;SD;Great Compromiser;Medium;M516005;x
191017;Foreign Minister;マハマド・ラフマン;35;ML;Iron Fisted Brute;Medium;M516017;x
191018;Minister of Armament;メフディ・フセイン;35;LWR;Tank Proponent;Medium;M516018;x
191019;Minister of Armament;マフムード・ガスバラタム博士;35;LWR;laissez-faire capitalist;Medium;M516019;x
191020;Minister of Armament;アミン・アジズ;35;LWR;Infantry Proponent;Medium;M516020;x
191021;Minister of Armament;ラジブ・クルベンジアン;35;SD;Corrupt Kleptocrat;High;M516011;x
191022;Minister of Armament;イスマイル・シクハリ;35;ML;Military Entrepreneur;High;M516022;x
191023;Minister of Security;ニガル・ラフィベリ;35;LWR;Crime Fighter;Medium;M516023;x
191024;Minister of Security;サバト・ラフマン;35;LWR;Silent Lawyer;Medium;M516024;x
191025;Minister of Security;ラスル・レザ;35;SD;Man of the People;Medium;M516006;x
191026;Minister of Security;ミルザ・イブラヒモフ;35;ML;Back Stabber;Medium;M516026;x
191027;Head of Military Intelligence;ナリマン・ナリマノフ;35;LWR;Naval Intelligence Specialist;Medium;M516027;x
191028;Head of Military Intelligence;スルタノフ・コスロフ・エブク;35;SD;Logistics Specialist;Medium;M516028;x
191029;Head of Military Intelligence;ラフムド・アジジバヨブ;35;ML;Dismal Enigma;Medium;M516029;x
191030;Chief of Staff;サメド・ベイ・メフマンダロフ;35;SD;School of Defence;Medium;M516030;x
191031;Chief of Staff;カリル・マメドフ;35;ML;School of Fire Support;Medium;M516008;x
191032;Chief of Army;マフムド・ヌリ・ベルケズ;35;SD;Elastic Defence Doctrine;Medium;M516007;x
191033;Chief of Army;スーレブ・ハコプ・ガスパリアン;35;ML;Armoured Spearhead Doctrine;Medium;M516033;x
191034;Chief of Navy;サメド・ベイ・メフマンダロフ;35;SD;Base Control Doctrine;High;M516030;x
191035;Chief of Navy;イスマイル・マコフ;35;ML;Indirect Approach Doctrine;High;M516035;x
191036;Chief of Air Force;カンビズ・クラスノシャプカ;35;SD;Naval Aviation Doctrine;High;M516009;x
191037;Chief of Air Force;アンドロニク・アブラム・カザリアン;35;ML;Army Aviation Doctrine;High;M516037;x
192001;Head of State;カンディド・チャルクヴィアニ;35;ST;Barking Buffoon;High;M519001;x
192002;Head of Government;ラヴレンティ・ベリヤ;35;ST;Flamboyant Tough Guy;High;M519002;x
192003;Foreign Minister;ブドゥ・ムディヴァニ;35;ST;The Cloak N Dagger Schemer;High;M519003;x
192004;Minister of Armament;ゲオルギ・エリアヴァ;35;ST;Theoretical Scientist;Medium;M519004;x
192005;Minister of Security;セルゴ・オルゾニキゼ;35;ST;Prince of Terror;Medium;M519005;x
192006;Head of Military Intelligence;ニコラ・ナカシゼ;35;ST;Industrial Specialist;Medium;M519006;x
192007;Chief of Staff;ラヴレンティ・ベリヤ;35;ST;School of Psychology;Medium;M519007;x
192008;Chief of Army;イゴール・D・チェルニアコフスキ;35;ST;Elastic Defence Doctrine;Medium;M519008;x
192009;Chief of Navy;アレクセイ・ブルシロフ;35;ST;Open Seas Doctrine;Medium;M519009;x
192010;Chief of Air Force;マミア・オラケラシュヴィル;35;ST;Naval Aviation Doctrine;Medium;M519010;x
192011;Head of State;ラファエル・イヴァニツキ＝インギロ;35;SD;Pig-headed Isolationist;High;M519011;x
192012;Head of State;マルガレータ・アブカジ1世;35;SL;Popular Figurehead;High;M519012;x
192013;Head of State;イラクリー・バグラチオン・ド・ムカニ4世;35;SC;Autocratic Charmer;High;M519013;x
192014;Head of State;アンドリー・チヴァジェゼ2世;35;NS;Stern Imperialist;High;M519014;x
192015;Head of Government;ミケイル・ジャヴァキシュヴィリ;35;SD;Naive Optimist;High;M519015;x
192016;Head of Government;イヴァネ・チチシュヴィリ博士;35;SL;Backroom Backstabber;High;M519016;x
192017;Head of Government;イヴァネ・ヤヴァキシュヴィリ;35;SC;Silent Workhorse;High;M519017;x
192018;Head of Government;ミハイル・フォン・ツェレテリ;35;NS;Happy Amateur;High;M519018;x
192019;Foreign Minister;ムクラン・ニニアゼ;35;ST;Iron Fisted Brute;High;M519019;x
192020;Foreign Minister;フィリップ・マカラゼ;35;ST;Ideological Crusader;High;M519020;x
192021;Foreign Minister;シャルヴァ・アミレイビ;35;SD;Apologetic Clerk;High;M519021;x
192022;Foreign Minister;アボット・エフレム・コルセリゼ;35;SL;Apologetic Clerk;High;M519022;x
192023;Foreign Minister;ヴァランタン・S・オスチェポフ;35;SL;Biased Intellectual;High;M519023;x
192024;Foreign Minister;パトリアーチ・カリストラーテ・チンタゼ;35;SC;Iron Fisted Brute;High;M519024;x
192025;Foreign Minister;アレクサンダー・ニクラゼ;35;NS;Great Compromiser;High;M519025;x
192026;Minister of Armament;バチュア・ゼズヴァスゼ;35;ST;Resource Industrialist;Medium;M519026;x
192027;Minister of Armament;ベソ・ロミナゼ;35;SD;Theoretical Scientist;Medium;M519027;x
192028;Minister of Armament;テドレ・サコイア;35;SD;Resource Industrialist;Medium;M519028;x
192029;Minister of Armament;ゲオルゲ・グヴァザヴァ;35;SL;laissez-faire capitalist;Medium;M519029;x
192030;Minister of Armament;アヴェル・エヌキゼ;35;SC;Air Superiority Proponent;High;M519030;x
192031;Minister of Armament;ヴァシル・G・ツェレテリ;35;SC;Air to Ground Proponent;High;M519031;x
192032;Minister of Armament;ラヴァズ・ガヴァシュヴィリ;35;NS;Infantry Proponent;High;M519032;x
192033;Minister of Security;セルゲイ・カフタラゼ;35;ST;Efficient Sociopath;Medium;M519033;x
192034;Minister of Security;スタルヴァ・エリアヴィ;35;SD;Prince of Terror;Medium;M519034;x
192035;Minister of Security;ノエ・ヨルダニア;35;SL;Efficient Sociopath;Medium;M519035;x
192036;Minister of Security;メフメド・アバシゼ;35;SC;Back Stabber;Medium;M519036;x
192037;Minister of Security;アリ・ミタエフ;35;SC;Crime Fighter;Medium;M519037;x
192038;Minister of Security;エクフティメ・タカイシヴィリ;35;NS;Crime Fighter;Medium;M519038;x
192039;Head of Military Intelligence;ギロギ・ストゥルア;35;ST;Logistics Specialist;Medium;M519039;x
192040;Head of Military Intelligence;ゲオルギ・エリアヴァ;35;SD;Technical Specialist;Medium;M519004;x
192041;Head of Military Intelligence;ニコロス・カルチヴァゼ;35;SD;Political Specialist;Medium;M519041;x
192042;Head of Military Intelligence;ミハエル・アクメテリ;35;SL;Logistics Specialist;Medium;M519042;x
192043;Head of Military Intelligence;マルコズ・ツグシ;35;SC;Dismal Enigma;Medium;M519043;x
192044;Head of Military Intelligence;メラブ・コスタヴァ;35;NS;Industrial Specialist;Medium;M519044;x
192045;Chief of Staff;セクニア・ウチャシュヴィリ;35;ST;School of Defence;Medium;M519045;x
192046;Chief of Staff;カクツァ・コロカシュヴィリ;35;SD;School of Manoeuvre;Medium;M519046;x
192047;Chief of Staff;シャルヴァ・カルミゼ;35;SL;School of Mass Combat;Medium;M519047;x
192048;Chief of Staff;コンスタンティヌ・アブカジ;35;SC;School of Fire Support;Medium;M519048;x
192049;Chief of Staff;ガグカ・ド・バグラチオン;35;NS;School of Manoeuvre;Medium;M519049;x
192050;Chief of Army;アレクセイ・ブルシロフ;35;ST;Static Defence Doctrine;Medium;M519050;x
192051;Chief of Army;レヴァン・ラジカシュヴィリ;35;SD;Decisive Battle Doctrine;Medium;M519051;x
192052;Chief of Army;ワルダン・ツルキゼ;35;SL;Elastic Defence Doctrine;Medium;M519052;x
192053;Chief of Army;ニコ・ニコラゼ;35;SC;Guns and Butter Doctrine;Medium;M519053;x
192054;Chief of Army;シャルヴァ・マグラケリゼ;35;NS;Static Defence Doctrine;Medium;M519054;x
192055;Chief of Navy;ヴァレリアン・バクラゼ;35;ST;Base Control Doctrine;Medium;M519055;x
192056;Chief of Navy;サムソン・ピルツカラヴァ博士;35;SD;Power Projection Doctrine;Medium;M519056;x
192057;Chief of Navy;グリゴル・T・ロバキゼ;35;SL;Open Seas Doctrine;Medium;M519057;x
192058;Chief of Navy;ギグラ・デムナゼ;35;SC;Decisive Naval Battle Doctrine;Medium;M519058;x
192059;Chief of Navy;フランツ・ビウェル;35;NS;Indirect Approach Doctrine;Medium;M519059;x
192060;Chief of Air Force;ジャバ・ヴェプキアゼ;35;ST;Army Aviation Doctrine;Medium;M519060;x
192061;Chief of Air Force;サムソン・ピルツカラヴァ博士;35;SD;Air Superiority Doctrine;Medium;M519056;x
192062;Chief of Air Force;コテ・アンドロニカシュヴィリ;35;SL;Naval Aviation Doctrine;Medium;M519062;x
192063;Chief of Air Force;エーリヒ・フォン・ファルケンハイン;35;SC;Carpet Bombing Doctrine;Medium;M519063;x
192064;Chief of Air Force;エドゥアルド・ムール;35;NS;Air Superiority Doctrine;Medium;M519064;x
