EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
580023;Head of Government;アナクレート・オルチュータ;36;LWR;Backroom Backstabber;High;M580021;x
580024;Head of Government;テレスフォロ・モンゾン;36;LE;Flamboyant Tough Guy;High;M580024;x
580025;Foreign Minister;テレスフォロ・モンゾン;36;LE;Iron Fisted Brute;High;M580024;x
580026;Foreign Minister;トミス・ビルバオ;36;LWR;Apologetic Clerk;High;M580026;x
580027;Minister of Armament;サンティアゴ・アスナール;36;LWR;Corrupt Kleptocrat;High;M580027;x
580028;Minister of Armament;ゴンザロ・ナルディス;36;LWR;laissez-faire capitalist;High;M580028;x
580029;Minister of Security;フスト・ギレーテ;36;LWR;Efficient Sociopath;Very High;M580022;x
580030;Minister of Security;アナクレート・オルチュータ;36;LWR;Man of the People;High;M580021;x
580031;Head of Military Intelligence;ホセ・ララニャガ;36;LWR;Industrial Specialist;High;M580031;x
580032;Head of Military Intelligence;フランシスコ・シウタット・デ・ミゲル;36;LWR;Logistics Specialist;Medium;M580032;x
580033;Chief of Staff;アナクレート・オルチュータ;36;LWR;School of Fire Support;High;M580021;x
580034;Chief of Staff;フスト・ギレーテ;36;LWR;School of Psychology;Very High;M580022;x
580035;Chief of Army;フェリクス・リキニアーノ;36;LE;Decisive Battle Doctrine;High;M580035;x
580036;Chief of Army;ケパ・オルドキ;36;LE;Guns and Butter Doctrine;High;M580036;x
580037;Chief of Navy;ラファエル・メンカーサ;36;ST;Indirect Approach Doctrine;High;M580037;x
580038;Chief of Navy;マヌエル・ガルディス;36;LWR;Open Seas Doctrine;High;M580038;x
580039;Chief of Air Force;イグナシオ・イダルゴ・デ・シスネロス;36;LWR;Carpet Bombing Doctrine;Medium;M11030;x
580040;Chief of Air Force;パブロ・ラーダ;36;LWR;Naval Aviation Doctrine;High;M580040;x
580041;Head of State;アブスブルゴ家カルロス8世;36;PA;Benevolent Gentleman;High;M580041;x
580042;Head of State;アブスブルゴ家カルロス9世;36;PA;Insignificant Layman;Medium;M580042;x
580043;Head of Government;ペドロ・モウレーン・ミケレナ;36;FA;Flamboyant Tough Guy;Very High;M580043;x
580044;Head of Government;ホセ・フェリクス・レケリカ;36;PA;Silent Workhorse;High;M580044;x
580045;Foreign Minister;ホセ・マリア・デ・アレイルサ;36;PA;Great Compromiser;Very High;M580045;x
580046;Foreign Minister;ホセ・フェリクス・レケリカ;36;PA;Biased Intellectual;High;M580044;x
580047;Minister of Armament;ホセ・ルイス・アレッセ;36;FA;Resource Industrialist;Medium;M580047;x
580048;Minister of Armament;アレハンドロ・ゴイコエッケア;36;PA;Administrative Genius;High;M580048;x
580049;Minister of Security;ラファエル・サンチェス・マザ;36;FA;Compassionate Gentleman;High;M580049;x
580050;Minister of Security;ペドロ・モウレーン・ミケレナ;36;FA;Man of the People;Very High;M580043;x
580051;Head of Military Intelligence;マヌエル・アスナール;36;PA;Political Specialist;Medium;M580051;x
580052;Head of Military Intelligence;アレハンドロ・ゴイコエッケア;36;PA;Logistics Specialist;High;M580048;x
580053;Chief of Staff;アブスブルゴ家カルロス8世;36;PA;School of Mass Combat;High;M580041;x
580054;Chief of Staff;アブスブルゴ家カルロス9世;36;PA;School of Defence;Medium;M580042;x
580055;Chief of Army;アレハンドロ・ゴイコエッケア;36;PA;Static Defence Doctrine;High;M580048;x
580056;Chief of Army;エンリケ・ソトマヨル;36;FA;Decisive Battle Doctrine;Medium;M580056;x
580057;Chief of Navy;フェリペ・アビルズーサ;36;PA;Power Projection Doctrine;High;M580057;x
580058;Chief of Navy;フランシスコ・ヌニェス・デ・オラネタ;36;PA;Indirect Approach Doctrine;Very High;M580058;x
580059;Chief of Air Force;アンヘル・サラス;36;PA;Vertical Envelopment Doctrine;High;M580059;x
580060;Chief of Air Force;エステバン・イバルチェ;36;PA;Carpet Bombing Doctrine;High;M580060;x
580061;Head of State;ボルボン＝パルマ家エンリケ5世;36;PA;Weary Stiffneck;Medium;M580061;x
580062;Head of State;ボルボン＝パルマ家ホセ1世;36;PA;Insignificant Layman;Medium;M580062;x
580063;Head of State;ボルボン＝パルマ家エリアス1世;39;PA;Popular Figurehead;High;M580063;x
580064;Chief of Staff;ボルボン＝パルマ家エンリケ5世;36;PA;School of Manoeuvre;Medium;M580061;x
580065;Chief of Staff;ボルボン＝パルマ家ホセ1世;36;PA;School of Defence;Medium;M580062;x
580066;Chief of Staff;ボルボン＝パルマ家エリアス1世;39;PA;School of Fire Support;High;M580063;x
