HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79069;Minister of Armament;カルロス・モリナ・デホンヘ;45;SD;Submarine Proponent;Medium;M79069;x
79070;Minister of Armament;ハイメ・エルダ・ガルシア;46;SD;laissez-faire capitalist;Medium;M79070;x
79071;Minister of Security;ミゲル・A・ナバロ;37;SC;Crooked Kleptocrat;Medium;M79056;x
79072;Minister of Security;ラファエル・アルバラド・ゲレロ;38;SC;Back Stabber;Medium;M79058;x
79073;Minister of Security;アブラーム・ウィリアムス・カルデロン;41;SC;Prince of Terror;Medium;M79039;x
79074;Minister of Security;ロベルト・オルティス・アルメンダレス;37;SL;Compassionate Gentleman;Medium;M79015;x
79075;Minister of Security;ファン・コディゴ・ラミレス;37;LWR;Prince of Terror;Medium;M79022;x
79076;Minister of Security;アウグスティン・エスピノサ・レイエス;41;SD;Back Stabber;Medium;M79024;x
79077;Minister of Security;ハイメ・エルダ・ガルシア;45;SD;Efficient Sociopath;Medium;M79070;x
79078;Minister of Security;カルロス・モリナ・デホンヘ;46;SD;Man of the People;Medium;M79069;x
79079;Head of Military Intelligence;ロベルト・オルティス・アルメンダレス;37;SC;Dismal Enigma;Medium;M79015;x
79080;Head of Military Intelligence;ティブルシオ・カリアス・アンディーノ;41;SC;Political Specialist;Medium;M79001;x
79081;Head of Military Intelligence;ホセ・スニガ・ウエテ;37;SL;Naval Intelligence Specialist;High;M79032;x
79082;Head of Military Intelligence;フリオ・ロサーノ・ディアス;41;SL;Dismal Enigma;High;M79042;x
79083;Head of Military Intelligence;エルナン・フェルナンデス・シルバ;45;SL;Industrial Specialist;High;M79043;x
79084;Head of Military Intelligence;ビセンテ・タピア・ロボ;37;LWR;Naval Intelligence Specialist;Medium;M79026;x
79085;Head of Military Intelligence;エンリケ・ドル・ロハス;41;LWR;Technical Specialist;Medium;M79027;x
79086;Head of Military Intelligence;ラウル・サンチェス・バナドス;45;SD;Industrial Specialist;Medium;M79021;x
79088;Chief of Staff;ライムンド・ストチレル・ガルシア;41;SC;School of Defence;Very High;M79006;x
79089;Chief of Staff;オスワルド・ロペス・アレジャノ;37;SL;School of Manoeuvre;Medium;M79064;x
79090;Chief of Staff;エンリケ・オルティス・ピネル;45;SL;School of Fire Support;Medium;M79090;x
79091;Chief of Staff;エンリケ・ドル・ロハス;37;LWR;School of Psychology;Medium;M79027;x
79092;Chief of Staff;ビセンテ・タピア・ロボ;41;LWR;School of Manoeuvre;Medium;M79026;x
79094;Chief of Army;ファン・マヌエル・ガルベス;37;SC;Armoured Spearhead Doctrine;Medium;M79017;x
79095;Chief of Army;ホセ・スニガ・ウエテ;37;SL;Decisive Battle Doctrine;High;M79032;x
79096;Chief of Army;エンリケ・オルティス・ピネル;41;SL;Armoured Spearhead Doctrine;Medium;M79090;x
79097;Chief of Army;エンリケ・ドル・ロハス;37;LWR;Static Defence Doctrine;Medium;M79027;x
79098;Chief of Army;フランシスコ・S・タピオ・トロ;45;SD;Armoured Spearhead Doctrine;High;M79045;x
79100;Chief of Navy;オスワルド・ロペス・アレジャノ;37;SL;Decisive Naval Battle Doctrine;Medium;M79064;x
79101;Chief of Navy;ビセンテ・タピア・ロボ;37;LWR;Decisive Naval Battle Doctrine;Medium;M79026;x
79102;Chief of Air Force;ディディエ・マッソン;37;SC;Air Superiority Doctrine;Medium;M79059;x
79106;Chief of Air Force;ミゲル・アンヘル・セビリャ;45;SD;Naval Aviation Doctrine;Medium;M79106;x
79107;Chief of Navy;フランシスコ・S・タピオ・トロ;45;SD;Base Control Doctrine;High;M79045;x
79108;Foreign Minister;アントニオ・ベルムデス・メサ;36;PA;Ideological Crusader;High;M79108;x
79017;Chief of Staff;ファン・マヌエル・ガルベス;36;SC;School of Manoeuvre;Medium;M79017;x
79019;Chief of Navy;カルロス・バウペル・コメサ;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79029;Chief of Navy;カルロス・バウペル・コメサ;36;LWR;Indirect Approach Doctrine;Medium;M79009;x
79109;Head of State;ファン・マヌエル・ガルベス;49;SC;Resigned Generalissimo;High;M79017;x
79110;Head of Government;エルナン・フェルナンデス・シルバ;49;SC;Corporate Suit;High;M79043;x
