IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
59109;Chief of Navy;ラム・ダス・カタリ;47;SL;Power Projection Doctrine;Medium;M59019;x
59110;Chief of Navy;W・H・グールド＝ブラッドフォード;42;ML;Open Seas Doctrine;Medium;L1349;x
59112;Chief of Navy;ハリンダー・シン;46;PA;Indirect Approach Doctrine;Medium;M59112;x
59113;Chief of Air Force;アーヤン・シン・ヴィブフサン;35;SD;Air Superiority Doctrine;Medium;M59113;x
59115;Chief of Air Force;スブロト・ムケルジー;46;SD;Army Aviation Doctrine;Medium;M59115;x
59116;Chief of Air Force;メハル・シン;35;SL;Army Aviation Doctrine;Medium;M59114;x
59117;Chief of Air Force;アスピー・メルワン・エンジニア;43;SL;Naval Aviation Doctrine;Medium;M59117;x
59119;Chief of Air Force;ラヴィンドラ・ダルシャン・シン;35;PA;Carpet Bombing Doctrine;High;M59118;x
59121;Head of State;ラージェンドラ・プラサード博士;35;SL;Weary Stiffneck;High;M59031;x
59122;Foreign Minister;インドール藩王イエスワンサロ;41;PA;Iron Fisted Brute;Medium;M59122;x
59123;Minister of Armament;キサンガー藩王ビュラン;42;PA;Air to Ground Proponent;Very High;M59123;x
59124;Minister of Security;バンガナパレ藩王アイ・カーン;36;PA;Prince of Terror;Very High;M59124;x
59125;Minister of Security;モルビ藩王ワジ;44;PA;Compassionate Gentleman;Very High;M59125;x
59126;Head of Military Intelligence;シッキム国王タシ・ナムギャル;36;PA;Political Specialist;Medium;M59126;x
59127;Head of State;チャクラバルティ・ラージャゴーパーラーチャーリア;48;SD;Die-hard Reformer;High;M59127;x
59128;Head of Government;ジャワハルラール・ネルー;45;SD;Political Protege;High;M59046;x
59129;Foreign Minister;ガネッシュ・マヴァランカール;52;SD;Great Compromiser;High;M59129;x
59130;Minister of Security;サルヴェパリ・ラダクリシュナン;51;SD;Compassionate Gentleman;Very High;M59130;x
59160;Head of Government;スバス・チャンドラ・ボース;35;SD;Flamboyant Tough Guy;High;L101019;x
59161;Head of State;スバス・チャンドラ・ボース;35;SD;Die-hard Reformer;High;L101019;x
