CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
24116;Chief of Staff;ブルーノ・スクレンコフスキー;45;ML;School of Psychology;Very High;M24116;x
24117;Chief of Staff;フェルディナンド・カトロス;36;PA;School of Defence;Medium;M24117;x
24118;Chief of Staff;ヤン・ゴリアン;41;PA;School of Manoeuvre;Very High;M24118;x
24119;Chief of Staff;ヨセフ・ツラネック;36;NS;School of Psychology;Very High;M24119;x
24120;Chief of Staff;ロベルト・リクトルモク;41;NS;School of Manoeuvre;Medium;M24017;x
24121;Chief of Staff;ルドヴィーク・スヴォボダ;36;ST;School of Mass Combat;High;M24027;x
24123;Chief of Army;フランティセク・ザヴィスカ;38;ML;Guns and Butter Doctrine;Medium;M24123;x
24124;Chief of Army;エミール・フィアラ;39;ML;Decisive Battle Doctrine;Medium;M24124;x
24125;Chief of Army;ヤン・セルゲイ・イングル;41;ML;Elastic Defence Doctrine;Very High;M24114;x
24126;Chief of Army;ボフミル・ボセク;43;ML;Armoured Spearhead Doctrine;Very High;M24126;x
24127;Chief of Army;ヤン・シロヴィー;36;PA;Guns and Butter Doctrine;Medium;M24034;x
24128;Chief of Army;ベドリッチ・ホマラ;39;PA;Static Defence Doctrine;Very High;M24047;x
24129;Chief of Army;アンドレイ・ヴラソフ;43;PA;Decisive Battle Doctrine;High;M24129;x
24130;Chief of Army;ルドルフ・ヴィースト;45;PA;Armoured Spearhead Doctrine;Medium;M24130;x
24131;Chief of Army;ヤロスラフ・ベハク;36;NS;Elastic Defence Doctrine;Medium;M24131;x
24132;Chief of Army;アロイス・エリアーシュ;39;NS;Static Defence Doctrine;Medium;M24040;x
24133;Chief of Army;オットー・ブラハ;43;NS;Armoured Spearhead Doctrine;Medium;M24018;x
24134;Chief of Army;ルドヴィーク・スヴォボダ;36;ST;Static Defence Doctrine;High;M24027;x
24136;Chief of Navy;ヤロスラフ・チハク;39;ML;Decisive Naval Battle Doctrine;Medium;M24115;x
24137;Chief of Navy;フェルディナンド・カトロス;36;PA;Base Control Doctrine;Medium;M24117;x
24138;Chief of Navy;ロベルト・リクトルモク;36;NS;Open Seas Doctrine;High;M24017;x
24139;Chief of Navy;クレメント・ゴットワルド;36;ST;Base Control Doctrine;High;M24021;x
24140;Chief of Air Force;ヨセフ・フランティセク;36;ML;Air Superiority Doctrine;Low;M24140;x
24142;Chief of Air Force;カレル・カッテルワッシャー;43;ML;Army Aviation Doctrine;Very High;M24142;x
24144;Chief of Air Force;アウグスティン・マラー;36;NS;Vertical Envelopment Doctrine;High;M24020;x
24145;Chief of Air Force;ヤン・プロコップ;36;ST;Vertical Envelopment Doctrine;High;M24030;x
24146;Minister of Security;オタカール・エイシャー;36;NS;Compassionate Gentleman;Very High;M24087;x
24147;Head of Government;クレメント・ゴットワルド;45;ST;Backroom Backstabber;High;M24021;x
24148;Head of State;エドヴァルド・ベネシュ;39;ML;Pig-headed Isolationist;High;M24001;x
24149;Head of Government;カレル・カレムセク;36;PA;Happy Amateur;High;M24048;x
24150;Head of State;コンスタンティン・フォン・エコノヴェッチ;45;NS;Autocratic Charmer;High;M24060;x
24024;Minister of Armament;ルドルフ・スランスキー;36;ST;Theoretical Scientist;Medium;M24024;x
24026;Head of Military Intelligence;ズデナック・フィエルリンゲル;36;ST;Political Specialist;Very High;M24026;x
24151;Head of State;アントニーン・ザーポトツキー;53;ST;Pig-headed Isolationist;High;M24151;x
24152;Head of Government;アントニーン・ノヴォトニー;53;ST;Corporate Suit;High;M24152;x
24153;Foreign Minister;ヴィリアム・シロキー;50;ST;Iron Fisted Brute;Medium;M24153;x
24154;Minister of Armament;ルドヴィーク・スヴォボダ;36;ST;Military Entrepreneur;Medium;M24027;x
24155;Minister of Armament;アレクセイ・ツェピツカ;50;ST;Infantry Proponent;Medium;M24155;x
24156;Minister of Security;ヴァーツラフ・ノセク;45;ST;Efficient Sociopath;Very High;M24156;x
24157;Head of Military Intelligence;プロコップ・ドルティナ;45;ST;Political Specialist;High;M24025;x
24158;Head of Military Intelligence;アレクセイ・ツェピツカ;48;ST;Logistics Specialist;High;M24155;x
24159;Head of Military Intelligence;ステファン・ライス;50;ST;Dismal Enigma;High;M24158;x
