MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
36075;Minister of Security;ホアキン・アマロ・ドミンゲス;42;SD;Back Stabber;Very High;M36075;x
36076;Minister of Security;ミゲル・アレマン・バルデス;43;SD;Man of the People;High;M36033;x
36077;Minister of Security;アドルフォ・ルイス・コルティネス;45;SD;Silent Lawyer;Medium;M36065;x
36078;Minister of Security;マヌエル・テリョ・バウラウド;46;SD;Compassionate Gentleman;Medium;M36078;x
36079;Minister of Security;エンリケ・C・デル・リオ;40;SC;Compassionate Gentleman;Medium;M36017;x
36080;Minister of Security;マヌエル・ゴメス・マリン;46;SC;Man of the People;Medium;M36080;x
36081;Minister of Security;ファン・アンドリュー・アルマサン;40;FA;Crooked Kleptocrat;Medium;M36014;x
36082;Minister of Security;フェリックス・マラガノ・フロレス;43;FA;Back Stabber;Medium;M36082;x
36083;Minister of Security;ペドロ・ペナ・カバソス;46;PA;Man of the People;Medium;M36083;x
36084;Minister of Security;プロコピオ・エレーラ;40;LE;Efficient Sociopath;Very High;M36025;x
36085;Minister of Security;マリアーノ・ポントン;46;LE;Back Stabber;Very Low;M36023;x
36086;Head of Military Intelligence;ラサロ・カルデナス;38;SD;Naval Intelligence Specialist;High;M36001;x
36087;Head of Military Intelligence;マヌエル・アビラ・カマチョ;40;SD;Political Specialist;High;M36087;x
36088;Head of Military Intelligence;エンリケ・エストラダ・レイノソ;46;SD;Dismal Enigma;High;M36004;x
36089;Head of Military Intelligence;ファン・アンドリゥー・アラマサ;40;SC;Logistics Specialist;Medium;M36054;x
36090;Head of Military Intelligence;ルイス・ブスタマンテ・ベニテス;46;SC;Naval Intelligence Specialist;High;M36035;x
36091;Head of Military Intelligence;ビクトル・ムノス・カルデナス;40;PA;Industrial Specialist;Medium;M36091;x
36092;Head of Military Intelligence;ヘスス・ガルサ・シリェル;46;PA;Logistics Specialist;Medium;M36016;x
36093;Head of Military Intelligence;マヌエル・パラフォックス;40;LE;Dismal Enigma;Low;M36026;x
36094;Head of Military Intelligence;ミゲル・コラッソ;46;LE;Political Specialist;Low;M36094;x
36095;Chief of Staff;パブロ・キロガ・エスカミリョ;36;SD;School of Mass Combat;Medium;M36008;x
36096;Chief of Staff;グスタボ・サリナス・カミナ;40;SD;School of Defence;Medium;M36010;x
36098;Chief of Staff;エクトル・メイクセイロ;40;SC;School of Manoeuvre;Medium;M36009;x
36100;Chief of Staff;ヘスス・バリェストレロス・ミランダ;40;FA;School of Manoeuvre;Low;M36100;x
36101;Chief of Staff;エンリケ・C・デル・リオ;46;PA;School of Psychology;Low;M36017;x
36102;Chief of Staff;アウグスティン・メンドーサ・カッズ;40;LE;School of Defence;High;M36102;x
36103;Chief of Staff;マヌエル・パラフォックス;46;LE;School of Fire Support;Low;M36026;x
36104;Chief of Army;パブロ・M・バレンスエラ;38;SD;Elastic Defence Doctrine;Medium;M36104;x
36105;Chief of Army;フランシスコ・U・ベナビデス;40;SD;Armoured Spearhead Doctrine;Medium;M36005;x
36107;Chief of Army;ヒルベルト・リモン・マルケス;40;SC;Static Defence Doctrine;Medium;M36106;x
36109;Chief of Army;プルタルコ・E・カリェス;40;PA;Static Defence Doctrine;Low;M36006;x
36110;Chief of Army;セサル・パラダ・エンリケス;46;PA;Elastic Defence Doctrine;Medium;M36110;x
36111;Chief of Army;マティアス・サントス・ラモス;40;LE;Guns and Butter Doctrine;Medium;M36028;x
36112;Chief of Army;ミゲル・コラッソ;46;LE;Armoured Spearhead Doctrine;High;M36094;x
36113;Chief of Navy;エリベルト・ハラ・コロナ;38;SD;Base Control Doctrine;High;M36029;x
36114;Chief of Navy;バスケス・デル・メルカド;46;SD;Power Projection Doctrine;High;M36114;x
36115;Chief of Navy;エンリケ・パニシオ・バルガス;40;SC;Open Seas Doctrine;High;M36115;x
36116;Chief of Navy;ビクトル・タピア・ブリオネス;40;PA;Open Seas Doctrine;Low;M36116;x
36117;Chief of Navy;ルイス・イラム・トレド;46;PA;Open Seas Doctrine;Low;M36019;x
36119;Chief of Air Force;アルベルト・サリナス・カラサ;38;SD;Army Aviation Doctrine;Medium;M36119;x
36121;Chief of Air Force;エンリケ・パニシオ・バルガス;40;SC;Vertical Envelopment Doctrine;High;M36115;x
36122;Chief of Air Force;エフライン・ロドリゲス・ベリオス;40;FA;Air Superiority Doctrine;Medium;M36122;x
36123;Chief of Air Force;フリオ・エルナンデス・ガルシア;46;PA;Carpet Bombing Doctrine;Medium;M36123;x
36124;Chief of Air Force;アグスティン・オラチェア・アビレス;40;LE;Vertical Envelopment Doctrine;Medium;M36030;x
36020;Chief of Air Force;ヘスス・ガルサ・シリェル;36;FA;Carpet Bombing Doctrine;Medium;M36016;x
36125;Head of State;アドルフォ・ルイス・コルティネス;52;SD;Insignificant Layman;High;M36065;x
36126;Head of State;フロレンティノ・サンタナ;52;SC;Barking Buffoon;High;M36067;x
36127;Head of Government;アドルフォ・ルイス・コルティネス;52;SD;Political Protege;High;M36065;x
36128;Head of Government;フロレンティノ・サンタナ;52;SC;Smiling Oilman;High;M36067;x
36129;Foreign Minister;ルイス・パディージャ・ネルボ;52;SD;Iron Fisted Brute;Medium;M36129;x
36130;Foreign Minister;ルイス・ブスタマンテ・ベニテス;52;SC;General Staffer;Medium;M36035;x
36131;Minister of Armament;マヌエル・テリョ・バウラウド;52;SD;Military Entrepreneur;Medium;M36131;x
36132;Minister of Armament;アントニオ・ゴメス・ロブレード;52;SC;Battle Fleet Proponent;Medium;M36132;x
36133;Minister of Security;オルソン・ホアレス・ブラウン;52;SD;Crime Fighter;Medium;M36133;x
