MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
58052;Chief of Staff;磯谷廉介;43;FA;School of Psychology;Medium;M58052;x
58053;Chief of Staff;イゴール・チェルノコフ;45;PA;School of Defence;Very Low;M58053;x
58054;Chief of Staff;趙秋航 (チャオ・チウハン);46;PA;School of Mass Combat;Very High;M58054;x
58055;Chief of Army;刑士廉 (シン・シリアン);37;FA;Elastic Defence Doctrine;Medium;M58049;x
58056;Chief of Army;川島芳子;38;PA;Guns and Butter Doctrine;Medium;M58006;x
58057;Chief of Army;中島今朝吾;41;FA;Elastic Defence Doctrine;Medium;M58051;x
58058;Chief of Army;磯谷廉介;43;FA;Guns and Butter Doctrine;Medium;M58052;x
58059;Chief of Army;マンフレッド・フォン・シャーヴェレン;45;PA;Armoured Spearhead Doctrine;Very Low;M58059;x
58060;Chief of Army;溥儀 (プーイー);46;PA;Guns and Butter Doctrine;Very High;M58001;x
58061;Chief of Navy;細谷資芳;37;FA;Decisive Naval Battle Doctrine;Medium;M58061;x
58062;Chief of Navy;尹祚乾 (イン・ツオチエン);38;FA;Base Control Doctrine;Medium;M58062;x
58063;Chief of Navy;岡敬純;41;FA;Indirect Approach Doctrine;Medium;M58063;x
58064;Chief of Navy;織田万;43;FA;Base Control Doctrine;Medium;M58064;x
58065;Chief of Navy;門野重九郎;44;FA;Power Projection Doctrine;Medium;M58065;x
58066;Chief of Navy;タイ・チクオ;45;PA;Power Projection Doctrine;Very Low;M58066;x
58067;Chief of Navy;チャオ・シンチュウ;46;PA;Open Seas Doctrine;Very High;M58020;x
58068;Chief of Air Force;磯野勇三;37;FA;Air Superiority Doctrine;Medium;M58068;x
58069;Chief of Air Force;中島信二;38;FA;Naval Aviation Doctrine;Medium;M58069;x
58070;Chief of Air Force;宮崎明;41;FA;Army Aviation Doctrine;Medium;M58070;x
58071;Chief of Air Force;伊藤述史;43;FA;Carpet Bombing Doctrine;Medium;M58071;x
58072;Chief of Air Force;門野重九郎;44;FA;Air Superiority Doctrine;Medium;M58065;x
58073;Chief of Air Force;ロー・チェン;45;PA;Naval Aviation Doctrine;Very Low;M58019;x
58074;Chief of Air Force;曹秉森 (カオ・ビンセン);40;PA;Army Aviation Doctrine;Very High;M58074;x
58100;Head of Government;張景惠 (チャン・チンフイ);35;PA;Happy Amateur;High;M58002;x
58101;Head of Government;德王 (テー・ワン);40;PA;Political Protege;High;M513001;x
58102;Minister of Security;ダムスリジャン;40;FA;Man of the People;Medium;M513005;x
58103;Chief of Staff;德王 (テー・ワン);40;PA;School of Psychology;Medium;M513001;x
58104;Head of Military Intelligence;アブラハム・カウフマン;35;SC;Technical Specialist;Medium;M58079;x
58105;Foreign Minister;李香蘭 (リー・シャイラン);35;PA;Great Compromiser;Medium;M58105;x
58106;Head of State;溥傑 (プーチエ);35;FA;Popular Figurehead;High;M58081;x
58107;Head of Government;張景惠 (チャン・チンフイ);35;SC;Happy Amateur;High;M58002;x
58108;Head of Government;アブラハム・カウフマン;35;SC;Smiling Oilman;High;M58079;x
58109;Head of Military Intelligence;李香蘭 (リー・シャイラン);35;PA;Dismal Enigma;Medium;M58105;x
58110;Head of State;溥儀 (プーイー);35;SC;Stern Imperialist;High;M58106;x
58111;Minister of Armament;岸信介;35;PA;Amkishi;Medium;M5085;x
58112;Head of Government;鄭孝胥 (チョン・シャオシュイ);35;SC;Political Protege;High;M58112;x
58113;Minister of Armament;熙洽 (シー・チア);35;PA;Military Entrepreneur;Medium;M58113;x
58114;Head of Government;臧式毅 (ザン・シーイ);35;PA;Political Protege;High;M58114;x
58115;Head of State;尚旭東 (シャン・シュイトン);35;PA;Resigned Generalissimo;High;L250081;x
58116;Chief of Staff;尚旭東 (シャン・シュイトン);35;PA;School of Manoeuvre;Medium;L250081;x
58117;Chief of Army;尚旭東 (シャン・シュイトン);35;PA;Decisive Battle Doctrine;Medium;L250081;x
58118;Chief of Army;張宗援 (チャン・ツンユアン);35;PA;Decisive Battle Doctrine;Medium;L250082;x
58119;Chief of Army;石原莞爾;43;SC;Elastic Defence Doctrine;Very High;L101064;x
58120;Chief of Staff;石原莞爾;43;SC;School of Fire Support;Very High;L101064;x
58121;Head of Government;石原莞爾;44;SC;Old General;Very High;L101064;x
