LAT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
27079;Minister of Security;ヤン・アンダーソンス;45;PA;Crooked Kleptocrat;Low;M27033;x
27080;Minister of Security;パウルス・カルニンス;36;SC;Efficient Sociopath;High;M27011;x
27081;Minister of Security;ヤゼプス・ランカンス;45;SC;Man of the People;Very High;M27035;x
27082;Minister of Security;ユリース・ラベルツ;36;LE;Compassionate Gentleman;Medium;M27082;x
27083;Minister of Security;ヴィリス・ルシス;40;LE;Efficient Sociopath;Medium;M27025;x
27084;Minister of Security;ロドルフス・ロシン;45;ST;Silent Lawyer;Medium;M27084;x
27085;Minister of Security;アンドレイス・ヤブロンスキス;46;ST;Prince of Terror;Medium;M27085;x
27086;Head of Military Intelligence;ハンス・ハインリヒ・ローゼ;41;NS;Industrial Specialist;Medium;M27031;x
27087;Head of Military Intelligence;エーリヒ・コッホ;43;NS;Logistics Specialist;Medium;M27087;x
27089;Head of Military Intelligence;カルリス・ウルマニス;38;FA;Dismal Enigma;Undying;M27002;x
27091;Head of Military Intelligence;フェリックス・シエレンス;36;SC;Industrial Specialist;Medium;M27091;x
27092;Head of Military Intelligence;フリシス・セルミンス;40;SC;Dismal Enigma;Medium;M27016;x
27093;Head of Military Intelligence;ラインホルト・K・ザリンス;45;SC;Technical Specialist;Medium;M27012;x
27094;Head of Military Intelligence;ユリース・ラベルツ;36;LE;Technical Specialist;Medium;M27082;x
27095;Head of Military Intelligence;テオドールス・ズヴェイニエクス;45;ST;Naval Intelligence Specialist;Low;M27075;x
27096;Head of Military Intelligence;ヴィリス・ルシス;46;ST;Logistics Specialist;Medium;M27025;x
27097;Chief of Staff;コンスタンティンス・カクステ;41;NS;School of Fire Support;Medium;M27097;x
27098;Chief of Staff;アルトゥルス・M・シルガイリス;43;NS;School of Fire Support;High;M27098;x
27100;Chief of Staff;クリシュヤーニス・ベルチス;39;FA;School of Manoeuvre;Medium;M27100;x
27101;Chief of Staff;ルドルフス・コシンス;45;PA;School of Psychology;Medium;M27101;x
27102;Chief of Staff;ヴェルナース・テフパース;36;SC;School of Manoeuvre;Medium;M27017;x
27103;Chief of Staff;ヤン・ベルジンス;36;LE;School of Mass Combat;Medium;M27027;x
27104;Chief of Staff;ロベルツ・ダンブティス;38;LE;School of Fire Support;Medium;M27070;x
27105;Chief of Staff;イズグリティバス・タウタス;45;ST;School of Mass Combat;Medium;M27030;x
27106;Chief of Staff;アルトゥルス・スプロギス;46;ST;School of Fire Support;High;M27106;x
27107;Chief of Army;オットー・ヘルミヒ;41;NS;Elastic Defence Doctrine;Medium;M27107;x
27109;Chief of Army;フリシス・セルミンス;37;FA;Elastic Defence Doctrine;Medium;M27016;x
27110;Chief of Army;ルドルフス・コシンス;45;PA;Elastic Defence Doctrine;Medium;M27101;x
27113;Chief of Army;ヤン・ベルジンス;36;LE;Decisive Battle Doctrine;Medium;M27027;x
27114;Chief of Army;ロベルツ・ダンブティス;38;LE;Guns and Butter Doctrine;Medium;M27070;x
27115;Chief of Army;アルトゥルス・スプロギス;45;ST;Decisive Battle Doctrine;High;M27106;x
27116;Chief of Army;ロベルツ・オシス;46;ST;Guns and Butter Doctrine;Medium;M27046;x
27117;Chief of Navy;コンスタンティンス・カクステ;41;NS;Base Control Doctrine;Medium;M27097;x
27120;Chief of Navy;ヤン・アンダーソンス;36;SC;Base Control Doctrine;Low;M27033;x
27121;Chief of Navy;アウグスツ・キルヘンスタインス;36;LE;Open Seas Doctrine;Medium;M27021;x
27122;Chief of Navy;ユリークス・ラシス;40;LE;Indirect Approach Doctrine;Medium;M27029;x
27123;Chief of Navy;テオドールス・ズヴェイニエクス;45;ST;Power Projection Doctrine;Low;M27075;x
27124;Chief of Air Force;コンスタンティンス・カクステ;41;NS;Army Aviation Doctrine;Medium;M27097;x
27127;Chief of Air Force;ルドルフス・バンゲルスキス;45;PA;Army Aviation Doctrine;Low;M27008;x
27128;Chief of Air Force;ユクムス・ヴァシエティス;36;SC;Air Superiority Doctrine;Medium;M27126;x
27129;Chief of Air Force;エドガース・アンダーソンス;45;SC;Vertical Envelopment Doctrine;Medium;M27014;x
27130;Chief of Air Force;イズグリティバス・タウタス;36;LE;Naval Aviation Doctrine;Medium;M27030;x
