VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38011;Head of State;イシドロ・ルイス・トゥエロ;36;PA;Resigned Generalissimo;High;M38011;x
38012;Head of Government;イシドロ・ルイス・トゥエロ;36;PA;Old General;High;M38011;x
38013;Foreign Minister;エルネスト・マイス・ビリャネリャ;36;PA;The Cloak N Dagger Schemer;Medium;M38013;x
38014;Minister of Armament;リカルド・メンデス・モレノ;36;PA;Infantry Proponent;Medium;M38014;x
38015;Minister of Security;ヘスス・アルカンタラ・ボレゴ;36;PA;Back Stabber;Medium;M38015;x
38016;Head of Military Intelligence;カルロス・カサノバ・レアル;36;PA;Naval Intelligence Specialist;Medium;M38016;x
38017;Chief of Staff;ベルナルド・ホセ・モンティリャ;36;PA;School of Fire Support;Medium;M38017;x
38018;Chief of Army;ペドロ・エリアス・ギテレス;36;PA;Elastic Defence Doctrine;Medium;M38018;x
38019;Chief of Navy;トマス・コントレラス・ビジャロボス;36;FA;Indirect Approach Doctrine;Low;M38019;x
38021;Head of State;ホビト・ビリャルバ;36;LWR;Powerhungry Demagogue;High;M38021;x
38022;Head of Government;マヌエル・ディアス・ロドリゲス;36;LWR;Naive Optimist;High;M38022;x
38023;Foreign Minister;ペドロ・レオン・カストロ;36;LWR;Biased Intellectual;Medium;M38023;x
38024;Minister of Armament;マヌエル・ディアス・ロドリゲス;36;LWR;Air to Sea Proponent;Medium;M38022;x
38025;Minister of Security;フランシスコ・ペリセル;36;LWR;Crime Fighter;Medium;M38025;x
38026;Head of Military Intelligence;ペドロ・レオン・カストロ;36;LWR;Dismal Enigma;Medium;M38023;x
38030;Chief of Air Force;ウンベルト・S・トレス・ビレラ;36;LWR;Naval Aviation Doctrine;Medium;M38030;x
38082;Head of State;ロムロ・ガリェゴス・フレイレ;48;SD;Popular Figurehead;Medium;M38051;x
38083;Head of State;カルロス・デルガド・チャルバウド;48;SC;Resigned Generalissimo;Medium;L270004;x
38084;Head of State;ヘルマン・スアレス・フラメリチ;50;SC;Insignificant Layman;Medium;M38084;x
38085;Head of State;マルコス・ペレス・ヒメネス;52;PA;Barking Buffoon;Medium;L270021;x
38086;Head of Government;ルイス・フェリペ・ジョベラ・パエス;48;SC;old airmarshal;High;M38086;x
38087;Head of Government;マルコス・ペレス・ヒメネス;48;PA;Old General;High;L270021;x
38088;Foreign Minister;ヘルマン・スアレス・フラメリチ;48;SC;Biased Intellectual;Medium;M38084;x
38089;Foreign Minister;アントニオ・カサス・ゴンサレス;52;PA;General Staffer;Medium;M38057;x
38090;Chief of Army;マルコス・ペレス・ヒメネスz;48;SC;Elastic Defence Doctrine;Medium;L270021;x
38091;Chief of Army;ウォルフガング・ララザバル・ウゲト;52;PA;Armoured Spearhead Doctrine;Medium;L270011;x
