DOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
49045;Head of Government;フアン・ボッシュ;46;SD;Old General;High;M49021;x
49046;Foreign Minister;エルネスト・ボネッティ＝ブルゴス;36;PA;Apologetic Clerk;Medium;M49046;x
49047;Foreign Minister;フリオ・オルテガ・フリエル;37;PA;The Cloak N Dagger Schemer;Medium;M49047;x
49048;Foreign Minister;アルトゥーロ・デスプラデル;38;PA;Great Compromiser;Very High;M49048;x
49049;Foreign Minister;マヌエル・ペナ・バトレ;43;PA;General Staffer;Very High;M49049;x
49051;Foreign Minister;ヘスス・ガリンデス;42;SC;Ideological Crusader;Medium;M49013;x
49052;Foreign Minister;エミリオ・デ・ロス・サントス;46;SC;Iron Fisted Brute;Medium;M49052;x
49053;Foreign Minister;アントニオ・レイバ・ポウ;38;LWR;Ideological Crusader;Medium;M49025;x
49054;Foreign Minister;フアン・ボッシュ;46;SD;Iron Fisted Brute;Low;M49021;x
49056;Minister of Armament;イグナシオ・バホルド;40;PA;Administrative Genius;High;M49056;x
49057;Minister of Armament;ラファエル・トルヒーヨ;42;PA;Corrupt Kleptocrat;Very High;M49001;x
49058;Minister of Armament;ルイス・アミアーモ・ティオ;46;PA;Corrupt Kleptocrat;Low;M49058;x
49059;Minister of Armament;ヘスス・ガリンデス;38;SC;laissez-faire capitalist;Medium;M49013;x
49060;Minister of Armament;ラファエル・ボネリ・フォンドゥール;42;SC;Infantry Proponent;Medium;M49042;x
49061;Minister of Armament;ホアキン・バラゲール;46;SC;Administrative Genius;Low;M49014;x
49062;Minister of Armament;フランシスコ・クリコス;38;SD;Corrupt Kleptocrat;Low;M49024;x
49063;Minister of Armament;マリオ・インベルト・マグレゴル;46;SD;Resource Industrialist;Medium;M49026;x
49064;Minister of Security;ハシント・ビエンベニード・ペイナード;38;PA;Crooked Kleptocrat;High;M49002;x
49066;Minister of Security;ドナルド・レイド・カブラル;44;PA;Compassionate Gentleman;Low;M49066;x
49067;Minister of Security;エクトル・トルヒーヨ;46;PA;Crooked Kleptocrat;High;M49067;x
49068;Minister of Security;ラファエル・エスパイリャ;38;SC;Efficient Sociopath;Medium;M49035;x
49069;Minister of Security;アルベルト・ガルシア・ビエンダ;42;SC;Silent Lawyer;Medium;M49015;x
49071;Minister of Security;アントニオ・レイバ・ポウ;38;LWR;Man of the People;Medium;M49025;x
49073;Head of Military Intelligence;マヌエル・デ・ヘスス・トロンコソ;40;PA;Naval Intelligence Specialist;Medium;M49004;x
49074;Head of Military Intelligence;ホアキン・バラゲール;42;PA;Logistics Specialist;Medium;M49014;x
49075;Head of Military Intelligence;エクトル・トルヒーヨ;46;PA;Political Specialist;High;M49067;x
49076;Head of Military Intelligence;アルベルト・ガルシア・ビエンダ;38;SC;Logistics Specialist;Low;M49015;x
49077;Head of Military Intelligence;フランシスコ・プラス・ラミレス;38;LWR;Industrial Specialist;High;M49037;x
49078;Head of Military Intelligence;マリオ・インベルト・マグレゴル;46;SD;Dismal Enigma;Medium;M49026;x
49080;Chief of Staff;マヌエル・ペナ・バトレ;46;PA;School of Defence;Very High;M49049;x
49081;Chief of Staff;ヘスス・ダ・コスタ＝ルイス;38;SC;School of Mass Combat;Medium;M49006;x
49082;Chief of Staff;ビクトル・ビナス・ロマン;38;SD;School of Fire Support;Medium;M49027;x
49084;Chief of Army;ドミンゴ・デ・ロス・サントス・オルティス;38;SC;Armoured Spearhead Doctrine;Low;M49018;x
49085;Chief of Army;ビクトル・ビナス・ロマン;38;SD;Decisive Battle Doctrine;Medium;M49027;x
49087;Chief of Navy;オノラシオ・ユナ・ロブレス;40;PA;Open Seas Doctrine;High;M49087;x
49088;Chief of Navy;ラファエル・トルヒーヨ;42;PA;Base Control Doctrine;Very High;M49088;x
49090;Chief of Navy;エドガル・マルティネス;38;LWR;Indirect Approach Doctrine;Very Low;M49029;x
49092;Chief of Air Force;フリオ・オルテガ・フリエル;42;PA;Army Aviation Doctrine;Medium;M49047;x
49094;Chief of Air Force;ディエゴ・トラバホ・ルイス;42;SC;Carpet Bombing Doctrine;High;M49094;x
49095;Chief of Air Force;フランク・フェリス・ミランダ;36;LWR;Naval Aviation Doctrine;Medium;M49030;x
49096;Head of State;ラファエル・トルヒーヨ;42;PA;Barking Buffoon;High;M49001;x
49097;Chief of Air Force;エドガル・マルティネス;41;LWR;Air Superiority Doctrine;High;M49029;x
49021;Head of State;フアン・ボッシュ;36;LWR;Die-hard Reformer;High;M49021;x
49022;Head of Government;ヘスス・ガリンデス;36;LWR;Flamboyant Tough Guy;High;M49013;x
49098;Head of State;エクトル・トルヒーヨ;52;PA;Insignificant Layman;High;M49067;x
