FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510043;Foreign Minister;ワルター・ランパート;41;NS;General Staffer;Very High;M510052;x
510044;Head of Government;アレクサンダー・フォン・ファルケンハウセン;40;NS;Silent Workhorse;Very High;M510086;x
510045;Head of Government;アウフスト・ボームス博士;36;FA;Silent Workhorse;Very High;M510025;x
510046;Head of Government;スフルゼ博士;40;NS;Flamboyant Tough Guy;Very High;M510070;x
510047;Head of Government;フランス・ダールス;38;FA;Flamboyant Tough Guy;Very High;M510035;x
510048;Head of Government;ゴットロープ・ベルガー;40;NS;Old General;Very High;M510027;x
510049;Head of Government;ヘンドリク・J・エリアス;42;FA;Political Protege;NA;M15039;x
510050;Head of Government;イェフ・ヴァン・デ・ウィール;40;NS;Backroom Backstabber;NA;M15011;x
510051;Head of Government;イェローム・ルーリダン;37;NS;Ambitious Union Boss;Very High;M510058;x
510052;Head of Government;ルシアン・レイケボーア;41;NS;Happy Amateur;Very High;M510065;x
510053;Head of Government;ピート・ウェインダーレ;37;FA;Naive Optimist;Very High;M510091;x
510054;Head of Government;R・クラーイス;41;NS;Political Protege;Very High;M510033;x
510055;Head of Military Intelligence;A・デ・ボントリダー;36;FA;Political Specialist;Very High;M510039;x
510056;Head of Military Intelligence;エドガー・レーンブレ;40;NS;Technical Specialist;Very High;M510056;x
510057;Head of Military Intelligence;ヨス・ヘンスケンス;39;NS;Logistics Specialist;Very High;M510044;x
510058;Head of Military Intelligence;カレル・ランブレヒツ;39;NS;Industrial Specialist;Very High;M510049;x
510059;Head of Military Intelligence;R・クラーイス;41;NS;Political Specialist;Very High;M510033;x
510060;Head of Military Intelligence;リヒャルト・ユンククラウス;41;NS;Dismal Enigma;Very High;M510047;x
510061;Head of Military Intelligence;ロベルト・ヴェルベーレン;40;NS;Technical Specialist;Very High;M510081;x
510062;Head of Military Intelligence;セラフ・トリオ;40;NS;Logistics Specialist;Very High;M510073;x
510063;Head of State;アレクサンダー・フォン・ファルケンハウセン;40;NS;Resigned Generalissimo;Very High;M510086;x
510064;Head of State;スフルゼ博士;40;NS;Barking Buffoon;Very High;M510070;x
510065;Head of State;ゴットロープ・ベルガー;40;NS;Powerhungry Demagogue;Very High;M510027;x
510066;Head of State;ヘンドリク・J・エリアス;42;FA;Stern Imperialist;NA;M15039;x
510067;Head of State;イェフ・ヴァン・デ・ウィール;40;NS;Powerhungry Demagogue;NA;M15011;x
510068;Minister of Armament;アルフォンス・ワハテラｰ;42;NS;Infantry Proponent;Very High;M510089;x
510069;Minister of Armament;エドガー・デルヴォ;36;NS;Resource Industrialist;Very High;M510042;x
510070;Minister of Armament;フリッツ＝ヤン・ヘンドリクス;39;FA;Administrative Genius;Very High;M510043;x
510071;Minister of Armament;ヤン・ティンマーマンス;37;NS;Resource Industrialist;Very High;M15117;x
510072;Minister of Armament;イェフ・ヴァン・デ・ウィール;40;NS;Military Entrepreneur;Very High;M15011;x
510073;Minister of Armament;ヨリス・ファソッテ;36;NS;Military Entrepreneur;Very High;M15057;x
510074;Minister of Armament;ヨス・ヘンスケンス;39;NS;Infantry Proponent;Very High;M510044;x
510075;Minister of Armament;マルセル・マンナールツ;40;FA;Resource Industrialist;Very High;M510060;x
510076;Minister of Armament;ピート・ウェインダーレ;37;FA;laissez-faire capitalist;Very High;M510091;x
510077;Minister of Armament;ヴィクター・レーマンス;38;FA;laissez-faire capitalist;Very High;M510055;x
510078;Minister of Armament;ヴィクター・マティス;36;NS;Military Entrepreneur;Very High;M15058;x
510079;Minister of Security;A・デ・ボントリダー;36;FA;Silent Lawyer;Very High;M510039;x
510080;Minister of Security;アルフォンス・ヘルテン;40;NS;Efficient Sociopath;Very High;M510046;x
510081;Minister of Security;アルフォンス・ワハテラｰ;42;NS;Efficient Sociopath;Very High;M510089;x
510082;Minister of Security;エドガー・レーンブレ;40;NS;Prince of Terror;Very High;M510056;x
510083;Minister of Security;ゴットロープ・ベルガー;40;NS;Prince of Terror;Very High;M510027;x
510084;Minister of Security;ヘンドリク・J・エリアス;42;FA;Silent Lawyer;Very High;M15039;x
510085;Minister of Security;J・デ・メイヤー;36;NS;Man of the People;Very High;M510041;x
510086;Minister of Security;ヨリス・ヴァンステンラント;40;NS;Prince of Terror;Very High;M510080;x
510087;Minister of Security;カレル・ランブレヒツ;39;NS;Compassionate Gentleman;Very High;M510049;x
510088;Minister of Security;オーディール・ダーム;40;NS;Crime Fighter;Very High;M510037;x
510089;Minister of Security;レイモント・トレナーレ;39;NS;Prince of Terror;Very High;M15082;x
510090;Minister of Security;リヒャルト・ユンククラウス;41;NS;Efficient Sociopath;Very High;M510047;x
510091;Minister of Security;セラフ・トリオ;40;NS;Man of the People;Very High;M510073;x
510092;Minister of Security;ワルター・ランパート;41;NS;Crime Fighter;Very High;M510052;x
510093;Head of State;レオポルト3世;36;SC;Benevolent Gentleman;Very High;M15001;x
510094;Head of Government;フランス・ヴァン・コーヴラール;36;SC;Naive Optimist;Very High;M15132;x
510095;Foreign Minister;フランス・ヴァン・コーヴラール;36;SC;Ideological Crusader;Very High;M15132;x
510096;Head of State;レオポルト3世;36;PA;Benevolent Gentleman;Very High;M15001;x
510097;Head of Government;スタフ・デ・クレルク;36;PA;Flamboyant Tough Guy;Very High;M15033;x
510098;Foreign Minister;スタフ・デ・クレルク;36;PA;Biased Intellectual;Very High;M15033;x
510099;Foreign Minister;アウグスト・ボルム;36;FA;Ideological Crusader;Very High;M510099;x
510100;Foreign Minister;クレメンス・ド・ランツヘール;36;SC;Ideological Crusader;Very High;M510100;x
510101;Head of State;カミーユ・ユイスマンス;36;SD;Benevolent Gentleman;Very High;M15038;x
510102;Head of Government;カミーユ・ユイスマンス;36;SD;Happy Amateur;NA;M15038;x
510103;Head of Government;アキッレ・ヴァン・アケール;39;SD;Corporate Suit;NA;M15041;x
510104;Minister of Armament;ヘンドリック・ド・マン;36;SL;Administrative Genius;Very High;M15056;x
510105;Minister of Armament;フランツ・ド・ボーゲル;45;ML;laissez-faire capitalist;Very High;M15067;x
510106;Minister of Armament;アルベルト・デ・ヴリーシュワー;46;SC;Resource Industrialist;Very High;M15069;x
510107;Minister of Security;アルベルト・ジャンセン;36;SC;Compassionate Gentleman;Very High;M15071;x
510108;Minister of Security;ポール・ハイマンズ;36;SL;Compassionate Gentleman;Very High;M15073;x
510109;Minister of Security;アドルフ・ヴァン・グラベック;45;SC;Man of the People;Very High;M15086;x
510110;Minister of Security;ポール・ストライ;47;SC;Man of the People;Very High;M15090;x
510111;Head of Military Intelligence;ハーマン・ヴォス;44;SD;Political Specialist;Very High;M15099;x
510112;Head of Military Intelligence;ピエール・ヴァーミレン;47;SC;Technical Specialist;Very High;M15102;x
510113;Chief of Staff;オスカー・ミシェルズ;40;SC;School of Mass Combat;Very High;M15107;x
510114;Chief of Army;ラウル・ヴァン・オーバーストラーテン;38;SC;Guns and Butter Doctrine;Very High;M15110;x
510115;Minister of Armament;エドモンンド・ルーベンス;36;SC;Resource Industrialist;Very High;M15124;x
510116;Minister of Armament;アルベルト・ワウテルス;39;SD;Military Entrepreneur;Very High;M15125;x
510117;Minister of Armament;ルイス・フランク;36;SC;Resource Industrialist;Very High;M15128;x
510118;Minister of Armament;ヘンドリック・ヘイマン;36;SC;Air to Ground Proponent;Very High;M15129;x
510119;Minister of Armament;モーリス・リッペンス;36;ML;Resource Industrialist;Very High;M15130;x
510120;Minister of Security;フェリペ・ヴァン・イザッカー;36;SC;Crime Fighter;Very High;M15131;x
510121;Minister of Armament;クリエル・ヴァン・オーベルバーグ;37;SC;Theoretical Scientist;High;M15137;x
510122;Minister of Armament;グスタフ・サップ;36;SC;Military Entrepreneur;High;M15140;x
510123;Chief of Navy;G・ティンメルマンス;36;SC;Indirect Approach Doctrine;Very High;M15009;x
510124;Chief of Air Force;L・F・E・ ウーターズ;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
