USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6305;Minister of Security;フレデリック・ヴィンソン;46;ML;Compassionate Gentleman;Very High;M6091;x
6092;Minister of Armament;ルイス・ジョンソン;45;ML;Battle Fleet Proponent;High;M6092;x
6093;Minister of Armament;ノーマン・H・デイヴィス;20;ML;Balanced Budget Economy;Very High;M6093;x
6094;Minister of Armament;ウィリアム・D・ペレイ;36;FA;Air to Sea Proponent;Very High;M6094;x
6095;Minister of Armament;フランシス・タウンゼンド;40;PA;Resource Industrialist;Very High;M6095;x
6096;Minister of Armament;ヘンリー・フォード;40;PA;Administrative Genius;Very High;M6014;x
6097;Minister of Armament;ウィリアム・F・レムケ;44;PA;Theoretical Scientist;High;M6097;x
6098;Minister of Armament;ウィンダム・モーティマー;36;LWR;Resource Industrialist;Low;M6098;x
6099;Minister of Armament;エリザベス・ガーレイ・フリン;38;ST;Battle Fleet Proponent;Very High;M6099;x
6100;Minister of Armament;アプトン・シンクレア;40;ST;Air to Ground Proponent;High;M6100;x
6101;Minister of Armament;レマート・ハリス;44;LWR;Resource Industrialist;Very High;M6101;x
6102;Minister of Armament;ワルター・ルーサー;46;LWR;Resource Industrialist;Very High;M6102;x
6104;Minister of Security;ヴィクター・セルデン・クラーク;40;SL;Health and Safety;Very High;M6104;x
6105;Minister of Security;ヘンリー・チャルマーズ;44;SD;Man of the People;Very High;M6105;x
6106;Minister of Security;フランシス・B・ビドル;44;SL;Prince of Terror;Very High;M6106;x
6107;Minister of Security;フランク・マーフィー;36;ML;Crime Fighter;Very High;M6107;x
6108;Minister of Security;ロバート・H・ジャクソン;39;ML;Silent Lawyer;Very High;M6108;x
6110;Minister of Security;ヒュー・シモンズ・ギブソン;44;ML;Compassionate Gentleman;Very High;M6110;x
6111;Minister of Security;フリッツ・クーン;36;FA;Prince of Terror;Medium;M6011;x
6112;Minister of Security;サミュエル・グリーン博士;40;FA;Man of the People;Medium;M6054;x
6113;Minister of Security;サミュエル・ローパー;44;PA;Back Stabber;Medium;M6113;x
6114;Minister of Security;ウィリアム・アールト;36;LWR;Back Stabber;Medium;M6114;x
6115;Minister of Security;チャールズ・チャップリン;37;LWR;Man of the People;Medium;M6115;x
6116;Minister of Security;レイモンド・チャールズ・モーリー;39;LE;Prince of Terror;Low;M6116;x
6117;Minister of Security;ジョン・アブト;40;LE;Efficient Sociopath;Medium;M6029;x
6118;Minister of Security;ダニエル・ホーン;42;LWR;Silent Lawyer;Medium;M6025;x
6119;Minister of Security;ジェシカ・スミス;44;LE;Compassionate Gentleman;Medium;M6119;x
6120;Head of Military Intelligence;ヘンリー・J・カイザー;42;SL;Industrial Specialist;High;M6082;x
6123;Head of Military Intelligence;アドルフ・バーレ;39;SL;Political Specialist;Very High;M6123;x
6309;Chief of Staff;レズリー・J・マクネア;42;ML;School of Fire Support;High;L60268;x
6124;Head of Military Intelligence;ヴィンセント・アスター;37;SL;Dismal Enigma;Very High;M6124;x
6306;Minister of Security;ウィリアム・ランドルフ・ハースト;35;PA;Media Magnate;Very High;M6306;x
6125;Head of Military Intelligence;J・エドガー・フーバー;44;SL;Political Specialist;Very High;M6005;x
6126;Head of Military Intelligence;シドニー・サワーズ;45;SD;Naval Intelligence Specialist;Very High;M6126;x
6127;Head of Military Intelligence;ロスコー・H・ヒレンコエッター;47;SL;Dismal Enigma;Very High;M6127;x
6128;Head of Military Intelligence;ウィリアム・J・ドノヴァン;40;ML;Political Specialist;High;M6128;x
6130;Head of Military Intelligence;ホイト・S・ヴァンデンバーグ;42;ML;Technical Specialist;High;M6235;x
6131;Head of Military Intelligence;ヘンリー・カボット・ロッジ・ジュニア;44;ML;Dismal Enigma;High;M6243;x
6132;Head of Military Intelligence;ハイラム・W・エヴァンズ博士;36;FA;Political Specialist;High;M6132;x
6133;Head of Military Intelligence;ジェームズ・A・コレスコット博士;40;FA;Political Specialist;High;M6016;x
6134;Head of Military Intelligence;ハリー・ヘイウッド;36;LE;Dismal Enigma;High;M6026;x
6136;Chief of Staff;ジョージ・C・マーシャル;39;SL;School of Fire Support;High;M6064;x
6137;Chief of Staff;ドワイト・D・アイゼンハワー;42;ML;School of Manoeuvre;High;M6137;x
6140;Chief of Staff;パーカー・セイジ;36;FA;School of Defence;High;M6017;x
6141;Chief of Staff;ハンス・アムリ;36;ST;School of Defence;High;M6027;x
6143;Chief of Army;ロイド・R・フレデンダール;40;SD;Static Defence Doctrine;High;L60159;x
6144;Chief of Army;ジョージ・C・マーシャル;39;SL;Decisive Battle Doctrine;High;M6064;x
6145;Chief of Army;オマール・N・ブラッドレー;44;SD;Armoured Spearhead Doctrine;High;M6145;x
6147;Chief of Army;ドワイト・D・アイゼンハワー;42;ML;Guns and Butter Doctrine;High;M6137;x
6148;Chief of Army;ケネス・アルサウス;36;NS;Armoured Spearhead Doctrine;High;M6018;x
6149;Chief of Army;オリヴァー・ロー;36;ST;Decisive Battle Doctrine;High;M6149;x
6150;Chief of Army;スティーヴ・ネルソン;40;ST;Static Defence Doctrine;High;M6150;x
6151;Chief of Army;ロバート・メリマン;44;ST;Armoured Spearhead Doctrine;High;M6028;x
6153;Chief of Navy;フランク・ノックス;40;SL;Base Control Doctrine;High;M6048;x
6154;Chief of Navy;チャールズ・エディソン;40;SD;Open Seas Doctrine;High;M6154;x
6155;Chief of Navy;ジェームズ・V・フォレスタル;44;SC;Decisive Naval Battle Doctrine;High;M6155;x
6156;Chief of Navy;チェスター・W・ニミッツ;41;SL;Navy Organizer;High;M6156;x
6157;Chief of Navy;ウィリアム・C・ブリット;47;SL;Base Control Doctrine;High;M6157;x
6158;Chief of Navy;ウィリアム・H・スタンドレー;35;SL;Base Control Doctrine;High;M6158;x
6159;Chief of Navy;ハロルド・R・スターク;39;SL;Open Seas Doctrine;High;M6159;x
6160;Chief of Navy;アンドリュー・J・ヒギンズ;43;ML;Base Control Doctrine;High;M6160;x
6161;Chief of Navy;ヘンリー・J・カイザー;40;ML;Open Seas Doctrine;High;M6082;x
6162;Chief of Navy;ウィリアム・D・リーヒー;36;ML;Decisive Naval Battle Doctrine;Very High;M6162;x
6163;Chief of Navy;アーネスト・J・キング;41;ML;Power Projection Doctrine;High;M6163;x
6164;Chief of Navy;ジェームズ・A・コレスコット博士;36;NS;Open Seas Doctrine;High;M6016;x
6165;Chief of Navy;ジョン・アブト;36;ST;Base Control Doctrine;Medium;M6029;x
6167;Chief of Air Force;ヘンリー・H・アーノルド;38;ML;Carpet Bombing Doctrine;High;M6167;x
6171;Chief of Air Force;ルロイ・グラマン;44;ML;Naval Aviation Doctrine;High;M6080;x
6172;Chief of Air Force;チャールズ・リンドバーグ;36;FA;Air Superiority Doctrine;High;M6020;x
6173;Chief of Air Force;ネーサン・B・フォレスト3世;40;NS;Army Aviation Doctrine;High;M6173;x
6174;Chief of Air Force;マーティン・J・モンティ;43;FA;Naval Aviation Doctrine;High;M6174;x
6175;Chief of Air Force;ジョン・アブト;36;ST;Army Aviation Doctrine;Medium;M6029;x
6176;Chief of Staff;ウィリアム・D・リーヒー;41;ML;School of Manoeuvre;Very High;M6162;x
6177;Minister of Armament;アヴェレル・H・ハリマン;46;SL;Resource Industrialist;High;M6177;x
6178;Chief of Navy;トーマス・C・ハート;40;ML;Indirect Approach Doctrine;Medium;L60417;x
6179;Chief of Air Force;カール・A・スパーツ;42;ML;Army Aviation Doctrine;Very High;L60557;x
6180;Chief of Air Force;アイラ・C・イーカー;44;SL;Carpet Bombing Doctrine;Very High;L60506;x
6181;Chief of Staff;ダグラス・マッカーサー;36;ML;School of Psychology;High;L60250;x
6182;Chief of Army;ダグラス・マッカーサー;36;ML;Elastic Defence Doctrine;High;L60250;x
6183;Chief of Navy;ロバート・L・ゴームリー;36;ML;Open Seas Doctrine;Very High;L60406;x
6184;Head of Military Intelligence;フランク・B・ロウレット;36;SL;Naval Intelligence Specialist;High;M6184;x
6024;Minister of Armament;ジョセフ・P・ラッシュ;36;LWR;Resource Industrialist;Very High;M6024;x
6185;Head of Government;フリッツ・クーン;36;FA;Naive Optimist;High;M6011;x
6186;Head of State;ウィリアム・F・レムケ;36;PA;Barking Buffoon;Medium;M6097;x
6187;Head of Government;トーマス・C・オブライエン;36;SC;Happy Amateur;Medium;M6187;x
6188;Minister of Security;ジェラルド・K・スミス;36;PA;Back Stabber;Low;M6040;x
6189;Head of State;チャールズ・リンドバーグ;40;PA;Pig-headed Isolationist;Very High;M6020;x
6190;Head of Government;ロバート・E・ウッド;40;PA;Silent Workhorse;Very High;M6190;x
6191;Minister of Security;ジェラルド・B・ウィンロッド;40;PA;Efficient Sociopath;Very High;M6191;x
6192;Chief of Staff;ロバート・E・ウッド;36;PA;School of Defence;High;M6190;x
6193;Chief of Staff;ウォルター・ビーデル＝スミス;42;SL;School of Fire Support;Very High;L60031;x
6194;Chief of Army;マーク・クラーク;45;SL;Decisive Battle Doctrine;Very High;L60098;x
6195;Chief of Staff;ジョー・L・コリンズ;45;SL;School of Manoeuvre;Very High;L60105;x
6196;Chief of Army;ジョセフ・スティルウェル;44;SL;Decisive Battle Doctrine;Very High;L60341;x
6197;Chief of Navy;ウィリアム・ハルゼー;44;SL;Power Projection Doctrine;Very High;L60414;x
6198;Minister of Armament;ディーン・アチソン;44;SL;Laissez-Faire Capitalist;Very High;M6198;x
6199;Minister of Armament;ハロルド・イキーズ;36;SL;Secretary of the Interior;Very High;M6199;x
6200;Minister of Security;アーチボルド・マクリーシュ;39;LWR;Man of the People;Medium;M6200;x
6201;Foreign Minister;アーチボルド・マクリーシュ;39;LWR;Biased Intellectual;Medium;M6200;x
6202;Minister of Security;バートン・K・ウィーラー;36;PA;Efficient Sociopath;Medium;M6202;x
6203;Foreign Minister;トーマス・コナリー;41;SL;Ideological Crusader;High;M6203;x
6204;Minister of Security;チャールズ・E・ヒューズ;36;SC;Efficient Sociopath;Medium;M6204;x
6205;Minister of Security;ヒューゴ・ブラック;37;SL;Prince of Terror;High;M6205;x
6206;Minister of Armament;ロバート・F・ワグナー;36;SL;Laissez-Faire Capitalist;Very High;M6206;x
6207;Minister of Armament;ヘンリー・L・スティムソン;40;SL;Secretary of War;Very High;M6061;x
6208;Head of State;ドワイト・D・アイゼンハワー;52;ML;Resigned Generalissimo;High;M6137;x
6209;Head of State;アドレイ・スティーヴンソン;52;SL;Benevolent Gentleman;High;M6209;x
6210;Head of Government;アール・ウォーレン;48;ML;Naive Optimist;High;M6210;x
6211;Head of Government;リチャード・M・ニクソン;52;ML;Backroom Backstabber;High;M6211;x
6212;Head of Government;ジョン・スパークマン;52;SL;Corporate Suit;High;M6212;x
6213;Foreign Minister;ディーン・アチソン;49;SL;Biased Intellectual;High;M6072;x
6214;Foreign Minister;アレン・テイト;48;ML;Apologetic Clerk;High;M6214;x
6215;Foreign Minister;ジョン・フォスター・ダレス;52;ML;Iron Fisted Brute;High;M6215;x
6216;Foreign Minister;カルバート・レヴィ・オルソン;52;SL;Great Compromiser;High;M6216;x
6217;Minister of Armament;ジョン・W・スナイダー;48;SL;Theoretical Scientist;High;M6217;x
6218;Minister of Armament;ジョセフ・ブラケン・リー;48;ML;Battle Fleet Proponent;High;M6218;x
6219;Minister of Armament;ジョージ・M・ハンフリー;52;ML;Balanced Budget Economy;High;M6219;x
6220;Minister of Armament;ハーバート・R・オコーナー;52;SL;Submarine Proponent;High;M6220;x
6221;Minister of Security;ジュリアス・A・クラーグ;48;SL;Silent Lawyer;Very High;M6221;x
6222;Minister of Security;オスカー・L・チャップマン;51;SL;Man of the People;Very High;M6222;x
6223;Minister of Security;ゴードン・J・ナイト;48;ML;Back Stabber;Very High;M6223;x
6224;Minister of Security;ダグラス・マッケイ;52;ML;Prince of Terror;Very High;M6224;x
6225;Minister of Security;フランク・J・ローシュ;52;SL;Compassionate Gentleman;Very High;M6225;x
6226;Head of Military Intelligence;ウォルター・ビーデル＝スミス;50;SL;Logistics Specialist;Very High;L60031;x
6227;Head of Military Intelligence;ジョン・ハワード・パイル;48;ML;Industrial Specialist;Very High;M6227;x
6228;Head of Military Intelligence;アレン・W・ダレス;52;ML;Dismal Enigma;Very High;M6228;x
6229;Head of Military Intelligence;ウィリアム・プレストン・レーン;52;SL;Industrial Specialist;Very High;M6229;x
6230;Chief of Staff;オマール・N・ブラッドレー;48;ML;School of Mass Combat;High;M6145;x
6231;Chief of Army;J・ロートン・コリンズ;48;ML;Decisive Battle Doctrine;High;L60105;x
6232;Chief of Navy;ルイス・E・デンフェルド;48;ML;Open Seas Doctrine;High;M6232;x
6233;Chief of Navy;フォレスト・P・シャーマン;49;ML;Indirect Approach Doctrine;High;L60464;x
6234;Chief of Navy;ウィリアム・R・フェッチェラー;51;ML;Power Projection Doctrine;High;L60402;x
6235;Chief of Air Force;ホイト・S・ヴァンデンバーグ;48;ML;Vertical Envelopment Doctrine;Medium;M6235;x
6236;Head of State;ダグラス・マッカーサー;52;SC;Stern Imperialist;Medium;L60250;x
6237;Head of Military Intelligence;チャールズ・ウィルビー;52;PA;Dismal Enigma;High;M6237;x
6238;Minister of Security;ジョセフ・マッカーシー;52;ML;Man of the People;High;M6238;x
6239;Head of Government;ジョセフ・マッカーシー;52;ML;Political Protege;High;M6238;x
6240;Foreign Minister;クリスチャン・A・ハーター;59;ML;Apologetic Clerk;High;M6240;x
6241;Head of State;リチャード・M・ニクソン;60;ML;Ruthless Powermonger;High;M6211;x
6242;Head of State;ジョン・F・ケネディ;60;SL;Autocratic Charmer;High;M6242;x
6243;Head of Government;ヘンリー・カボット・ロッジ・ジュニア;56;SL;Political Protege;High;M6243;x
6244;Head of Government;リンドン・B・ジョンソン;60;SL;Ambitious Union Boss;High;M6244;x
6245;Head of Government;エステス・キーフォーバー;60;ML;Backroom Backstabber;High;M6245;x
6246;Foreign Minister;ストロム・サーモンド;60;SC;Iron Fisted Brute;High;M6051;x
6247;Foreign Minister;ディーン・ラスク;60;SL;Ideological Crusader;High;M6247;x
6248;Minister of Armament;ロバート・B・アンダーソン;56;ML;Resource Industrialist;High;M6248;x
6249;Minister of Armament;ロバート・A・ラベット;56;SL;Military Entrepreneur;High;M6249;x
6250;Minister of Armament;C・ダグラス・ディロン;60;SL;Submarine Proponent;High;M6250;x
6251;Minister of Armament;ネルソン・A・ロックフェラー;60;ML;Laissez-Faire Capitalist;High;M6251;x
6252;Head of Military Intelligence;ピーラー・C・ライリー;56;SL;Political Specialist;Very High;M6252;x
6253;Head of Military Intelligence;ジョン・A・マコーン;60;SL;Technical Specialist;Very High;M6253;x
6254;Head of State;リンドン・B・ジョンソン;63;SL;Stern Imperialist;High;M6244;x
6255;Head of Government;ヒューバート・ハンフリー;63;SL;Silent Workhorse;High;M6255;x
6256;Chief of Staff;アーサー・W・ラドフォード;54;ML;School of Psychology;High;M6256;x
6257;Chief of Staff;ネーサン・F・トワイニング;57;ML;School of Fire Support;High;L60560;x
6258;Chief of Staff;ライマン・L・レムニッツァー;60;SL;School of Mass Combat;High;L60244;x
6259;Chief of Staff;マックスウェル・D・テイラー;62;SL;School of Manoeuvre;High;L60348;x
6260;Chief of Army;マシュー・B・リッジウェイ;53;ML;Guns and Butter Doctrine;High;L60311;x
6261;Chief of Army;マックスウェル・D・テイラー;55;ML;Elastic Defence Doctrine;High;L60348;x
6262;Chief of Army;ライマン・L・レムニッツァー;59;ML;Armoured Spearhead Doctrine;High;L60244;x
6263;Chief of Army;ジョージ・H・デッカー;60;SL;Decisive Battle Doctrine;High;L60127;x
6264;Chief of Army;アール・G・ウィーラー;62;SL;Static Defence Doctrine;High;L60368;x
6265;Chief of Navy;ロバート・B・カーニー;53;ML;Indirect Approach Doctrine;High;M6265;x
6266;Chief of Navy;アーレイ・A・バーク;55;ML;Decisive Naval Battle Doctrine;High;L60386;x
6267;Chief of Navy;ジョージ・W・アンダーソン;61;SL;Open Seas Doctrine;High;L60380;x
6268;Chief of Navy;デビッド・マクドナルド;63;SL;Power Projection Doctrine;High;M6268;x
6269;Chief of Air Force;ネーサン・F・トワイニング;53;ML;Air Superiority Doctrine;Medium;L60560;x
6270;Chief of Air Force;トーマス・D・ホワイト;57;ML;Army Aviation Doctrine;Medium;L60370;x
6271;Chief of Air Force;カーチス・ルメイ;61;SC;Carpet Bombing Doctrine;Medium;L60532;x
6272;Chief of Navy;アーネスト・J・キング;41;PA;Power Projection Doctrine;High;M6163;x
6273;Chief of Staff;ダグラス・マッカーサー;36;PA;School of Psychology;High;L60250;x
6274;Minister of Security;J・エドガー・フーバー;36;PA;Director of FBI;Very High;M6005;x
6275;Chief of Army;ジョージ・S・パットン;42;PA;Armoured Spearhead Doctrine;High;L60294;x
6276;Head of Government;ウォーレン・G・フーパー;44;SL;Corporate Suit;High;M6033;x
6277;Head of Government;ウェンデル・ウィルキー;40;ML;Silent Workhorse;High;M6036;x
6278;Head of State;アーサー・ヴァンデンバーグ;44;ML;Pig-headed Isolationist;High;M6066;x
6279;Head of Government;アーサー・ヴァンデンバーグ;44;ML;Political Protege;High;M6066;x
6280;Chief of Staff;ジョージ・S・パットン;42;ML;School of Manoeuvre;High;L60294;x
6281;Chief of Army;ジョージ・S・パットン;42;ML;Armoured Spearhead Doctrine;High;L60294;x
6282;Head of Government;アルフレッド・M・ランドン;44;ML;Smiling Oilman;High;M6035;x
6283;Head of Government;ジョセフ・マッカーシー;52;PA;Political Protege;High;M6238;x
6284;Head of State;アルベン・W・バークリー;45;SL;Die-hard Reformer;High;M6047;x
6285;Head of Government;ジェームズ・バーンズ;48;SD;Silent Workhorse;Very High;M6063;x
6286;Head of State;ダーリントン・フープス;49;LWR;Benevolent Gentleman;High;M6286;x
6287;Head of Government;サミュエル・H・フリードマン;49;LWR;Happy Amateur;Very High;M6287;x
6288;Head of State;アール・ウォーレン;52;ML;Die-hard Reformer;High;M6210;x
6289;Head of Government;ジョン・F・ケネディ;60;SL;Political Protege;High;M6242;x
6290;Minister of Security;ローレンス・H・フロスト;60;ML;Silent Lawyer;Very High;M6290;x
6291;Head of State;ヘンリー・カボット・ロッジ・ジュニア;60;ML;Die-hard Reformer;High;M6243;x
6292;Head of State;バリー・ゴールドウォーター;60;SC;Ruthless Powermonger;High;M6292;x
6293;Head of Government;ロナルド・レーガン;60;SC;Flamboyant Tough Guy;Medium;M572025;x
6294;Head of State;J・B・ストーナー;59;FA;Insignificant Layman;High;M6294;x
6295;Head of Government;エドワード・R・フィールズ博士;58;NS;Flamboyant Tough Guy;Medium;M6295;x
6296;Head of State;ジョージ・L・ロックウェル;58;NS;Popular Figurehead;High;M6296;x
6297;Head of State;ジョン・カスパー;63;NS;Die-hard Reformer;High;M6297;x
6298;Chief of Navy;ジョージ・L・ロックウェル;54;NS;Base Control Doctrine;High;M6296;x
6299;Head of State;ラルフ・カー;38;SC;Benevolent Gentleman;High;M6299;x
6300;Head of Government;ゴードン・ヒラバヤシ;41;FA;Flamboyant Tough Guy;Medium;M6300;x
6301;Foreign Minister;ゴードン・ヒラバヤシ;41;FA;Ideological Crusader;High;M6300;x
6302;Head of Military Intelligence;ミン・ヤスイ;41;FA;Political Specialist;Very High;M6302;x
6303;Head of State;ストロム・サーモンド;45;SC;Resigned Generalissimo;High;M6051;x
6304;Head of Government;ダグラス・マッカーサー;45;PA;Old General;High;L60250;x
6307;Head of State;ヒューイ・ロング;35;LWR;Ruthless Powermonger;High;M6307;x
6308;Minister of Security;ヒューイ・ロング;35;LWR;Health and Safety;High;M6307;x
