JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
5045;Foreign Minister;野坂參三;37;ST;The Cloak N Dagger Schemer;Low;M5011;x
5046;Foreign Minister;蘆田均;45;SD;Apologetic Clerk;High;M5046;x
5047;Foreign Minister;芳澤謙吉;35;SC;Ideological Crusader;High;M5047;x
5048;Foreign Minister;岡田啓介;38;SC;Iron Fisted Brute;High;M5002;x
5049;Foreign Minister;鈴木喜三郎;39;SC;The Cloak N Dagger Schemer;Medium;M5029;x
5050;Foreign Minister;重光葵;40;PA;Fmshigemitsu;Medium;M5050;x
5052;Foreign Minister;吉田茂;45;SC;Apologetic Clerk;Medium;M5031;x
5053;Foreign Minister;佐藤尚武;37;PA;The Cloak N Dagger Schemer;Medium;M5053;x
5055;Foreign Minister;宇垣一成;38;PA;Biased Intellectual;Medium;M5028;x
5056;Foreign Minister;近衞文麿;38;PA;Apologetic Clerk;Medium;M5034;x
5057;Foreign Minister;有田八郎;35;FA;Ideological Crusader;Medium;M5057;x
5058;Foreign Minister;阿部信行;39;FA;Iron Fisted Brute;Medium;M5035;x
5059;Foreign Minister;野村吉三郎;39;PA;General Staffer;Medium;M5059;x
5060;Foreign Minister;松岡洋右;40;PA;Fmmatsuoka;Medium;M5060;x
5061;Foreign Minister;豐田貞次郎;41;PA;Iron Fisted Brute;Medium;M5061;x
5063;Foreign Minister;林銑十朗;37;PA;General Staffer;Medium;M5033;x
5065;Foreign Minister;東郷茂徳;41;FA;Fmtogo;Medium;M5065;x
5066;Foreign Minister;谷正之;42;FA;Apologetic Clerk;Medium;M5066;x
5067;Foreign Minister;重光葵;35;SD;Fmshigemitsu;Medium;M5050;x
5068;Foreign Minister;志賀義雄;35;ST;Biased Intellectual;Very Low;M5013;x
5071;Minister of Armament;星島二郎;47;SD;Laissez-Faire Capitalist;Medium;M5071;x
5070;Minister of Armament;水谷長三郎;45;SD;Resource Industrialist;High;M5070;x
5069;Minister of Armament;吉野信次;37;SD;Laissez-Faire Capitalist;Very High;M5069;x
5072;Minister of Armament;小川郷太郎;35;SC;Resource Industrialist;Medium;M5072;x
5073;Minister of Armament;伍堂卓雄;37;SC;Battle Fleet Proponent;Medium;M5073;x
5075;Minister of Armament;吉田茂;41;SC;Strategic Air Proponent;Medium;M5567;x
5077;Minister of Armament;鳩山一郎;40;SC;Laissez-Faire Capitalist;High;M5032;x
5078;Minister of Armament;星島二郎;45;SC;Military Entrepreneur;Very High;M5071;x
5079;Minister of Armament;小笠原三九郎;45;SC;Laissez-Faire Capitalist;Medium;M5079;x
5080;Minister of Armament;川崎卓吉;35;PA;Air Superiority Proponent;Medium;M5080;x
5081;Minister of Armament;池田成彬;38;PA;Resource Industrialist;High;M5081;x
5082;Minister of Armament;八田嘉明;38;PA;Military Entrepreneur;Medium;M5082;x
5083;Minister of Armament;小林躋造;40;PA;Laissez-Faire Capitalist;Medium;M5111;x
5084;Minister of Armament;藤原銀次郎;40;PA;Administrative Genius;Medium;M5084;x
5085;Minister of Armament;岸信介;40;PA;Resource Industrialist;Medium;M5085;x
5086;Minister of Armament;豐田貞次郎;41;PA;Air to Ground Proponent;Medium;M5061;x
5087;Minister of Armament;左近司政三;41;PA;Submarine Proponent;Medium;M5087;x
5090;Minister of Armament;勝田主計;35;FA;Military Entrepreneur;High;M5090;x
5091;Minister of Armament;小林一三;40;FA;Amkobayashi;High;M5083;x
5092;Minister of Armament;東條英機;42;FA;Amtojo;Medium;M5042;x
5093;Minister of Armament;中島知久平;45;FA;Air to Sea Proponent;Medium;M5093;x
5095;Minister of Armament;徳田球一;35;LWR;Resource Industrialist;Low;M5014;x
5098;Minister of Security;木村小左衞門;45;SD;Man of the People;High;M5098;x
5097;Minister of Security;後藤文夫;41;SD;Silent Lawyer;High;M5005;x
5096;Minister of Security;山本達雄;35;SD;Compassionate Gentleman;High;M5096;x
5099;Minister of Security;河原田稼吉;35;SC;Man of the People;High;M5099;x
5100;Minister of Security;小原直;37;SC;Silent Lawyer;Medium;M5100;x
5101;Minister of Security;大村清一;45;SC;Silent Lawyer;Very High;M5101;x
5102;Minister of Security;堀切善治郎;45;SC;Crime Fighter;Medium;M5102;x
5103;Minister of Security;山崎巖;45;PA;Man of the People;Medium;M5103;x
5105;Minister of Security;潮惠之輔;35;PA;Crime Fighter;Very High;M5105;x
5106;Minister of Security;末次信正;37;FA;Silent Lawyer;Medium;M5106;x
5107;Minister of Security;馬場鍈一;36;PA;Prince of Terror;Medium;M5107;x
5108;Minister of Security;木戸幸一;38;SC;Moskido;Medium;M5108;x
5110;Minister of Security;安井英二;40;FA;Crooked Kleptocrat;High;M5110;x
5111;Minister of Security;小林躋造;42;PA;Man of the People;High;M5111;x
5112;Minister of Security;田邊治通;43;PA;Man of the People;Medium;M5112;x
5113;Minister of Security;湯澤三千男;42;PA;Silent Lawyer;Medium;M5113;x
5114;Minister of Security;安倍源基;46;PA;Silent Lawyer;Medium;M5114;x
5115;Minister of Security;藤江惠輔;35;FA;Prince of Terror;Medium;M5115;x
5116;Minister of Security;中島今朝吾;37;FA;Man of the People;Medium;M5116;x
5119;Minister of Security;平沼騏一郎;38;FA;Prince of Terror;Medium;M5041;x
5121;Minister of Security;兒玉秀雄;40;FA;Silent Lawyer;Low;M5109;x
5123;Minister of Security;東條英機;41;FA;Mostojo;Medium;M5042;x
5125;Minister of Security;大達茂雄;43;FA;Compassionate Gentleman;Medium;M5125;x
5127;Minister of Security;野坂參三;35;ST;Efficient Sociopath;Very High;M5011;x
5128;Head of Military Intelligence;野坂參三;37;ST;Political Specialist;Low;M5011;x
5129;Head of Military Intelligence;片山哲;45;SD;Naval Intelligence Specialist;Medium;M5027;x
5133;Head of Military Intelligence;堀切善治郎;47;SC;Logistics Specialist;Medium;M5102;x
5132;Head of Military Intelligence;小川郷太郎;45;SC;Dismal Enigma;Medium;M5072;x
5131;Head of Military Intelligence;町田忠治;35;SD;Political Specialist;High;M5004;x
5130;Head of Military Intelligence;宇垣一成;37;SL;Political Specialist;Medium;M5028;x
5134;Head of Military Intelligence;高須四郎;35;PA;Industrial Specialist;Medium;M5134;x
5135;Head of Military Intelligence;野村直邦;37;PA;Naval Intelligence Specialist;Medium;M5135;x
5137;Head of Military Intelligence;岡敬純;38;PA;Logistics Specialist;Medium;M5137;x
5138;Head of Military Intelligence;前田稔;40;PA;Naval Intelligence Specialist;Medium;M5138;x
5139;Head of Military Intelligence;鈴木貫太郎;45;PA;Political Specialist;Medium;M5037;x
5141;Head of Military Intelligence;本間雅晴;37;PA;Technical Specialist;Medium;L101046;x
5142;Head of Military Intelligence;樋口季一郎;38;SC;Logistics Specialist;Medium;M5142;x
5143;Head of Military Intelligence;荒木貞夫;39;FA;Political Specialist;Medium;M5143;x
5144;Head of Military Intelligence;土橋勇逸;40;FA;Logistics Specialist;Medium;M5144;x
5145;Head of Military Intelligence;小磯國昭;43;FA;Industrial Specialist;Medium;M5043;x
5146;Head of Military Intelligence;宮本顯治;35;ST;Political Specialist;Medium;M5012;x
5150;Chief of Staff;田代皖一郎;36;SC;School of Psychology;Very Low;M5150;x
5154;Chief of Staff;三川軍一;45;PA;School of Psychology;Medium;M5154;x
5155;Chief of Staff;杉山元;35;FA;School of Defence;Medium;M5155;x
5156;Chief of Staff;東條英機;41;FA;Costojo;Medium;M5042;x
5157;Chief of Staff;梅津美治郎;44;FA;Cosumedu;Medium;M5157;x
5165;Chief of Army;杉山元;35;FA;Decisive Battle Doctrine;Medium;M5155;x
5166;Chief of Army;東條英機;41;FA;Coarmtojo;Medium;M5042;x
5167;Chief of Army;梅津美治郎;44;FA;Coaumedu;Medium;M5157;x
5170;Chief of Navy;嶋田繁太郎;35;PA;Open Seas Doctrine;Medium;M5170;x
5171;Chief of Navy;豐田副武;44;FA;Decisive Naval Battle Doctrine;Medium;M5171;x
5172;Chief of Navy;藤田尚徳;35;PA;Decisive Naval Battle Doctrine;Medium;M5172;x
5173;Chief of Navy;永野脩身;41;PA;Power Projection Doctrine;Medium;M5173;x
5175;Chief of Navy;及川古志郎;44;PA;Base Control Doctrine;Medium;M5175;x
5158;Chief of Navy;草鹿龍之介;35;SD;Power Projection Doctrine;Medium;M5017;x
5180;Chief of Air Force;井上成美;35;ML;Naval Aviation Doctrine;Medium;M5180;x
5181;Chief of Air Force;塚原二四三;41;SC;Air Superiority Doctrine;Medium;M5181;x
5183;Chief of Air Force;及川古志郎;35;PA;Naval Aviation Doctrine;Medium;M5175;x
5184;Chief of Air Force;東久邇宮稔彦王;37;SC;Carpet Bombing Doctrine;Medium;M5038;x
5185;Chief of Air Force;豐田貞次郎;38;PA;Vertical Envelopment Doctrine;Medium;M5061;x
5188;Chief of Air Force;和田操;45;PA;Vertical Envelopment Doctrine;Medium;M5182;x
5189;Chief of Air Force;畑俊六;35;FA;Army Aviation Doctrine;Medium;M5189;x
5191;Chief of Air Force;東條英機;38;FA;Coairtojo;Medium;M5042;x
5192;Chief of Air Force;山下奉文;40;FA;Carpet Bombing Doctrine;Medium;M5192;x
5193;Chief of Air Force;土肥原賢二;41;FA;Naval Aviation Doctrine;Medium;M5193;x
5194;Chief of Air Force;阿南惟幾;42;FA;Vertical Envelopment Doctrine;Medium;M5194;x
5195;Chief of Air Force;後宮淳;43;FA;Army Aviation Doctrine;Medium;M5195;x
5196;Chief of Air Force;菅原道大;44;FA;Air Superiority Doctrine;Medium;M5196;x
5197;Chief of Air Force;河邉正三;45;PA;Army Aviation Doctrine;Medium;M5197;x
5199;Foreign Minister;東條英機;42;FA;Fmtojo;Medium;M5042;x
5200;Chief of Navy;山本五十六;38;SC;Conisoroku;Very High;M5010;x
5201;Chief of Navy;古賀峯一;43;SC;Decisive Naval Battle Doctrine;Very High;L101243;x
5202;Chief of Navy;小澤治三郎;37;SC;Open Seas Doctrine;High;L101273;x
5206;Foreign Minister;鈴木貫太郎;45;PA;Biased Intellectual;High;M5037;x
5210;Minister of Security;石橋湛山;48;SC;Silent Lawyer;Medium;M5210;x
5215;Foreign Minister;久保田貫一郎;54;SD;Iron Fisted Brute;Medium;M5215;x
5216;Foreign Minister;岸信介;56;SC;Ideological Crusader;Medium;M5085;x
5217;Foreign Minister;藤山愛一郎;57;SC;Apologetic Clerk;Medium;M5217;x
5218;Foreign Minister;小坂善太郎;60;SC;Biased Intellectual;Medium;M5218;x
5219;Foreign Minister;大平正芳;62;SC;The Cloak N Dagger Schemer;Medium;M5219;x
5220;Minister of Armament;池田勇人;50;SC;Infantry Proponent;High;M5213;x
5221;Minister of Armament;向井忠晴;52;SC;Construction Magnate;High;M5221;x
5222;Minister of Armament;一万田尚登;54;SC;Amichimada;High;M5222;x
5223;Minister of Armament;佐藤榮作;58;SC;Administrative Genius;High;M5223;x
5224;Minister of Armament;水田三喜男;60;SC;Resource Industrialist;High;M5224;x
5225;Minister of Armament;田中角榮;62;SC;Corrupt Kleptocrat;High;M5225;x
5226;Minister of Armament;西尾末廣;57;SD;Military Entrepreneur;Medium;M5214;x
5227;Minister of Armament;宇佐美洵;60;SD;Theoretical Scientist;Medium;M5227;x
5228;Minister of Security;大橋武夫;50;SC;Crooked Kleptocrat;Medium;M5228;x
5229;Minister of Security;木村篤太郎;51;SC;Efficient Sociopath;Medium;M5229;x
5230;Minister of Security;犬養健;52;SC;Back Stabber;Medium;M5230;x
5231;Minister of Security;中村梅吉;54;SC;Compassionate Gentleman;Medium;M5231;x
5232;Minister of Security;植木庚子郎;57;SC;Silent Lawyer;Medium;M5232;x
5233;Minister of Security;花村四郎;57;SD;Prince of Terror;Medium;M5233;x
5234;Minister of Security;森永貞一郎;60;SD;Crime Fighter;Medium;M5234;x
5235;Head of Military Intelligence;加藤鐐五郎;54;SC;Political Specialist;Medium;M5235;x
5236;Head of Military Intelligence;小原直;57;SC;Technical Specialist;Medium;M5100;x
5237;Head of Military Intelligence;花村四郎;57;SD;Dismal Enigma;Medium;M5233;x
5508;Head of Government;末次信正;37;PA;Old Admiral;High;M5106;x
5509;Head of Government;杉山元;37;FA;Happy Amateur;High;M5155;x
5510;Head of Government;荒木貞夫;35;NS;Hogaraki;High;M5143;x
5511;Head of Government;池田成彬;38;PA;Corporate Suit;High;M5081;x
5512;Head of Government;勝田主計;38;FA;Corporate Suit;High;M5090;x
5513;Head of Government;畑俊六;40;FA;Old General;High;M5189;x
5514;Head of Government;及川古志郎;41;PA;Happy Amateur;High;M5175;x
5515;Head of Government;梅津美治郎;44;FA;Old General;High;M5157;x
5516;Head of Government;阿南惟幾;45;FA;Old General;High;M5194;x
5518;Head of Government;町田忠治;35;SC;Ambitious Union Boss;High;M5004;x
5519;Foreign Minister;幣原喜重郎;35;SC;Great Compromiser;High;M5030;x
5520;Chief of Staff;東久邇宮稔彦王;39;SC;School of Manoeuvre;Medium;M5038;x
5521;Chief of Staff;朝香宮鳩彦王;39;SC;School of Psychology;Medium;L101014;x
5522;Chief of Staff;寺内壽一;35;PA;School of Mass Combat;Medium;M5039;x
5523;Chief of Staff;荒木貞夫;35;NS;Cosaraki;Medium;M5143;x
5524;Chief of Staff;畑俊六;37;FA;School of Fire Support;Medium;M5189;x
5525;Chief of Staff;石原莞爾;44;PA;Cosishiwara;Medium;L101064;x
5526;Chief of Staff;阿南惟幾;45;SC;School of Psychology;Medium;M5194;x
5527;Chief of Staff;下村定;45;SC;School of Defence;Medium;L101160;x
5528;Chief of Army;東久邇宮稔彦王;39;SC;Static Defence Doctrine;Medium;M5038;x
5529;Chief of Army;朝香宮鳩彦王;39;SC;Guns and Butter Doctrine;Medium;L101014;x
5530;Chief of Army;寺内壽一;35;PA;Decisive Battle Doctrine;Medium;M5039;x
5531;Chief of Army;荒木貞夫;35;NS;Coaaraki;Medium;M5143;x
5532;Chief of Army;畑俊六;37;FA;Decisive Battle Doctrine;Medium;M5189;x
5533;Chief of Army;石原莞爾;44;PA;Coaishiwara;Medium;L101064;x
5534;Chief of Army;阿南惟幾;45;SC;Decisive Battle Doctrine;Medium;M5194;x
5535;Chief of Army;下村定;45;SC;Armoured Spearhead Doctrine;Medium;L101160;x
5536;Chief of Navy;伏見宮博恭王;35;PA;Power Projection Doctrine;High;M5016;x
5537;Chief of Navy;米内光政;35;ML;Decisive Naval Battle Doctrine;High;M5036;x
5538;Chief of Navy;吉田善吾;40;PA;Open Seas Doctrine;High;L101300;x
5539;Chief of Navy;野村直邦;44;PA;Base Control Doctrine;High;M5135;x
5540;Chief of Navy;井上成美;45;ML;Power Projection Doctrine;High;M5180;x
5544;Head of Government;後藤文夫;35;SC;Naive Optimist;High;M5005;x
5550;Head of Government;眞崎甚三郎;35;NS;Old General;High;L101381;x
5551;Minister of Armament;高橋是清;35;SC;Amtakahashi;High;M5551;x
5552;Head of Government;小畑敏四郎;40;FA;Hogobata;Medium;L101380;x
5553;Chief of Staff;小畑敏四郎;38;FA;Cosobata;Medium;L101380;x
5554;Chief of Army;小畑敏四郎;38;FA;Coaobata;Medium;L101380;x
5556;Chief of Staff;永田鐵山;38;SC;Cosnagata;High;L101382;x
5557;Chief of Army;永田鐵山;38;SC;Coanagata;High;L101382;x
5560;Foreign Minister;石井菊次郎;35;PA;Great Compromiser;Medium;M58031;x
5561;Head of Military Intelligence;池田純久;40;SC;Industrial Specialist;Medium;L101391;x
5657;Head of Government;池田純久;40;PA;Silent Workhorse;Medium;L101391;x
5562;Head of Government;麻生久;37;SC;Ambitious Union Boss;High;M5562;x
5563;Minister of Security;麻生久;392;SC;Man of the People;Medium;M5562;x
5564;Head of Government;本庄繁;35;FA;Happy Amateur;High;M5564;x
5565;Chief of Staff;山下奉文;40;PA;Cosyamashita;Medium;M5192;x
5566;Chief of Army;山下奉文;40;PA;Coayamashita;Medium;M5192;x
5567;Minister of Security;吉田茂;38;PA;Prince of Terror;Very High;M5567;x
5568;Minister of Armament;賀屋興宣;37;PA;Amkaya;High;M5568;x
5569;Chief of Air Force;鹽澤幸一;35;ML;Naval Aviation Doctrine;Medium;M5569;x
5570;Chief of Staff;梅津美治郎;40;SD;Cosumedu;Medium;M5157;x
5571;Chief of Staff;杉山元;35;SD;School of Defence;Medium;M5155;x
5572;Chief of Army;梅津美治郎;40;SD;Coaumedu;Medium;M5157;x
5573;Chief of Army;杉山元;35;SD;Decisive Battle Doctrine;Medium;M5155;x
5574;Chief of Air Force;草鹿龍之介;35;SD;Naval Aviation Doctrine;Medium;M5017;x
5575;Head of Government;山本五十六;41;PA;Hogisoroku;High;M5010;x
5576;Head of Government;石原莞爾;45;PA;Hogishiwara;Medium;M5576;x
5600;Head of Government;中島知久平;40;PA;Naive Optimist;High;M5093;x
5601;Head of Government;久原房之助;40;PA;Corporate Suit;High;M5601;x
5602;Head of Government;斎藤隆夫;44;SC;Flamboyant Tough Guy;High;M5602;x
5603;Head of Government;前田米蔵;48;SC;Naive Optimist;High;M5603;x
5604;Head of Government;平澤長吉;46;SC;Happy Amateur;High;M5604;x
5605;Head of Government;金光庸夫;52;SC;Corporate Suit;High;M5605;x
5606;Head of Government;東郷実;52;SC;Naive Optimist;High;M5606;x
5607;Head of Government;太田正孝;56;SC;Happy Amateur;High;M5607;x
5608;Head of Government;鶴見祐輔;56;SC;Flamboyant Tough Guy;High;M5608;x
5609;Head of Government;石黒武重;60;SC;Happy Amateur;High;M5609;x
5610;Head of Government;松村謙三;60;SC;Naive Optimist;High;M5610;x
5611;Head of Government;宮澤裕;56;SC;Corporate Suit;High;M5611;x
5612;Head of Government;佐藤榮作;63;SC;Naive Optimist;High;M5223;x
5613;Minister of Armament;幣原喜重郎;43;SC;Tank Proponent;High;M5030;x
5614;Minister of Armament;米内光政;47;PA;Battle Fleet Proponent;High;M5036;x
5615;Minister of Armament;源田實;55;ML;Military Entrepreneur;Very High;L101307;x
5616;Minister of Security;平林盛人;39;PA;Silent Lawyer;Medium;M5118;x
5617;Head of Military Intelligence;河邉虎四郎;52;PA;Dismal Enigma;Very High;L101314;x
5618;Head of Military Intelligence;辰巳榮一;56;PA;Logistics Specialist;Very High;M5618;x
5619;Head of Military Intelligence;堀榮三;60;PA;Industrial Specialist;Very High;M5619;x
5620;Chief of Staff;服部卓四郎;45;PA;School of Mass Combat;Very High;L101035;x
5621;Chief of Staff;辰巳榮一;45;SC;School of Defence;Very High;M5618;x
5622;Chief of Staff;林敬三;50;ML;Amateur-General Cos;Very High;M5622;x
5623;Chief of Staff;杉江一三;64;ML;School of Defence;Very High;M5623;x
5624;Chief of Staff;辻政信;60;PA;School of Psychology;Very High;M5624;x
5625;Chief of Staff;堀榮三;64;PA;School of Fire Support;Very High;M5619;x
5626;Chief of Army;服部卓四郎;45;PA;Decisive Battle Doctrine;Very High;L101035;x
5627;Chief of Army;辰巳榮一;45;SC;Decisive Battle Doctrine;Very High;M5618;x
5628;Chief of Army;林敬三;50;ML;Amateur-General Army;Very High;M5622;x
5629;Chief of Army;筒井竹雄;54;ML;Static Defence Doctrine;Very High;M5629;x
5630;Chief of Army;杉山茂;57;ML;Static Defence Doctrine;Very High;M5630;x
5631;Chief of Army;杉田一次;60;ML;Armoured Spearhead Doctrine;Very High;M5631;x
5632;Chief of Army;大森寛;62;ML;Static Defence Doctrine;Very High;M5632;x
5633;Chief of Army;辻政信;60;PA;Guns and Butter Doctrine;Very High;M5624;x
5634;Chief of Army;瀬島龍三;60;PA;Elastic Defence Doctrine;Very High;M5634;x
5635;Chief of Army;堀榮三;64;PA;Decisive Battle Doctrine;Very High;M5619;x
5636;Chief of Navy;保科善四郎;45;PA;Power Projection Doctrine;Very High;M5636;x
5637;Chief of Navy;山崎小五郎;50;ML;Amateur-General Navy;Very High;M5637;x
5638;Chief of Navy;長澤浩;54;ML;Open Seas Doctrine;Very High;M5638;x
5639;Chief of Navy;庵原貢;54;ML;Indirect Approach Doctrine;Very High;M5639;x
5640;Chief of Navy;中山定義;61;ML;Base Control Doctrine;Very High;M5640;x
5641;Chief of Navy;杉江一三;63;ML;Indirect Approach Doctrine;Very High;M5623;x
5642;Chief of Navy;大井篤;60;PA;Open Seas Doctrine;Very High;M5642;x
5643;Chief of Air Force;保科善四郎;45;PA;Naval Aviation Doctrine;Very High;M5636;x
5644;Chief of Air Force;上村健太郎;54;ML;Amateur-General Air;Very High;M5644;x
5645;Chief of Air Force;佐薙毅;56;ML;Carpet Bombing Doctrine;Very High;M5645;x
5646;Chief of Air Force;源田實;59;PA;Coagenda;Very High;L101307;x
5647;Chief of Air Force;松田武;62;ML;Air Superiority Doctrine;Very High;M5647;x
5648;Chief of Air Force;大井篤;60;PA;Naval Aviation Doctrine;Very High;M5642;x
5649;Chief of Staff;瀬島龍三;35;LE;School of Defence;Very High;M5634;x
5650;Chief of Army;瀬島龍三;35;LE;Elastic Defence Doctrine;Very High;M5634;x
5651;Chief of Air Force;瀬島龍三;35;LE;Air Superiority Doctrine;Very High;M5634;x
5652;Head of Government;石川信吾;42;FA;Flamboyant Tough Guy;Very High;L1001968;x
5653;Foreign Minister;大島浩;35;NS;General Staffer;Very High;L101603;x
5655;Minister of Armament;北一輝;35;NS;Planned Economy Proponent;Very High;M5655;x
5656;Minister of Security;北一輝;35;NS;Efficient Sociopath;Very High;M5655;x
5658;Chief of Air Force;エニス・C・ホワイトヘッド;44;SC;Air Superiority Doctrine;Low;L60568;x
5659;Chief of Air Force;ケネス・B・ウルフ;45;SC;Air Superiority Doctrine;Medium;L60829;x
5660;Chief of Air Force;トーマス・D・ホワイト;48;SC;Air Superiority Doctrine;Medium;L60370;x
5661;Chief of Air Force;アール・E・パートリッジ;48;SC;Air Superiority Doctrine;Medium;L60545;x
5662;Chief of Air Force;エドワード・J・ティンバーレイク;51;SC;Air Superiority Doctrine;Medium;L60558;x
5663;Chief of Air Force;フランク・F・エベレスト;51;SC;Air Superiority Doctrine;Medium;L60654;x
5664;Chief of Air Force;グレン・O・バーカス;52;SC;Air Superiority Doctrine;Medium;L60598;x
5665;Chief of Air Force;サミュエル・E・アンダーソン;53;SC;Air Superiority Doctrine;Medium;L60575;x
5666;Chief of Air Force;ロジャー・M・ラミー;54;SC;Air Superiority Doctrine;Medium;L60768;x
5667;Chief of Air Force;フレデリック・H・スミス Jr.;57;SC;Air Superiority Doctrine;Medium;L60787;x
5668;Chief of Staff;チェスター・W・ニミッツ;42;SC;School of Defence;Medium;L60448;x
5669;Chief of Staff;レイモンド・A・スプルーアンス;45;SC;School of Defence;Medium;L60469;x
5670;Chief of Staff;ジョン・H・タワーズ;46;SC;School of Defence;Medium;L60474;x
5671;Chief of Staff;ルイス・E・デンフェルド;47;SC;School of Defence;Medium;M6232;x
5672;Chief of Staff;デウィット・C・ラムゼー;48;SC;School of Defence;Medium;L1200620;x
5673;Chief of Staff;アーサー・W・ラドフォード;46;SC;School of Defence;Medium;M6256;x
5674;Chief of Staff;フェリックス・B・スタンプ;53;SC;School of Defence;Medium;L60471;x
5675;Chief of Army;イニス・P・スウィフト;44;SC;Elastic Defence Doctrine;Medium;L60346;x
5676;Chief of Army;ロスコー・B・ウッドラフ;45;SC;Elastic Defence Doctrine;Medium;L60376;x
5677;Chief of Army;ジョセフ・M・スウィング;48;SC;Elastic Defence Doctrine;Medium;L60347;x
5678;Chief of Army;ジョン・B・コールター;49;SC;Elastic Defence Doctrine;Medium;L60110;x
5679;Chief of Army;ウィリアム・B・キーン;50;SC;Elastic Defence Doctrine;Medium;L60229;x
5680;Chief of Navy;トーマス・C・キンケイド;43;SC;Base Control Doctrine;Medium;L60426;x
5681;Chief of Navy;ダニエル・E・バルベイ;45;SC;Base Control Doctrine;Medium;L60381;x
5682;Chief of Navy;チャールズ・M・クック Jr.;46;SC;Base Control Doctrine;Medium;L60394;x
5683;Chief of Navy;オスカー・C・バジャー2世;48;SC;Base Control Doctrine;Medium;L1200621;x
5684;Chief of Staff;増原惠吉;48;SC;Amateur-General Cos;Undying;M5684;x
5685;Chief of Staff;大橋武夫;49;SC;Amateur-General Cos;Medium;M5228;x
