PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
50081;Head of Military Intelligence;ジョン・ギルバート・ウィナント;43;SL;Industrial Specialist;Medium;M50081;x
50082;Chief of Navy;エウスタシオ・オロビア;38;SC;Indirect Approach Doctrine;Very Low;M50019;x
50083;Chief of Navy;ホセ・V・アンドラダ;38;SL;Open Seas Doctrine;Low;M50083;x
50084;Chief of Navy;ラモン・A・アルカラス;42;SL;Decisive Naval Battle Doctrine;Medium;M50084;x
50085;Chief of Air Force;バシリオ・フェルナンド;40;SL;Army Aviation Doctrine;High;M50085;x
50086;Chief of Air Force;エドウィン・アンドリュー;44;SL;Vertical Envelopment Doctrine;Medium;M50086;x
50087;Chief of Air Force;ビクトル・H・ディソン;46;SC;Naval Aviation Doctrine;High;M50087;x
50088;Head of Government;マニュエル・ロハス;45;SL;Old General;High;M50035;x
50011;Head of State;ホセ・P・ラウレル;35;PA;Powerhungry Demagogue;High;M50011;x
50012;Head of Government;ホセ・P・ラウレル;35;PA;Smiling Oilman;High;M50011;x
50015;Minister of Security;ベニグノ・アキノ・シニア;35;PA;Crooked Kleptocrat;Medium;M50015;x
50018;Chief of Army;バシリオ・J・バルデス;35;PA;Static Defence Doctrine;Medium;M50017;x
50020;Chief of Air Force;フェリックス・ペスタナ;35;FA;Air Superiority Doctrine;Medium;M50020;x
50021;Head of State;クリサント・エバンヘリスタ;35;LE;Weary Stiffneck;High;M50021;x
50022;Head of Government;ペドロ・アバド・サントス;35;LE;Corporate Suit;High;M50022;x
50023;Foreign Minister;カスト・アレハンドリノ;35;LE;Apologetic Clerk;Medium;M50023;x
50024;Minister of Armament;クリサント・エバンヘリスタ;35;LE;Administrative Genius;Medium;M50021;x
50025;Minister of Security;マリアーノ・バルゴス;35;LWR;Crime Fighter;Medium;M50025;x
50026;Head of Military Intelligence;ルイス・タルク;35;LE;Dismal Enigma;Medium;M50026;x
50027;Chief of Staff;ルイス・タルク;35;LE;School of Manoeuvre;Medium;M50026;x
50028;Chief of Army;ヘスス・ラバ;35;LE;Guns and Butter Doctrine;Medium;M50028;x
50029;Chief of Navy;ヘスス・ラバ;35;LE;Base Control Doctrine;Medium;M50028;x
50030;Chief of Air Force;ジョー・ロジャース;35;LWR;Carpet Bombing Doctrine;Medium;M50030;x
