POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13098;Minister of Security;カロル・ポピエル;36;SL;Silent Lawyer;High;M13098;x
13099;Minister of Security;アレクサンダー・ザワズキ;43;ST;Compassionate Gentleman;Medium;M13099;x
13100;Minister of Security;ワクラウ・モール;40;PA;Compassionate Gentleman;Medium;M13100;x
13101;Minister of Security;ミエチスラフ・トラジドス;38;FA;Silent Lawyer;Medium;M13101;x
13102;Minister of Security;カジミエルズ・スウィタルスキ;36;PA;Efficient Sociopath;Medium;M13102;x
13103;Minister of Security;ウィトルド・グラボフスキ;36;PA;Crime Fighter;Medium;M13103;x
13104;Minister of Security;ジャヌスズ・ラジウィル;36;PA;Man of the People;Medium;M13104;x
13105;Minister of Security;カジミエルズ・バーテル;36;PA;Back Stabber;Medium;M13105;x
13107;Head of Military Intelligence;アダム・タルノウスキ;39;SC;Dismal Enigma;High;M13061;x
13108;Head of Military Intelligence;フェリクス・コネジニー;43;ML;Technical Specialist;High;M13108;x
13109;Head of Military Intelligence;アルフレッド・レオン・コノプカ;44;SL;Political Specialist;High;M13109;x
13110;Head of Military Intelligence;ミエチスラフ・ソコロフスキ;45;SD;Industrial Specialist;High;M13110;x
13111;Head of Military Intelligence;スタニスラフ・デュボイス;45;ST;Political Specialist;Medium;M13026;x
13112;Head of Military Intelligence;イグナツィ・マツスゼウスキ;37;SC;Logistics Specialist;Medium;M13112;x
13113;Head of Military Intelligence;ジャン・コワレウスキ;36;PA;Dismal Enigma;Medium;M13113;x
13114;Head of Military Intelligence;ウィースラウ・ドマニエフスキ;38;SL;Technical Specialist;High;M13114;x
13115;Chief of Staff;ワクラウ・スタチーウィッツ;36;PA;School of Fire Support;Low;M13115;x
13116;Chief of Staff;ヴワディスワフ・シコルスキ;39;SC;School of Manoeuvre;Medium;M13043;x
13117;Chief of Staff;ミカエル・カラスゼウィッツ＝トカルゼウスキ;43;ML;School of Defence;Medium;M13117;x
13118;Chief of Staff;ステファン・ロウェッキ;43;ML;School of Psychology;Medium;M13118;x
13119;Chief of Staff;タデウシュ・ブル＝コモロフスキ;43;SL;School of Mass Combat;Medium;M13119;x
13120;Chief of Staff;スタニスラフ・コパンスキ;44;SL;School of Manoeuvre;High;M13120;x
13121;Chief of Staff;レオポルド・オクリキ;45;SD;School of Fire Support;Low;M13121;x
13122;Chief of Staff;ミハウ・ロラ＝ジミェルスキ;44;ST;School of Mass Combat;Medium;M13122;x
13124;Chief of Army;ヴワディスワフ・シコルスキ;39;SC;Guns and Butter Doctrine;Medium;M13043;x
13125;Chief of Army;ヴラディスラフ・アンダース;43;ML;Elastic Defence Doctrine;Medium;M13125;x
13126;Chief of Army;タデウシュ・ブル＝コモロフスキ;44;SL;Guns and Butter Doctrine;Medium;M13119;x
13127;Chief of Army;ミハウ・ロラ＝ジミェルスキ;45;ST;Armoured Spearhead Doctrine;Medium;M13122;x
13128;Chief of Army;ヴラディスラフ・グラブスキー;45;SD;Guns and Butter Doctrine;Medium;M13128;x
13129;Chief of Army;ジャン・コワレウスキ;37;FA;Elastic Defence Doctrine;Low;M13113;x
13130;Chief of Navy;ジョゼフ・ウンラグ;36;PA;Indirect Approach Doctrine;Medium;M13130;x
13131;Chief of Navy;フランソワ・ソカル;39;SC;Open Seas Doctrine;Medium;M13131;x
13132;Chief of Navy;レオン・チャジン;43;ML;Base Control Doctrine;Medium;M13132;x
13133;Chief of Navy;アダム・ラパッキ;45;LE;Power Projection Doctrine;High;M13029;x
13134;Chief of Air Force;ルドミル・ライスキ;36;PA;Army Aviation Doctrine;Medium;M13134;x
13135;Chief of Air Force;スタニスラフ・パウルック;39;SC;Air Superiority Doctrine;Medium;M13135;x
13136;Chief of Air Force;ヴラディスラフ・カルクス;43;SL;Carpet Bombing Doctrine;Medium;M13136;x
13137;Chief of Air Force;チェスラウ・ビエスザド;45;ST;Army Aviation Doctrine;Very High;M13137;x
13011;Head of State;ボレスラウ・ピアセキ;36;PA;Barking Buffoon;High;M13011;x
13012;Head of Government;アウグスト・ザレスキ;35;PA;Happy Amateur;High;M13012;x
13013;Foreign Minister;ジャン・ゼンベック;36;PA;Apologetic Clerk;Low;M13013;x
13014;Minister of Armament;ジャージー・ズジエチョウスキ;36;NS;Corrupt Kleptocrat;Medium;M13014;x
13015;Minister of Security;レオン・ジョセフ・バランスキ;36;PA;Back Stabber;Medium;M13015;x
13016;Head of Military Intelligence;ジャヌスズ・ゾルトウスキ;36;FA;Dismal Enigma;Medium;M13016;x
13017;Chief of Staff;ヴラディスラフ・モクザー;36;FA;School of Psychology;Medium;M13017;x
13018;Chief of Army;トミスラフ・ルパスコ;36;PA;Decisive Battle Doctrine;Low;M13018;x
13019;Chief of Navy;ジャン・キウェルスキ;36;FA;Indirect Approach Doctrine;Low;M13019;x
13020;Chief of Air Force;アルフレッド・クラポウスキ;36;FA;Army Aviation Doctrine;Low;M13020;x
13021;Head of State;ノーバート・バルリッキ;36;ST;Ruthless Powermonger;High;M13021;x
13022;Head of Government;エドヴァルト・オスプカ＝モラフスキ;36;ST;Political Protege;High;M13022;x
13023;Foreign Minister;パウェル・フィンダー;36;LE;The Cloak N Dagger Schemer;Low;M13023;x
13024;Minister of Armament;ジグムント・バーリング;36;ST;Infantry Proponent;Medium;M13024;x
13025;Minister of Security;スタニスラフ・ラドキーウィッツ;36;ST;Efficient Sociopath;Medium;M13025;x
13027;Chief of Staff;ヘルマン・リーバーマン;36;LWR;School of Psychology;Medium;M13027;x
13028;Chief of Army;カロル・スウィエルチェウスキ;36;ST;Decisive Battle Doctrine;Low;M13028;x
13030;Chief of Air Force;ルドウィク・グロスフェルド;36;LWR;Carpet Bombing Doctrine;Very High;M13030;x
13138;Head of Government;ボレスワフ・ビェルト;52;ST;Flamboyant Tough Guy;High;M13033;x
13139;Foreign Minister;スタニスワフ・スクジェシェフスキー;51;ST;Apologetic Clerk;High;M13139;x
13140;Minister of Armament;コンスタンティ・ダブロフフキ;45;ST;Resource Industrialist;Medium;M13140;x
13141;Head of Military Intelligence;ヘンリク・スヴィアトコフスキー;47;ST;Dismal Enigma;Medium;M13141;x
13142;Head of Government;レオン・コズロウスキー;35;PA;Naive Optimist;Medium;M13142;x
13143;Minister of Security;レオン・コズロウスキー;35;PA;Man of the People;Medium;M13142;x
13144;Minister of Armament;ヴワディスワフ・マリアン・ザワズキー;35;PA;Laissez-Faire Capitalist;Medium;M13144;x
13146;Head of Government;ヴァレリー・スワベク;35;PA;Backroom Backstabber;Medium;M13146;x
13147;Minister of Security;マリアン・ジンドラム＝コシアルコウスキ;35;PA;Back Stabber;Medium;M13002;x
