URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65122;Minister of Armament;マウロ・スコシマロ;36;ST;Air to Sea Proponent;High;M3088;x
65123;Minister of Armament;ルイージ・エイナウディ;36;ST;Strategic Air Proponent;High;M3085;x
65124;Minister of Security;コンデ・ステファノ・ジャシニ;36;ST;Silent Lawyer;High;M3046;x
65125;Minister of Security;ジウセッペ・ロミタ;36;ST;Compassionate Gentleman;High;M3105;x
65126;Minister of Security;パルミロ・トグリアッティ;36;ST;Crime Fighter;High;M3021;x
65127;Minister of Security;ミハーイ・ファルカス;36;ST;Prince of Terror;Medium;M21110;x
65128;Minister of Security;オットー・バウアー;36;ST;Back Stabber;Very Low;M23031;x
65129;Minister of Security;ベニト・ムッソリーニ;36;ST;Man of the People;Very High;M3002;x
65130;Minister of Security;ジュリアン・ズガザゴイティア・メンディエタ;36;ST;Efficient Sociopath;High;M3107;x
65131;Minister of Security;エドガー・ケクシュ;36;ST;Crooked Kleptocrat;Medium;M21073;x
65132;Head of Military Intelligence;パルミロ・トグリアッティ;36;ST;Technical Specialist;High;M3021;x
65133;Head of Military Intelligence;エルノ・ジェロ;36;ST;Logistics Specialist;Medium;M21093;x
65134;Head of Military Intelligence;グイセッペ・ディ・ヴィットリオ;36;ST;Political Specialist;High;M3120;x
65135;Head of Military Intelligence;アルフレド・デ・マルシオ;36;ST;Dismal Enigma;Low;M3110;x
65136;Head of Military Intelligence;ユリウス・ラープ;36;ST;Industrial Specialist;Medium;M23004;x
65137;Head of Military Intelligence;エジオ・ヴァノニ;36;ST;Naval Intelligence Specialist;High;M3117;x
65138;Chief of Staff;フェルディナント・シュトラッサー;36;ST;School of Manoeuvre;High;M23037;x
65139;Chief of Staff;マリオ・シンゴラニ;36;ST;School of Fire Support;High;M3130;x
65140;Chief of Staff;ルイージ・ロンゴ;36;ST;School of Mass Combat;High;M3022;x
65141;Chief of Staff;ドラザ・ミハイロヴィッチ;36;ST;School of Defence;Medium;M20012;x
65142;Chief of Staff;マッタ・ザルカ;36;ST;School of Psychology;Medium;M21037;x
65143;Chief of Army;ヤノス・ヴォロス;36;ST;Elastic Defence Doctrine;Medium;M21017;x
65144;Chief of Army;リヒャルト・ベルナシェク;36;ST;Static Defence Doctrine;Medium;M23038;x
65145;Chief of Army;ニコライ・ベルジン;36;ST;Decisive Battle Doctrine;Medium;M21038;x
65146;Chief of Army;マリオ・ロアータ;36;ST;Armoured Spearhead Doctrine;High;M3140;x
65147;Chief of Army;ジアンカーロ・パジェッタ;36;ST;Guns and Butter Doctrine;High;M3028;x
65148;Chief of Navy;ジアンカーロ・パジェッタ;36;ST;Open Seas Doctrine;High;M3028;x
65149;Chief of Navy;ミクローシュ・ホルティ・デ・ナギィバーニャ;36;ST;Decisive Naval Battle Doctrine;Medium;M21001;x
65150;Chief of Navy;ヴィットーリオ・シアロジャ;36;ST;Power Projection Doctrine;High;M3157;x
65151;Chief of Navy;ペトラ・デュメフ;36;ST;Indirect Approach Doctrine;High;M20085;x
65152;Chief of Navy;ヨーゼフ・トイフル;36;ST;Base Control Doctrine;Medium;M23047;x
65153;Chief of Air Force;イヴァン・リバル;36;ST;Air Superiority Doctrine;High;M20093;x
65154;Chief of Air Force;ピエトロ・ピアセンティーニ;36;ST;Naval Aviation Doctrine;High;M3165;x
65155;Chief of Air Force;カルマン・テルネグ＝ラッツ;36;ST;Army Aviation Doctrine;Medium;M21163;x
65156;Chief of Air Force;ヨーゼフ・ビュルケル;36;ST;Carpet Bombing Doctrine;High;M23042;x
65157;Chief of Air Force;アントニオ・シアロジャ;36;ST;Vertical Envelopment Doctrine;High;M3166;x
