LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
28119;Chief of Staff;アズオラス・ヤクス;45;SC;School of Mass Combat;Medium;M28119;x
28120;Chief of Staff;アンタナス・スニークス;38;ST;School of Fire Support;Medium;M28027;x
28121;Chief of Staff;アレクサンドラス・グゼヴィシウス;41;ST;School of Defence;Medium;M28030;x
28122;Chief of Army;アルビナス・セパス＝セパウスカス;38;NS;Armoured Spearhead Doctrine;Medium;M28122;x
28123;Chief of Army;ペトラス・プレチャヴィシウス;41;NS;Elastic Defence Doctrine;Medium;M28071;x
28124;Chief of Army;ヨナス・ガルヴィディス＝ビカウスカス;38;FA;Static Defence Doctrine;Medium;M28007;x
28126;Chief of Army;ゲドリヴィウス・パリオニス;45;PA;Decisive Battle Doctrine;Medium;M28126;x
28127;Chief of Army;カジス・ムスタイキス;38;SC;Guns and Butter Doctrine;Medium;M28125;x
28128;Chief of Army;アナトリユス・カイリス;40;SC;Static Defence Doctrine;High;M28019;x
28129;Chief of Army;アドルファス・ラマナスカス＝ヴァナガス;45;SC;Elastic Defence Doctrine;Medium;M28018;x
28130;Chief of Army;アンタナス・スニークス;38;ST;Armoured Spearhead Doctrine;Medium;M28027;x
28131;Chief of Army;ユルギス・ターレカス;41;ST;Guns and Butter Doctrine;Medium;M28098;x
28132;Chief of Navy;アズオラス・クシャト;38;NS;Power Projection Doctrine;Medium;M28056;x
28135;Chief of Navy;ユルギス・サウリス;38;SC;Indirect Approach Doctrine;Medium;M28107;x
28136;Chief of Navy;アナトリユス・カイリス;41;SC;Base Control Doctrine;Medium;M28019;x
28137;Chief of Navy;ヴァルダス・カルヴェリス;38;ST;Indirect Approach Doctrine;Medium;M28029;x
28138;Chief of Navy;メシスロヴァス・ゲドヴィラス;41;ST;Base Control Doctrine;Medium;M28024;x
28139;Chief of Air Force;カジス・スキルパ;38;NS;Army Aviation Doctrine;Medium;M28032;x
28142;Chief of Air Force;ユオザス・アンブラゼヴィシウス;38;SC;Carpet Bombing Doctrine;Medium;M28020;x
28143;Chief of Air Force;ミコラス・フィリパヴィシウス;45;SC;Air Superiority Doctrine;Medium;M28093;x
28144;Chief of Air Force;アレクサンドラス・グゼヴィシウス;38;ST;Vertical Envelopment Doctrine;Medium;M28030;x
28145;Chief of Air Force;ユオザス・バウカルスカス;45;ST;Army Aviation Doctrine;Medium;M28145;x
