PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
53072;Minister of Security;アリ・マンソウア;38;PA;Man of the People;Medium;M53034;x
53073;Minister of Security;フセイン・カーン・アラ;39;FA;Silent Lawyer;Medium;M53073;x
53074;Minister of Security;モハンマド・バフラミ;41;SC;Compassionate Gentleman;Medium;M53026;x
53075;Minister of Security;エラジ・エスカンダリ;42;SL;Prince of Terror;Medium;M53025;x
53076;Minister of Security;ダービー伯エドワード・スタンリー卿;41;SC;Efficient Sociopath;Medium;M53076;x
53077;Minister of Security;メーディ・マンジャラニ;45;PA;Prince of Terror;Medium;M53077;x
53078;Minister of Security;アボルハサン・ハキミ;45;SC;Back Stabber;Medium;M53078;x
53079;Minister of Security;ホセイン・アルファズニ;46;SC;Silent Lawyer;Medium;M53079;x
53080;Head of Military Intelligence;ムハンメド・レザー・パヒアヴィ;37;PA;Political Specialist;Medium;M53011;x
53081;Head of Military Intelligence;ディンシャー・イラーニ;38;PA;Technical Specialist;Medium;M53021;x
53082;Head of Military Intelligence;アルフレッド・ルドルフ・ジマーマン;39;FA;Industrial Specialist;Medium;M53014;x
53083;Head of Military Intelligence;アフマド・マティーン・ダフタリー;41;FA;Naval Intelligence Specialist;Medium;M53033;x
53084;Head of Military Intelligence;アリ・セパーボディ・カジャー;41;SC;Dismal Enigma;Medium;M53084;x
53085;Head of Military Intelligence;サー・ネヴィル・グラントリー;41;SL;Industrial Specialist;Medium;M53085;x
53086;Head of Military Intelligence;アブドル・ホセイン・サルダリエ;45;PA;Dismal Enigma;Medium;M53086;x
53087;Head of Military Intelligence;アブドラー・エンテザム;45;SC;Technical Specialist;Medium;M53087;x
53088;Head of Military Intelligence;オヴァサク・アル＝ドレー・ノーリー;45;SC;Naval Intelligence Specialist;Medium;M53088;x
53089;Head of Military Intelligence;モハンマド・モサデック;46;SL;Logistics Specialist;Medium;M53013;x
53090;Chief of Staff;アリ・アクバー・デイヴァ;39;PA;School of Psychology;Medium;M53005;x
53091;Chief of Staff;ハサン・マジド・フィルーズ;39;FA;School of Defence;Medium;M53028;x
53092;Chief of Staff;レザー・ミザニ;41;SC;School of Mass Combat;Medium;M53006;x
53093;Chief of Staff;アリ・カーン・ナクジアム;43;SL;School of Manoeuvre;Medium;M53027;x
53094;Chief of Staff;モハンマド・レザー・パフラヴィー;45;PA;School of Defence;Medium;M53011;x
53095;Chief of Staff;ホセイン・アフカーミ;45;SC;School of Fire Support;Medium;M53017;x
53096;Chief of Army;マー・アフカーミ;38;PA;Guns and Butter Doctrine;Medium;M53018;x
53097;Chief of Army;ハサン・マジド・フィルーズ;39;FA;Static Defence Doctrine;Medium;M53028;x
53098;Chief of Army;アズラム・ミア・ガーニ;41;SC;Elastic Defence Doctrine;Medium;M53098;x
53099;Chief of Army;モハンマド・ナクジャヴァニ;45;PA;Armoured Spearhead Doctrine;Medium;M53062;x
53100;Chief of Army;ヘダヤット・ギランシャー;45;SC;Decisive Battle Doctrine;Medium;M53100;x
53101;Chief of Navy;レザー・ミザニ;38;PA;Base Control Doctrine;Medium;M53006;x
53102;Chief of Navy;シャプーア・キスラバディ;39;FA;Open Seas Doctrine;Medium;M53102;x
53103;Chief of Navy;モハンマド・ミア・モハンナ;41;SC;Power Projection Doctrine;Medium;M53029;x
53104;Chief of Navy;アーマッド・カーン・ナクジャーヴァン;45;PA;Decisive Naval Battle Doctrine;Medium;M53004;x
53105;Chief of Navy;モハンマド・モイニ;45;SC;Indirect Approach Doctrine;Medium;M53020;x
53106;Chief of Air Force;サデグ・カーン・クーパル;37;PA;Army Aviation Doctrine;High;M53106;x
53107;Chief of Air Force;モハンマド・ナクジャヴァニ;39;FA;Air Superiority Doctrine;Medium;M53062;x
53108;Chief of Air Force;モハンマド・モイニ;41;SC;Vertical Envelopment Doctrine;Medium;M53020;x
53109;Chief of Air Force;モハンマド・ミア・モハンナ;45;SC;Naval Aviation Doctrine;Medium;M53029;x
53110;Chief of Air Force;ヘダヤット・ギランシャー;46;PA;Carpet Bombing Doctrine;Medium;M53100;x
53015;Minister of Security;モハンマド・アリー・フォルーギー;36;SC;Crime Fighter;Medium;M53015;x
53021;Head of State;ディンシャー・イラーニ;36;ST;Stern Imperialist;High;M53021;x
53022;Head of Government;ソレイマン・ミルザ;36;ST;Happy Amateur;High;M53022;x
53023;Foreign Minister;ジャファー・ピシェヴァリ;36;ST;Iron Fisted Brute;Medium;M53023;x
53026;Head of Military Intelligence;モハンマド・バフラミ;36;ST;Political Specialist;Medium;M53026;x
53111;Head of Government;アブドル・ホセイン・ハジール;48;ML;Happy Amateur;High;M53111;x
53112;Head of Government;モハンマド・サーエド;48;ML;Flamboyant Tough Guy;High;M53038;x
53113;Head of Government;アリ・マンソウア;50;SC;Political Protege;High;M53034;x
53114;Head of Government;アリ・ラズマーラー;50;PA;old airmarshal;High;M53114;x
53115;Head of Government;フセイン・カーン・アラ;51;PA;Backroom Backstabber;High;M53073;x
53116;Head of Government;モハンマド・モサデック;51;SL;Smiling Oilman;High;M53013;x
53117;Head of Government;ファズロラ・ザヘディ;53;PA;Old General;High;M53117;x
53118;Foreign Minister;アブドル・ホセイン・ハジール;51;ML;Ideological Crusader;Medium;M53111;x
53119;Chief of Staff;アリ・ラズマーラー;53;PA;School of Psychology;Medium;M53114;x
53120;Chief of Air Force;アリ・ラズマーラー;49;PA;Army Aviation Doctrine;Medium;M53114;x
53121;Chief of Army;ファズロラ・ザヘディ;51;PA;Guns and Butter Doctrine;Medium;M53117;x
