DFR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
506027;Head of Military Intelligence;フランツ・ヨーゼフ・シュトラウス;36;SC;Industrial Specialist;High;M506027;x
506028;Head of Military Intelligence;オイゲン・ゲルシュテンマイアー;36;SD;Technical Specialist;High;M506028;x
506029;Head of Military Intelligence;ハンス・ザイデル;36;ML;Naval Intelligence Specialist;High;M506029;x
506030;Chief of Staff;ハンス・シュパイデル;36;SD;School of Fire Support;Medium;L506191;x
506031;Chief of Staff;ヨーゼフ・カムフーバー;36;ML;School of Psychology;Medium;L448;x
506032;Chief of Army;オスカー・ハンゼン;36;SD;Decisive Battle Doctrine;Medium;L118;x
506033;Chief of Army;カール・ハインリヒ・リュプケ;36;ML;Guns and Butter Doctrine;Medium;M506033;x
506034;Chief of Navy;コンラート・パツィヒ;36;SD;Decisive Naval Battle Doctrine;Medium;L506300;x
506035;Chief of Navy;エーリヒ・ケーラー;36;ML;Base Control Doctrine;Medium;M506035;x
506036;Chief of Air Force;フランツ・ヨーゼフ・シュトラウス;36;SC;Vertical Envelopment Doctrine;Medium;M506027;x
506037;Chief of Air Force;ヨーゼフ・カムフーバー;36;SD;Army Aviation Doctrine;Medium;L448;x
506038;Chief of Air Force;ヘルマン・エーラース;36;ML;Naval Aviation Doctrine;Medium;M506038;x
506039;Minister of Armament;テオドール・ブランク;51;SC;Military Entrepreneur;Very High;M506039;x
506041;Head of State;カール・ハインリヒ・リュプケ;59;SC;Weary Stiffneck;High;M506033;x
506042;Head of Government;ルートヴィヒ・エアハルト;63;SC;Flamboyant Tough Guy;High;M104;x
506043;Head of Government;エーリヒ・オレンハウアー;52;SD;Political Protege;High;M506014;x
506044;Head of Government;ヴィリー・ブラント;57;SD;Naive Optimist;High;M506044;x
506045;Foreign Minister;ゲアハルト・シュレーダー;61;SC;Biased Intellectual;Very High;M506022;x
506046;Foreign Minister;ヴィリー・ブラント;57;SD;Great Compromiser;Very High;M506044;x
506047;Minister of Armament;フランツ・ヨーゼフ・シュトラウス;56;SC;Resource Industrialist;Very High;M506027;x
506048;Minister of Armament;カイ＝ウーヴェ・フォン・ハッセル;61;SC;Theoretical Scientist;Very High;M506048;x
506049;Minister of Security;ヘルマン・ホシャール;61;SC;Crime Fighter;High;M506049;x
506050;Minister of Security;エワルド・ビュッヒャー;57;SL;Efficient Sociopath;High;M506050;x
506051;Head of State;テオドール・ホイス;36;SD;Insignificant Layman;High;M38;x
506052;Head of State;カール・ハインリヒ・リュプケ;59;SD;Weary Stiffneck;High;M506033;x
506053;Chief of Staff;ジョゼフ・T・マクナーニー;41;SL;School of Manoeuvre;High;L60537;x
506054;Chief of Army;ルシアン・K・トラスコット;33;SL;Decisive Battle Doctrine;High;L60352;x
506055;Chief of Navy;ロバート・L・ゴームレー;33;SL;Base Control Doctrine;High;L60406;x
506056;Chief of Air Force;ジョン・K・キャノン;33;SL;Air Superiority Doctrine;High;L60495;x
506057;Chief of Staff;ルーシャス・D・クレイ;42;SL;School of Manoeuvre;High;L60101;x
506058;Chief of Staff;クラレンス・R・ヒューブナー;42;SL;School of Fire Support;High;L60220;x
506059;Chief of Staff;トーマス・T・ハンディ;42;SL;School of Fire Support;High;L60192;x
506060;Chief of Staff;マントン・S・エディ;42;SL;School of Defence;High;L60142;x
506061;Chief of Staff;チャールズ・L・ボルテ;43;SL;School of Defence;High;L60046;x
506062;Chief of Staff;ウィリアム・M・ホージ;45;SL;School of Manoeuvre;High;L1200614;x
506063;Chief of Staff;アンソニー・C・マコーリフ;45;SL;Commando Doctrine Staff;High;L60260;x
506064;Chief of Navy;ウィリアム・A・グラスフォード Jr.;40;SL;Open Seas Doctrine;High;L60409;x
506065;Chief of Navy;ジョン・E・ウェルケス;43;SL;Base Control Doctrine;High;L1200615;x
506066;Chief of Navy;ハワード・E・オレム;43;SL;Power Projection Doctrine;High;L1200617;x
506067;Chief of Navy;バートラム・J・ロジャース;44;SL;Indirect Approach Doctrine;High;L1200618;x
506068;Head of State;アルフレート・ヴェーバー;36;SD;Popular Figurehead;High;M506068;x
506069;Head of State;カルロ・シュミット;47;SD;Die-hard Reformer;High;M506069;x
