UPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79734;Head of Military Intelligence;ヨセフ・ジェゼク;36;NS;Political Specialist;Medium;M24016;x
79735;Head of Military Intelligence;ジャン・コワレウスキ;36;NS;Dismal Enigma;Medium;M13113;x
79736;Head of Military Intelligence;ハンス・オスター;36;NS;Industrial Specialist;High;M146;x
79737;Head of Military Intelligence;ハンス＝ゲオルク・フォン・フリーデブルク;36;NS;Naval Intelligence Specialist;Medium;M93;x
79738;Chief of Staff;ルートヴィヒ・ベック;36;NS;School of Manoeuvre;High;M7;x
79739;Chief of Staff;フランツ・ハルダー;36;NS;School of Fire Support;Medium;M155;x
79740;Chief of Staff;ヨセフ・ツラネック;36;NS;School of Mass Combat;High;M24119;x
79741;Chief of Staff;エドワード・リズ＝スミグリー;36;NS;School of Defence;High;M13007;x
79742;Chief of Staff;フリッツ・バイエルライン;36;NS;School of Psychology;High;M159;x
79743;Chief of Army;エーリヒ・ルーデンドルフ;36;NS;Elastic Defence Doctrine;High;M179;x
79744;Chief of Army;オットー・ブラハ;36;NS;Static Defence Doctrine;Medium;M24018;x
79745;Chief of Army;ジャン・コワレウスキ;36;NS;Decisive Battle Doctrine;Low;M13113;x
79746;Chief of Army;エーリヒ・ヘプナー;36;NS;Armoured Spearhead Doctrine;High;M18;x
79747;Chief of Army;ヴェルナー・フォン・ブロンベルク;36;NS;Guns and Butter Doctrine;High;M4;x
79748;Chief of Navy;ジャージー・スウィルスキ;36;NS;Open Seas Doctrine;Medium;M13009;x
79749;Chief of Navy;ロベルト・リクトルモク;36;NS;Decisive Naval Battle Doctrine;Medium;M24017;x
79750;Chief of Navy;フェルディナンド・カトロス;36;NS;Power Projection Doctrine;High;M24117;x
79751;Chief of Navy;カール・デーニッツ;36;NS;Indirect Approach Doctrine;Very High;M32;x
79752;Chief of Navy;クルト・フライヴァルト;36;NS;Base Control Doctrine;Medium;M194;x
79753;Chief of Air Force;カール・フリードリヒ・フォン・ジーメンス;36;NS;Air Superiority Doctrine;High;M208;x
79754;Chief of Air Force;ヴィルヘルム・オクセニウス;36;NS;Naval Aviation Doctrine;Medium;M210;x
79755;Chief of Air Force;カール・コラー;36;NS;Army Aviation Doctrine;Medium;M205;x
79756;Chief of Air Force;フーゴ・シュペルレ;36;NS;Carpet Bombing Doctrine;High;M203;x
79757;Chief of Air Force;アルベルト・ケッセルリンク;36;NS;Vertical Envelopment Doctrine;High;M207;x
