SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
11270;Chief of Army;エテルビノ・ベガ・マルティネス;39;ST;Armoured Spearhead Doctrine;Medium;M11116;x
11271;Chief of Army;シプリアノ・メラ・サンス;36;LE;Static Defence Doctrine;Medium;M11244;x
11272;Chief of Army;ビセンテ・グアルネル・ビバンコス;37;LE;Elastic Defence Doctrine;High;M11241;x
11273;Chief of Army;ミゲル・ガルシア・ビバンコス;38;LE;Armoured Spearhead Doctrine;High;M11242;x
11274;Chief of Army;フランシスコ・アスカソ・ブドリア;41;LE;Guns and Butter Doctrine;High;M11243;x
11275;Chief of Army;ブエナベントゥラ・ドゥルティ・ドゥマンヘ;43;LE;Decisive Battle Doctrine;Medium;M11245;x
11276;Chief of Army;ファン・ヘレナンデス・サラビア;36;LWR;Guns and Butter Doctrine;High;M11006;x
11277;Chief of Army;ビセンテ・ロホ・リュチ;37;LWR;Decisive Battle Doctrine;Very High;M11247;x
11278;Chief of Army;グスタボ・デュラン・マルティネス;38;LWR;Armoured Spearhead Doctrine;High;M11211;x
11279;Chief of Army;アルトゥーロ・メナ・ロイグ;40;LWR;Elastic Defence Doctrine;Very High;M11249;x
11280;Chief of Army;ファン・ペレア・カプリノ;40;LWR;Static Defence Doctrine;High;M11250;x
11281;Chief of Army;セバスティアン・ポサス・ペレア;36;SD;Static Defence Doctrine;High;M11093;x
11282;Chief of Army;マヌエル・アサニャ・ディアス;36;SD;Guns and Butter Doctrine;Medium;M11033;x
11283;Chief of Army;エンリケ・フラド・バリオ;38;SD;Decisive Battle Doctrine;High;M11253;x
11284;Chief of Army;ルイス・カステリョ・パントーハ;40;SD;Elastic Defence Doctrine;High;M11255;x
11286;Chief of Army;マヌエル・エストラーダ・マンチョン;36;SL;Elastic Defence Doctrine;High;M11219;x
11288;Chief of Army;カルロス・マスケレ・ラカシ;41;SL;Static Defence Doctrine;High;M11254;x
11289;Chief of Army;トリビオ・マルティネス・バブレラ;43;SL;Guns and Butter Doctrine;Medium;M11252;x
11290;Chief of Army;ホセ・アントニオ・デ・アギレ・イ・レクベ;36;SC;Guns and Butter Doctrine;High;M11290;x
11291;Chief of Army;ホセ・ミアハ・メナント;38;SC;Decisive Battle Doctrine;High;M11007;x
11292;Chief of Army;ドミンゴ・バテ・メストレ;40;SC;Armoured Spearhead Doctrine;Medium;M11262;x
11294;Chief of Army;アントニオ・アランダ・マタ;36;PA;Static Defence Doctrine;Low;M11018;x
11295;Chief of Army;ホセ・マリア・ヒル＝ロブレス・キニョネス;39;PA;Guns and Butter Doctrine;Medium;M11012;x
11296;Chief of Army;ホアキン・ファンフル・ゴニ;41;PA;Static Defence Doctrine;Medium;M11265;x
11298;Chief of Navy;ビセンテ・ウリベ・ガルデアノ;36;ST;Base Control Doctrine;Medium;M11114;x
11299;Chief of Navy;ペドロ・フェルナンデス・チェカ;38;ST;Decisive Naval Battle Doctrine;Medium;M11299;x
11300;Chief of Navy;フランシスコ・ガラン・ロドリゲス;38;ST;Open Seas Doctrine;Medium;M11029;x
11301;Chief of Navy;ペドロ・プラド・メンディサバル;39;ST;Indirect Approach Doctrine;Medium;M11301;x
11302;Chief of Navy;ファン・ペイロ・ベリス;36;LE;Base Control Doctrine;Medium;M11123;x
11303;Chief of Navy;ファン・ロペス・サンチェス;37;LE;Indirect Approach Doctrine;Medium;M11119;x
11304;Chief of Navy;ブルーノ・アロンソ;36;LWR;Base Control Doctrine;High;M11304;x
11305;Chief of Navy;ホアキン・フリオ・マウリン;37;LWR;Power Projection Doctrine;High;M11305;x
11306;Chief of Navy;ルイス・ゴンサレス・ウビエタ;38;LWR;Indirect Approach Doctrine;High;M11306;x
11307;Chief of Navy;インダレシオ・プリエト・トゥエロ;39;LWR;Open Seas Doctrine;High;M11307;x
11308;Chief of Navy;アンドレス・サボリ・コロメール;40;LWR;Decisive Naval Battle Doctrine;High;M11308;x
11309;Chief of Navy;ホセ・ヒラル・ペレイラ;36;SD;Open Seas Doctrine;High;M11220;x
11310;Chief of Navy;リュイス・コンパニス・イ・ホベル;37;SD;Decisive Naval Battle Doctrine;Medium;M11310;x
11312;Chief of Navy;サンティアゴ・カサレス・キロガ;41;SD;Power Projection Doctrine;High;M11137;x
11314;Chief of Navy;アントニオ・ルイス・フネス＝ガルシア;39;SL;Base Control Doctrine;Medium;M11314;x
11316;Chief of Navy;ミゲル・ブイサ・パラシオス;36;SC;Indirect Approach Doctrine;Medium;M11311;x
11317;Chief of Navy;ミゲル・マウラ・ガマソ;38;SC;Decisive Naval Battle Doctrine;Medium;M11073;x
11319;Chief of Navy;フランシスコ・ヌニェス・デ・オラネタ;36;PA;Base Control Doctrine;High;M11019;x
11321;Chief of Air Force;イグナシオ・イダルゴ・デ・シスネロス;36;LWR;Air Superiority Doctrine;High;M11030;x
11322;Chief of Air Force;ペドロ・フェルナンデス・チェカ;38;ST;Army Aviation Doctrine;Medium;M11299;x
11323;Chief of Air Force;ビセンテ・ウリベ・ガルデアノ;38;ST;Vertical Envelopment Doctrine;Medium;M11114;x
11324;Chief of Air Force;ファン・ロペス・サンチェス;36;LE;Army Aviation Doctrine;Medium;M11119;x
11325;Chief of Air Force;ファン・ペイロ・ベリス;37;LE;Carpet Bombing Doctrine;Medium;M11123;x
11326;Chief of Air Force;ベントゥラ・ガソル・ロビラ;39;LE;Vertical Envelopment Doctrine;Medium;M11326;x
11327;Chief of Air Force;マリアーノ・バスケス・ロドリゲス;43;LE;Air Superiority Doctrine;Very High;M11206;x
11329;Chief of Air Force;トリフォン・ゴメス・サン・ホセ;37;LWR;Vertical Envelopment Doctrine;High;M11329;x
