SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17098;Head of Military Intelligence;ハンス・コンラート・ゾンデレガー;40;SD;Industrial Specialist;Very High;M17098;x
17099;Head of Military Intelligence;マックス・ヴァイベル;43;SL;Dismal Enigma;Very High;M17093;x
17100;Chief of Staff;ハンス・マックス・フーバー;37;ML;School of Psychology;Very High;M17100;x
17101;Chief of Staff;アンリ・ギザン;38;SL;School of Mass Combat;Very High;M17101;x
17102;Chief of Staff;パウル・ギュルトラー;42;SD;School of Psychology;Very High;M17102;x
17103;Chief of Army;エルンスト・ラウル;36;ML;Guns and Butter Doctrine;Very High;M17103;x
17104;Chief of Army;アンリ・ギザン;38;SL;Elastic Defence Doctrine;Very High;M17101;x
17105;Chief of Army;パウル・ロッシー;41;SD;Guns and Butter Doctrine;Very High;M17105;x
17106;Chief of Navy;ハンス・ペーター・ビクセル＝ゾーン;38;SL;Open Seas Doctrine;Very High;M17106;x
17107;Chief of Air Force;J・D・ド・モンテナハ;37;SD;Vertical Envelopment Doctrine;Very High;M17107;x
17108;Chief of Air Force;フリッツ・リーナー;38;SL;Army Aviation Doctrine;Very High;M17108;x
17109;Chief of Air Force;カール・ブルクハルト・ド・レイノルド;41;ML;Vertical Envelopment Doctrine;Very High;M17109;x
17110;Chief of Air Force;エティエンヌ・プリマウルト;44;SL;Air Superiority Doctrine;Very High;M17110;x
17011;Head of State;フランツ・ブリ;36;FA;Insignificant Layman;High;M17011;x
17012;Head of Government;フランツ・ブリ;36;FA;Old Admiral;High;M17011;x
17013;Foreign Minister;ヤコブ・ローレンツ;36;FA;Iron Fisted Brute;Medium;M17013;x
17014;Minister of Armament;ハンス・エーラー;36;FA;Military Entrepreneur;Medium;M17014;x
17015;Minister of Security;フランツ・ブリ;36;FA;Crooked Kleptocrat;Medium;M17011;x
17016;Head of Military Intelligence;アルフレート・サラシン;36;PA;Dismal Enigma;Medium;M17016;x
17017;Chief of Staff;オイゲン・ビルヒャー;36;FA;School of Psychology;Medium;M17017;x
17018;Chief of Army;オイゲン・ビルヒャー;36;FA;Guns and Butter Doctrine;Medium;M17017;x
17019;Chief of Navy;ハンス・エーラー;36;FA;Decisive Naval Battle Doctrine;Medium;M17014;x
17020;Chief of Air Force;アルフレート・サラシン;36;FA;Naval Aviation Doctrine;Medium;M17016;x
17021;Head of State;ヨーゼフ・ヴィクトル・ヴィドマン;36;LWR;Weary Stiffneck;High;M17021;x
17022;Head of Government;ヨーゼフ・ヴィクトル・ヴィドマン;36;LWR;Ambitious Union Boss;High;M17021;x
17023;Foreign Minister;ヘルマン・ヘッセル＝ローレンツ;36;LWR;The Cloak N Dagger Schemer;Medium;M17023;x
17024;Minister of Armament;エミール・フライ;36;LWR;Infantry Proponent;Medium;M17024;x
17026;Head of Military Intelligence;テオ・マイアー;36;LWR;Technical Specialist;Medium;M17026;x
17027;Chief of Staff;トラウゴット・マイヤー;36;LWR;School of Fire Support;Medium;M17025;x
17028;Chief of Army;エミール・フライ;36;LWR;Armoured Spearhead Doctrine;Medium;M17024;x
17029;Chief of Navy;ヘルマン・ヘッセル＝ローレンツ;36;LWR;Indirect Approach Doctrine;Medium;M17023;x
17030;Chief of Air Force;ヨーゼフ・ヴィクトル・ヴィドマン;36;LWR;Naval Aviation Doctrine;Medium;M17021;x
17111;Head of State;エルンスト・ノプス;49;SD;Benevolent Gentleman;High;M17074;x
17112;Head of State;マックス・ペティットピエール;50;SL;Popular Figurehead;High;M17054;x
17113;Head of Government;オスカー・ライムグルーバー;44;SC;Smiling Oilman;High;M17113;x
17114;Head of Government;チャールズ・オーザー;51;SL;Corporate Suit;High;M17114;x
17115;Minister of Armament;カール・コベルト;44;ML;Infantry Proponent;Very High;M17040;x
17116;Minister of Security;フィリップ・エッター;39;SL;Crime Fighter;Very High;M17033;x
17117;Head of Government;エルンスト・ノプス;49;SD;Happy Amateur;Very High;M17074;x
17118;Head of Government;マックス・ペティットピエール;50;SL;Political Protege;Very High;M17054;x
17119;Head of Government;デドゥアルト・フォン・シュタイガー;51;SC;Corporate Suit;Very High;M17039;x
