IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
91060;Foreign Minister;モウサ・アル・アラミ;41;SC;Great Compromiser;Low;M91043;x
91061;Foreign Minister;アザム・パシャ;36;PA;Apologetic Clerk;Medium;M91046;x
91062;Foreign Minister;タウフィク・アル・スウェイディ;37;PA;Apologetic Clerk;Low;M91056;x
91064;Foreign Minister;アリ・ジャワド;39;PA;The Cloak N Dagger Schemer;Medium;M91064;x
91065;Foreign Minister;ジャミル・アル・ミドファイ;40;PA;Apologetic Clerk;Medium;M91047;x
91066;Foreign Minister;サリーヒ・ジャブル;41;PA;Ideological Crusader;Medium;M91050;x
91067;Foreign Minister;アブダラー・アル・タムルジ;42;PA;Iron Fisted Brute;Medium;M91067;x
91068;Foreign Minister;アブダラー・アル・ハフィズ;42;PA;Great Compromiser;Medium;M91068;x
91069;Foreign Minister;ナスラト・アル・ファリシ;43;PA;Iron Fisted Brute;Medium;M91069;x
91070;Foreign Minister;タフシン・アル・アスカリ;43;PA;Ideological Crusader;Medium;M91070;x
91071;Foreign Minister;マフムド・スブヒ・ダフタリ;43;PA;Apologetic Clerk;High;M91071;x
91072;Foreign Minister;アルシャド・アル・ウマリ;44;PA;General Staffer;Low;M91027;x
91073;Foreign Minister;アフマド・アブドゥル・バキ;46;PA;The Cloak N Dagger Schemer;Medium;M91073;x
91074;Foreign Minister;ムハンメド・ファデルフォマリ;46;PA;Biased Intellectual;Medium;M91074;x
91075;Foreign Minister;ラシッド・アリ・アル・ガイラーニー;36;FA;The Cloak N Dagger Schemer;High;M91011;x
91076;Foreign Minister;アリ・マフムド・アル・シャイク;40;FA;Great Compromiser;Medium;M91019;x
91077;Foreign Minister;ハジ・アミニ・アル・フセイニ;40;FA;Ideological Crusader;High;M91013;x
91078;Foreign Minister;ムサ・ベイ・アル・シャフバンダル;41;FA;Biased Intellectual;Medium;M91078;x
91080;Foreign Minister;ナジ・アル・アシル;36;PA;Ideological Crusader;Medium;M91080;x
91081;Foreign Minister;ヒクメト・スレイマン;36;PA;Great Compromiser;Medium;M91054;x
91082;Foreign Minister;タウフィク・アル・スウェイディ;46;LWR;Apologetic Clerk;Low;M91056;x
91083;Foreign Minister;アリ・モムターズ;46;LWR;General Staffer;Medium;M91083;x
91084;Foreign Minister;ムハンメド・ファデルフォマリ;46;LWR;Biased Intellectual;Medium;M91074;x
91085;Foreign Minister;ヤヒヤ・ハムデー;47;LWR;Iron Fisted Brute;High;M91021;x
91086;Minister of Armament;アブデル・ラティーフ・サラー;36;SC;Resource Industrialist;High;M91086;x
91087;Minister of Armament;モウサ・アル・アラミ;41;SC;laissez-faire capitalist;High;M91043;x
91088;Minister of Armament;エリエ・モセリ;46;SC;Administrative Genius;Medium;M91088;x
91089;Minister of Armament;ヌーリー・アッ＝サイード;36;PA;Infantry Proponent;Medium;M91003;x
91090;Minister of Armament;ヤゴウブ・ファラジ;38;PA;laissez-faire capitalist;High;M91090;x
91091;Minister of Armament;ジャミル・アル・ミドファイ;41;PA;Theoretical Scientist;Medium;M91047;x
91092;Minister of Armament;ロバート・H・ブランド;42;PA;Air to Ground Proponent;High;M91092;x
91093;Minister of Armament;ジャマル・フセイニ;43;PA;Air Superiority Proponent;High;M91093;x
91094;Minister of Armament;タウフィク・アル・スウェイディ;44;PA;Submarine Proponent;Low;M91056;x
91095;Minister of Armament;アリ・アブン・フセイン;46;PA;Corrupt Kleptocrat;High;M91005;x
91096;Minister of Armament;アブドゥッラー;46;PA;Military Entrepreneur;Medium;M91028;x
91097;Minister of Armament;アミール・アル・ジャヘド;36;FA;Military Entrepreneur;Medium;M91097;x
91098;Minister of Armament;ヤヒヤ・アル・ナジフ;37;FA;Submarine Proponent;Medium;M91098;x
91099;Minister of Armament;アザム・パシャ;41;FA;Infantry Proponent;Medium;M91046;x
91100;Minister of Armament;ファウジ・アル・カウクジ;40;FA;Corrupt Kleptocrat;Medium;M91014;x
91101;Minister of Armament;カリド・アル・ダラベー;36;LWR;Theoretical Scientist;Medium;M91030;x
91102;Minister of Armament;アンワル・ハティブ;46;LWR;Strategic Air Proponent;Medium;M91024;x
91104;Minister of Security;グーラム・アリ・アラナ;40;SC;Compassionate Gentleman;Medium;M91104;x
91105;Minister of Security;ラゲブ・ナシャシビ;46;SC;Crime Fighter;Medium;M91045;x
91106;Minister of Security;カメル・エレカット;36;PA;Crooked Kleptocrat;Medium;M91106;x
91107;Minister of Security;アフマド・アブドゥル・バキ;37;PA;Man of the People;Medium;M91073;x
91108;Minister of Security;スレイマン・アル・タジ;39;PA;Prince of Terror;Medium;M91108;x
91109;Minister of Security;ロバート・H・ブランド;41;PA;Silent Lawyer;Medium;M91092;x
91110;Minister of Security;ジョン・サンダーソン＝ホールデン;44;PA;Crime Fighter;Medium;M91110;x
91111;Minister of Security;ヌーリー・アッ＝サイード;46;PA;Efficient Sociopath;Medium;M91003;x
91112;Minister of Security;ジャミル・アル・ミドファイ;36;FA;Crooked Kleptocrat;Low;M91047;x
91113;Minister of Security;アリ・ラサク;37;FA;Man of the People;Medium;M91113;x
91114;Minister of Security;アフメド・アミール・バディ;40;FA;Efficient Sociopath;Medium;M91114;x
91115;Minister of Security;ラシッド・アリ・アル・ガイラーニー;41;FA;Prince of Terror;High;M91011;x
91116;Minister of Security;ハジ・アミニ・アル・フセイニ;41;FA;Efficient Sociopath;High;M91013;x
91117;Minister of Security;アンワル・ハティブ;36;LWR;Man of the People;Medium;M91024;x
91118;Minister of Security;ヒクメト・スレイマン;41;LWR;Compassionate Gentleman;Medium;M91054;x
91120;Head of Military Intelligence;モハンメド・アル・アジル;41;SC;Logistics Specialist;Medium;M91120;x
91121;Head of Military Intelligence;タハ・パシャ・アル・ハシミ;46;SC;Dismal Enigma;High;M91044;x
91122;Head of Military Intelligence;エミール・グーリ;36;PA;Technical Specialist;Medium;M91122;x
91123;Head of Military Intelligence;ジャミル・アル・ミドファイ;38;PA;Political Specialist;Medium;M91047;x
91124;Head of Military Intelligence;ジョン・バゴット・グラッブ;41;PA;Logistics Specialist;Medium;M91124;x
91125;Head of Military Intelligence;ジョン・サンダーソン＝ホールデン;41;PA;Dismal Enigma;Medium;M91110;x
91126;Head of Military Intelligence;フランシス・P・ワルタース;44;PA;Industrial Specialist;Medium;M91126;x
91127;Head of Military Intelligence;アブドゥッラー;45;PA;Political Specialist;Medium;M91028;x
91128;Head of Military Intelligence;ヌーリー・アッ＝サイード;47;PA;Logistics Specialist;Medium;M91003;x
91129;Head of Military Intelligence;リファイ・アル・ファデル;36;FA;Political Specialist;Medium;M91129;x
91130;Head of Military Intelligence;ラシッド・アリ・アル・ガイラーニー;40;FA;Dismal Enigma;Medium;M91011;x
91131;Head of Military Intelligence;アザム・パシャ;40;FA;Logistics Specialist;Medium;M91046;x
91132;Head of Military Intelligence;ファウジ・アル・カウクジ;46;FA;Industrial Specialist;Medium;M91014;x
91133;Head of Military Intelligence;タハ・アル・アーマニ;36;LWR;Industrial Specialist;Medium;M91029;x
91134;Head of Military Intelligence;アブダラー・モムターズ;40;LWR;Technical Specialist;Medium;M91026;x
91135;Head of Military Intelligence;スレイマン・アル・タジ;41;LWR;Political Specialist;Medium;M91108;x
91136;Head of Military Intelligence;リファイ・アル・ファデル;46;LWR;Dismal Enigma;Medium;M91129;x
91137;Chief of Staff;フレデリク・ピーク;36;SC;School of Fire Support;Low;M91008;x
91138;Chief of Staff;ジョン・バゴット・グラッブ;41;SC;School of Psychology;Low;M91124;x
91140;Chief of Staff;ヌリ・アス＝サイード;37;PA;School of Mass Combat;Medium;M91003;x
91143;Chief of Staff;ファウジ・アル・カウクジ;36;FA;School of Fire Support;Medium;M91014;x
91144;Chief of Staff;バクル・シドゥキ;36;LWR;School of Defence;Low;M91007;x
91145;Chief of Staff;アルシャド・アル・ウマリ;39;LWR;School of Fire Support;Medium;M91027;x
91147;Chief of Army;ジョン・バゴット・グラッブ;46;PA;Decisive Battle Doctrine;High;M91124;x
91148;Chief of Army;ガージー1世;36;PA;Guns and Butter Doctrine;High;M91001;x
91149;Chief of Army;ヌーリー・アッ＝サイード;39;PA;Armoured Spearhead Doctrine;Medium;M91003;x
91151;Chief of Army;アブドゥル・イラー;44;PA;Static Defence Doctrine;Medium;M91035;x
91152;Chief of Army;ファイサル2世;45;PA;Static Defence Doctrine;High;M91039;x
91153;Chief of Army;ファウジ・アル・カウクジ;36;FA;Static Defence Doctrine;Medium;M91014;x
91154;Chief of Army;アブドゥッラー;41;FA;Elastic Defence Doctrine;Medium;M91028;x
91155;Chief of Army;アルシャド・アル・ウマリ;36;LWR;Guns and Butter Doctrine;Medium;M91027;x
91157;Chief of Navy;ハマディ・アル・パチャチ;36;PA;Decisive Naval Battle Doctrine;Low;M91049;x
91159;Chief of Navy;ジャミル・アル・ミドファイ;46;PA;Indirect Approach Doctrine;Medium;M91047;x
91160;Chief of Navy;アリ・マフムド・アル・シャイク;36;FA;Indirect Approach Doctrine;Medium;M91019;x
91162;Chief of Navy;タハ・アル・アーマニ;36;LWR;Decisive Naval Battle Doctrine;Medium;M91029;x
91164;Chief of Air Force;アラン・ローリンソン;41;SC;Army Aviation Doctrine;Medium;M91164;x
91165;Chief of Air Force;アブドゥル・イラー;36;PA;Air Superiority Doctrine;Medium;M91035;x
91166;Chief of Air Force;アブドゥッラー・アル＝テル;40;PA;Naval Aviation Doctrine;Medium;M91166;x
91168;Chief of Air Force;ジャミル・アル・ミドファイ;44;PA;Carpet Bombing Doctrine;Medium;M91047;x
91169;Chief of Air Force;ファイサル2世;46;PA;Vertical Envelopment Doctrine;High;M91039;x
91170;Chief of Air Force;ファハミ・サイド;36;FA;Air Superiority Doctrine;Medium;M91020;x
91171;Chief of Air Force;カリド・アル・ダラベー;36;LWR;Vertical Envelopment Doctrine;Medium;M91030;x
91172;Head of State;ラシッド・アリ・アル・ガイラーニー;41;FA;Powerhungry Demagogue;High;M91011;x
91173;Chief of Navy;ラシッド・アリ・アル・ガイラーニー;46;FA;Power Projection Doctrine;Medium;M91011;x
91174;Head of Government;ヒクメト・スレイマン;36;PA;Naive Optimist;High;M91054;x
91175;Head of Government;ラシッド・アリ・アル・ガイラーニー;40;PA;Smiling Oilman;High;M91011;x
91176;Head of Government;ジャミル・アル・ミドファイ;41;PA;Smiling Oilman;High;M91047;x
91177;Head of Government;ヌーリー・アッ＝サイード;41;PA;Ambitious Union Boss;High;M91003;x
91178;Head of Government;ヌーリー・アッ＝サイード;46;PA;Flamboyant Tough Guy;High;M91003;x
91011;Head of State;ラシッド・アリ・アル・ガイラーニー;36;FA;Powerhungry Demagogue;High;M91011;x
91012;Head of Government;ラシッド・アリ・アル・ガイラーニー;36;FA;Smiling Oilman;High;M91011;x
91021;Head of State;ヤヒヤ・ハムデー;36;ST;Barking Buffoon;High;M91021;x
91022;Head of Government;ヤヒヤ・ハムデー;36;ST;Backroom Backstabber;High;M91021;x
91179;Head of Government;ムハンマド・アス・サドル;48;PA;Naive Optimist;High;M91179;x
91180;Head of Government;ムザヒム・アル・バイヤジ;48;SC;Corporate Suit;High;M91180;x
91181;Head of Government;アリ・ジャワド;49;PA;Backroom Backstabber;High;M91064;x
91182;Head of Government;タウフィク・アル・スウェイディ;50;PA;Ambitious Union Boss;High;M91056;x
91183;Head of Government;ヌールッ=ディーン・マフムード;52;PA;Old General;High;M91183;x
91184;Head of Government;ムスタファ・アル・ウマリ;52;ML;Silent Workhorse;High;M91184;x
91185;Head of Government;ムハメド・ファーディル・アル=ジャマリ;53;SC;Happy Amateur;High;M91185;x
91186;Head of Military Intelligence;ヌールッ=ディーン・マフムード;45;PA;Logistics Specialist;Medium;M91183;x
91187;Head of State;ファイサル2世;46;SC;Benevolent Gentleman;High;M91039;x
