UPE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65838;Chief of Staff;アリ・カーン・ナクジアム;36;ST;School of Manoeuvre;Medium;M53027;x
65839;Chief of Staff;ホセイン・アフカーミ;36;ST;School of Fire Support;Medium;M53017;x
65840;Chief of Staff;レザ・ミザニ;36;ST;School of Mass Combat;Medium;M53006;x
65841;Chief of Staff;ハサン・マジド・フィルーズ;36;ST;School of Defence;Medium;M53028;x
65842;Chief of Staff;アリ・アクバー・デイヴァ;36;ST;School of Psychology;Medium;M53005;x
65843;Chief of Army;アズラム・ミア・ガーニ;36;ST;Elastic Defence Doctrine;Medium;M53098;x
65844;Chief of Army;ハサン・マジド・フィルーズ;36;ST;Static Defence Doctrine;Medium;M53028;x
65845;Chief of Army;ヘダヤット・ギランシャー;36;ST;Decisive Battle Doctrine;Medium;M53100;x
65846;Chief of Army;モハンメド・ナクジャヴァニ;36;ST;Armoured Spearhead Doctrine;Medium;M53062;x
65847;Chief of Army;マー・アフカーミ;36;ST;Guns and Butter Doctrine;Medium;M53018;x
65848;Chief of Navy;シャプーア・キスラバディ;36;ST;Open Seas Doctrine;Medium;M53102;x
65849;Chief of Navy;アーマッド・カーン・ナクジャーヴァン;36;ST;Decisive Naval Battle Doctrine;Medium;M53004;x
65850;Chief of Navy;モハンメド・ミア・モハンナ;36;ST;Power Projection Doctrine;Medium;M53029;x
65851;Chief of Navy;モハンメド・モイニ;36;ST;Indirect Approach Doctrine;Medium;M53020;x
65852;Chief of Navy;レザ・ミザニ;36;ST;Base Control Doctrine;Medium;M53006;x
65853;Chief of Air Force;モハンメド・ナクジャヴァニ;36;ST;Air Superiority Doctrine;Medium;M53062;x
65854;Chief of Air Force;モハンメド・ミア・モハンナ;36;ST;Naval Aviation Doctrine;Medium;M53029;x
65855;Chief of Air Force;サデグ・カーン・クーパル;36;ST;Army Aviation Doctrine;High;M53106;x
65856;Chief of Air Force;ヘダヤット・ギランシャー;36;ST;Carpet Bombing Doctrine;Medium;M53100;x
65857;Chief of Air Force;モハンメド・モイニ;36;ST;Vertical Envelopment Doctrine;Medium;M53020;x
