Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
カラク;61037;TUR;1940;1945;1990;1990;3;5;0;1;0;5;1;L61037;1940;1960;x
ジェベソイ;61038;TUR;1930;1930;1930;1990;1;4;0;1;0;4;1;L61038;1930;1943;x
ドゥザン;61039;TUR;1930;1930;1990;1990;2;5;0;0;0;5;1;L61039;1930;1941;x
ゴールカン;61040;TUR;1945;1990;1990;1990;3;4;0;0;0;5;1;L61040;1945;1960;x
コトルク;61041;TUR;1943;1946;1990;1990;2;5;0;1;0;5;1;L61041;1943;1960;x
コーヤ;61042;TUR;1939;1943;1944;1990;2;5;0;2;0;5;1;L61042;1939;1960;x
オルバイ;61043;TUR;1930;1930;1990;1990;2;5;0;0;0;4;1;L61043;1930;1939;x
ウンゲン;61044;TUR;1930;1941;1944;1990;2;5;0;2;0;4;1;L61044;1930;1960;x
ウゼンダル;61045;TUR;1944;1990;1990;1990;3;4;0;0;0;5;1;L61045;1944;1960;x
オヤルザン;61046;TUR;1945;1990;1990;1990;3;4;1024;0;0;5;1;L61046;1945;1960;x
アルパイ;61047;TUR;1945;1990;1990;1990;3;5;0;0;0;5;2;L61047;1945;1960;x
バランシェル;61048;TUR;1943;1990;1990;1990;3;5;0;0;0;4;2;L61048;1943;1960;x
ベルコズ;61049;TUR;1939;1942;1990;1990;2;5;0;1;0;4;2;L61049;1939;1960;x
エルセイ;61050;TUR;1943;1945;1990;1990;3;4;0;1;0;5;2;L61050;1943;1960;x
ガタリ;61051;TUR;1930;1939;1990;1990;2;5;0;1;0;5;2;L61051;1930;1943;x
ゴクセン;61052;TUR;1939;1990;1990;1990;3;5;8192;0;0;4;2;L61052;1939;1945;x
ヒタイ;61053;TUR;1930;1940;1990;1990;3;5;0;1;0;5;2;L61053;1930;1944;x
イルクカン;61054;TUR;1945;1990;1990;1990;3;5;131072;0;0;4;2;L61054;1945;1960;x
ナムト;61055;TUR;1938;1941;1944;1990;2;5;16384;2;0;5;2;L61055;1938;1960;x
サディク;61056;TUR;1930;1990;1990;1990;3;4;0;0;0;4;2;L61056;1930;1940;x
オルルンガト;61057;TUR;1930;1930;1930;1990;1;4;0;1;0;4;2;L61057;1930;1942;x
ユカル;61058;TUR;1943;1990;1990;1990;3;4;0;0;0;5;2;L61058;1943;1960;x
コルデカン;61059;TUR;1939;1941;1990;1990;2;4;4;1;0;5;0;L61059;1939;1960;x
ムジル;61060;TUR;1937;1939;1943;1990;1;5;0;2;0;5;0;L61060;1937;1960;x
