USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
164;オットー・ロベルト・フリッシュ;T165;7;1970;1946;nuclear_engineering;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
165;リチャード・ファインマン;T166;8;1970;1988;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
166;ピカティニー工廠;Picatinny_Arsenal;7;1942;1948;artillery;mechanics;chemistry;training;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
172;コンソリデーテッド・ヴァルティ・エアクラフト;T172;8;1970;1970;artillery;electronics;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175;MIT放射線研究所;T175;9;1941;1946;mechanics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
176;MIT電子工学研究所;T175;9;1946;1970;electronics;chemistry;nuclear_physics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;カール・スパーツ;T120;7;1939;1955;aircraft_testing;bomber_tactics;centralized_execution;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
121;チェスター・ニミッツ;T121;8;1939;1948;small_taskforce_tactics;submarine_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
122;カーチス・ルメイ;T122;7;1938;1965;centralized_execution;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
123;ドワイト・アイゼンハワー;T123;7;1939;1952;training;management;small_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
124;アーネスト・J・キング;T124;7;1930;1946;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125;ヘンリー・アーノルド;T125;7;1930;1948;decentralized_execution;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
126;ハイマン・リコーヴァー;T126;7;1947;1970;nuclear_engineering;chemistry;electronics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
127;オマール・ブラッドレー;T127;7;1938;1954;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
130;マクスウェル・テイラー;T130;6;1953;1965;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
131;アーサー・ラドフォード;T131;6;1949;1959;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
146;レイモンド・スプルーアンス;T147;8;1942;1948;decentralized_execution;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
147;ジョージ・パットン;T148;7;1938;1954;small_unit_tactics;decentralized_execution;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
148;マリン・クレイグ;T149;5;1930;1939;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
149;ジョージ・マーシャル;T150;6;1939;1945;centralized_execution;combined_arms_focus;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
150;ジェームズ・リチャードソン;T151;6;1930;1940;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
151;ハズバンド・キンメル;T152;5;1940;1942;naval_training;decentralized_execution;centralized_execution;seamanship;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
162;アドナ・R・チャーフィー・ジュニア;T163;6;1930;1941;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
177;デウィット・C・ラムゼー;T177;7;1939;1950;aircraft_testing;bomber_tactics;carrier_tactics;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
