AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
650;ホルティ・ミクローシュ;T1613;5;1970;1970;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
651;ゾルタン機関室;T1614;5;1970;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
652;チェコ・コルベンダネック社;T1103;7;1970;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
653;コメニウス大学;T4103;3;1970;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
654;ハンガリー王立造幣局;T1617;5;1970;1970;technical_efficiency;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
655;国有クロアチア鉄道;T3805;5;1970;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
656;イカルス・フルヴァツカ;T3800;4;1970;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
657;インダストリア・エアロプランスキー・モトラ;T3801;3;1970;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
658;オシエク産業共同体;T13;4;1970;1970;industrial_engineering;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
659;スプリト海軍工廠;T3802;5;1970;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
660;ザグレブ軍事工廠;T3812;5;1970;1970;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
661;スラヴコ・クヴァテルニク;T31006;3;1970;1970;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
662;ウラジミール・ラクサ;T31007;4;1970;1970;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
663;ウラジミール・クレン;T31010;4;1970;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
664;バイエル;T664;8;1970;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
665;ヘキスト;T665;8;1970;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
666;BASF;T666;8;1970;1970;chemistry;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
667;ワルサー社;T68;6;1970;1970;electronics;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
668;ジーメンス社;T14;7;1970;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
669;マン社;T8;7;1970;1970;artillery;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
670;ラインメタル社;T13;7;1970;1970;artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
671;ブローム・ウント・フォス社;T1;5;1970;1970;electronics;general_equipment;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
672;ハインケル航空機製造;T2;5;1970;1970;electronics;chemistry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
673;ヨシップ・ブロズ・チトー;T3810;6;1970;1970;training;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
