ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1858;ウーゴ・ティベリオ;T1858;5;1935;1970;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1859;ラ・サピエンツァ大学;T1859;4;1930;1970;chemistry;electronics;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1857;ウーゴ・カヴァッレーロ;T1857;4;1936;1945;centralized_execution;large_unit_tactics;management;mathematics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1855;空軍参謀本部;T1855;5;1960;1970;aircraft_testing;bomber_tactics;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1850;カルロ・フェチア・ディ・コッサート;T7705;4;1930;1970;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1846;アルフレド・グゾーニ;T1846;3;1930;1965;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1844;アルベルト・ダ・ザラ;T1844;5;1939;1990;large_taskforce_tactics;naval_training;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1843;ブルート・ブリヴォネージ;T1843;3;1930;1948;naval_training;large_taskforce_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1813;アルトゥーロ・リカルディ;T1813;4;1940;1970;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1814;ドメニコ・カヴァニャーリ;T1814;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1815;イタロ・バルボ;T1815;5;1930;1960;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1816;ジョヴァンニ・メッセ;T1816;6;1941;1970;small_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1817;ピエトロ・バドリオ;T1817;4;1930;1945;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1818;リーノ・フォウジェール;T1818;4;1940;1960;aircraft_testing;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1819;ロドルフォ・グラツィアーニ;T1819;3;1930;1955;training;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1829;フランコ・ルッキーニ;T1829;4;1939;1970;decentralized_execution;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1830;アンジェロ・イアキーノ;T1830;4;1940;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1831;テセオ・テゼイ;T1831;5;1930;1970;decentralized_execution;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1832;アドリアーノ・ヴィスコンティ;T1832;4;1940;1970;fighter_tactics;aircraft_testing;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1834;フランチェスコ・プリコーロ;T1834;4;1930;1980;decentralized_execution;combined_arms_focus;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1835;エミーリオ・デ・ボーノ;T1835;2;1930;1948;centralized_execution;infantry_focus;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
