GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
76;メッサーシュミット・ベルコウ・ブローム;T76;9;1970;1970;artillery;electronics;rocketry;aeronautics;technical_efficiency;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
77;合同航空機製造（VFW）;T77;9;1970;1970;chemistry;electronics;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
78;リピッシュ航空機製造;T71;9;1970;1970;artillery;electronics;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
79;BMW＝ロールス・ロイス;T45;9;1970;1970;electronics;rocketry;aeronautics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;アドルフ・ガーラント;T18;7;1941;1970;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;エーリッヒ・レーダー;T19;7;1930;1960;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;エーリッヒ・フォン・マンシュタイン;T20;9;1930;1970;combined_arms_focus;large_unit_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;エルンスト・ウーデット;T21;5;1930;1970;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;ハインツ・グデーリアン;T22;9;1930;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;ヘルマン・ゲーリング;T23;4;1930;1970;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96;フェードア・フォン・ボック;T96;7;1930;1945;training;infantry_focus;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;フーゴ・シュペルレ;T24;7;1938;1970;bomber_tactics;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;カール・デーニッツ;T25;8;1930;1970;submarine_tactics;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55;エルヴィン・ロンメル;T55;7;1939;1970;individual_courage;training;infantry_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
56;ゲルト・フォン・ルントシュテット;T56;8;1930;1953;individual_courage;training;infantry_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58;ヴォルフラム・フォン・リヒトホーフェン;T58;7;1938;1945;combined_arms_focus;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
59;ヨーゼフ・カムフーバー;T59;7;1940;1986;centralized_execution;fighter_tactics;aircraft_testing;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60;ヴェルナー・メルダース;T60;9;1940;1970;fighter_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
61;ヴォルフ・ディートリッヒ・ヴィルケ;T61;7;1940;1944;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
62;ゲルハルト・バルクホルン;T62;8;1941;1983;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
63;エーリヒ・ハルトマン;T63;8;1943;1970;centralized_execution;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64;ハンス・ヨアヒム・マルセイユ;T64;8;1941;1943;fighter_tactics;piloting;aircraft_testing;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
65;ハンス・ウルリッヒ・ルーデル;T65;8;1942;1982;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
66;テオドール・クランケ;T66;7;1941;1973;large_taskforce_tactics;naval_training;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
67;オットー・チリアクス;T67;5;1941;1964;naval_training;seamanship;combined_arms_focus;large_taskforce_tactics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
69;ヘルムート・ブリンクマン;T69;5;1942;1983;carrier_tactics;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
70;ギュンター・リュッチェンス;T70;6;1938;1941;small_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
86;ヘルマン・ホト;T86;8;1930;1971;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
87;ジークフリート・ハントローザ;T87;6;1941;1954;centralized_execution;chemistry;mechanics;training;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
88;アントン・ヴァルドマン;T88;5;1930;1941;chemistry;centralized_execution;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
91;ロタール・フォン・アルノー・ド・ラ・ペリエール;T91;8;1939;1941;centralized_execution;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92;ヨハネス・シュタインホフ;T92;8;1940;1970;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94;アルベルト・ケッセルリンク;T94;7;1930;1970;aircraft_testing;bomber_tactics;centralized_execution;piloting;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97;ギュンター・ラル;T97;7;1942;2009;centralized_execution;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98;ヴァルター・ノヴォトニー;T98;6;1943;1944;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
