#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
RT_USER_47;ユーザー定義 47;User tech component 47;;;;;;;;;X
RT_USER_48;ユーザー定義 48;User tech component 48;;;;;;;;;X
RT_USER_49;ユーザー定義 49;User tech component 49;;;;;;;;;X
RT_USER_50;ユーザー定義 50;User tech component 50;;;;;;;;;X
RT_USER_51;ユーザー定義 51;User tech component 51;;;;;;;;;X
RT_USER_52;ユーザー定義 52;User tech component 52;;;;;;;;;X
RT_USER_53;ユーザー定義 53;User tech component 53;;;;;;;;;X
RT_USER_54;ユーザー定義 54;User tech component 54;;;;;;;;;X
RT_USER_55;ユーザー定義 55;User tech component 55;;;;;;;;;X
RT_USER_56;ユーザー定義 56;User tech component 56;;;;;;;;;X
RT_USER_57;ユーザー定義 57;User tech component 57;;;;;;;;;X
RT_USER_58;ユーザー定義 58;User tech component 58;;;;;;;;;X
RT_USER_59;ユーザー定義 59;User tech component 59;;;;;;;;;X
RT_USER_60;ユーザー定義 60;User tech component 60;;;;;;;;;X
#FEPKテキスト群;;;;;;;;;;x
EVT_20004_NAME;黄色作戦;;;;;;;;;;x
EVT_20004_ACTA;進め！　進め！;;;;;;;;;;x
EVT_20004_ACTB;前進！　ただし、オランダは侵すな！;;;;;;;;;;x
EVT_27010_DESC;我々は日本という外部の危機を退け、今や軍閥という内部の危機に注力することが出来る。軍閥を壊滅せしめ、我々による統治を確固たるものとしよう。;;;;;;;;;;x
EVT_27011_NAME;中華統一戦争;;;;;;;;;;x
EVT_27011_DESC;中華民国は彼らの軍閥の全てを壊滅させ、今や北部中国――即ち満洲――に未回収の領土を残すのみとなった。中国の統一は悲願であり、逆にここで引き下がるような動きを見せれば国民党の支持はたちまち揺らぐだろう。 ;;;;;;;;;;x
EVT_27011_ACTA;大陸からあの卑怯者を叩き出せ！;;;;;;;;;;x
EVT_27011_ACTB;日本と敵対するにはまだ早い;;;;;;;;;;x
EVT_27100_NAME;中華統一戦争：共産党;;;;;;;;;;x
EVT_27100_DESC;我々は毛沢東の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。 ;;;;;;;;;;x
EVT_27100_ACTA;進め！;;;;;;;;;;x
EVT_27101_NAME;中華統一戦争：山西軍閥;;;;;;;;;;x
EVT_27101_DESC;我々は山西の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_27102_NAME;中華統一戦争：新疆;;;;;;;;;;x
EVT_27102_DESC;我々は新疆の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_27103_NAME;中華統一戦争：西北三馬;;;;;;;;;;x
EVT_27103_DESC;我々は西北三馬の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_27104_NAME;中華統一戦争：雲南;;;;;;;;;;x
EVT_27104_DESC;我々は雲南の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_27105_NAME;中華統一戦争：広西軍閥;;;;;;;;;;x
EVT_27105_DESC;我々は広西の軍閥を前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_27106_NAME;中華統一戦争：チベット;;;;;;;;;;x
EVT_27106_DESC;我々はチベットを前に、今や戦力を結集してこれを殲滅する用意がある。彼らを滅ぼし、平定への礎としよう。;;;;;;;;;;x
EVT_28582_NAME;マンハッタン計画;;;;;;;;;;x
EVT_28582_DESC;1942年10月、ルーズベルトはアメリカ国防研究委員会議長とヴァネヴァー・ブッシュと副大統領とのミーティングで、核兵器開発プロジェクトを承認した。本研究所の建設は陸軍により、ニューメキシコ州・ロスアラモスに建設される運びとなった。研究所設立後、この地は冷戦期までの核兵器開発の最先端を走り続け、これは当時の西側陣営の勝利にも大きな貢献をもたらした。;;;;;;;;;;x
EVT_28582_ACTA;オッペンハイマーを『サイトY』研究所の所長とする;;;;;;;;;;x
EVT_28700_NAME;リバティー船の建造開始;;;;;;;;;;x
EVT_28701_NAME;リバティー船建造終了;;;;;;;;;;x
EVT_55000_NAME;対支一撃論と永田の近衛文麿擁立運動;;;;;;;;;;x
EVT_55000_DESC;1933年6月、陸軍全幕僚会議はソ連を仮想敵国とした準備をするものとして大勢は一致していたものの、永田鉄山はそれに対し対ソ準備の前提として支那を「日本の駒」とする必要があると論じた。その意見は荒木貞夫陸軍大臣により「支那を叩くといってもこれは決して武力で片づくものではない。しかも支那と戦争すれば英米は黙っていないし必ず世界を敵とする大変な戦争になる」と反芻した。これは常識的な意見ではあったが、それより更に2年経って今永田の影響力は軍内での影響力を更に高めており、その上永田の意見に反論する荒木貞夫は既に陸軍大臣の座を辞しているのであった。永田が主流派として権力を振るえる今、近衛文麿を担いで革新内閣を実現し総力戦体制への準備を進め、そして中国へ拡大の矛先を向けることが出来るのである。;;;;;;;;;;x
EVT_55000_ACTA;陸軍大臣を通じて近衛文麿による政権を擁立する;;;;;;;;;;x
EVT_55000_ACTB;無謀なことをするべきではない……。;;;;;;;;;;x
EVT_55002_NAME;日本国号変更;;;;;;;;;;x
EVT_55002_DESC;風雲急を告げる国際情勢にある現在においても、国際社会の波を切り抜けるべく日本は自己を確立し、しっかりとした足取りで進むべきである。日本の国際表記を正式に大日本帝国とし、国家元首を皇帝ではなく天皇とすることにより、欧米社会に傾倒していた我が国のありかたを見直し、自国という誇りと決意を再確認する事が出来るであろう。;;;;;;;;;;x
EVT_55002_ACTA;国際表記を大日本帝国に変更する;;;;;;;;;;x
EVT_55002_ACTB;日本共和国でもよいか？;;;;;;;;;;x
EVT_55002_ACTC;国際表記の変更をしない;;;;;;;;;;x
EVT_55003_NAME;国名は大日本帝国;;;;;;;;;;x
EVT_55003_DESC;本日、日本は正式に国号を大日本帝国とし天皇を「皇帝」ではなく「天皇」と定めた。開国以来我国の国際表記は欧米に準じていたが、帝国の国威上昇により我が国自身の言葉で国際的表記を行えるようになったのは誠に喜ばしい限りである。;;;;;;;;;;x
EVT_55003_ACTA;大日本万歳！;;;;;;;;;;x
EVT_55004_NAME;日本共和国問題;;;;;;;;;;x
EVT_55004_DESC;「天皇は元首であるが、その統治機関は内閣であり実際は共和国と言っても過言ではない」との憲法学者による見解を聞いた首相が漏らした一言が議会を紛糾させた。この発言は天皇機関説を肯定するものであり前年度の国体明徴宣言を否定するものであった。右翼や軍部が猛烈な反発をしたが事態はそれだけでは終わらず、この問題は民衆を巻き込む一大論戦へと発展した。後に「第二次天皇機関説問題」と言われるこの問題は聴衆の聞き間違いであるという事で最終的な決着としたが、一度火のついた共和制議論はその後も燻り続けた。;;;;;;;;;;x
EVT_55004_ACTA;些細な一言で歴史が変わる時もあるのだ！;;;;;;;;;;x
EVT_55005_NAME;国際新表記の断念;;;;;;;;;;x
EVT_55005_DESC;大日本帝国及び天皇位の国際表記取止めについて陸軍大臣及び陸軍内で反発が起きている模様です。;;;;;;;;;;x
EVT_55005_ACTA;不満が出るのも仕方が無い……。;;;;;;;;;;x
EVT_55006_NAME;ヒトラー・ユーゲント来日;;;;;;;;;;x
EVT_55006_DESC;日独友好の為ドイツの未来を担う若者達で結成されたヒトラー・ユーゲントが来日し盛大なるセレモニーが開催された。彼らの見事に統制された姿に多くの人々は感動しドイツの力強さを感じた。また、ヒトラー・ユーゲントの若者達も日本各地を散策し日本文化の造形と自然美によって生まれた日本の精神に深く感銘したと伝えられる。副団長であるレデッカー氏は日本人の心の美と文化を絶賛し「日本は永久に勝利者として残ることを我々は確信した」とコメントした。;;;;;;;;;;x
EVT_55006_ACTA;日独友好万歳！;;;;;;;;;;x
EVT_55010_NAME;チャンドラ・ボースの来訪;;;;;;;;;;x
EVT_55010_DESC;インド独立の強硬派チャンドラ・ボースが独逸より来訪した。彼は独逸に独立支援を断られると英国に対抗している日本に支援を求めて来たのである。チャンドラ・ボースは時の日本首相と東條英機に対して無償支援と全面的協力を要請した。申し入れを受けた場合、日本はインド独立政府の樹立の為にインド領アンダマン・ニコバル諸島の一部を譲り渡し、更に莫大な資源を提供する事になる。歴史的に日本はチャンドラ・ボースの支援要求を受入れた。;;;;;;;;;;x
EVT_55010_ACTA;チャンドラ・ボースを支援しよう;;;;;;;;;;x
EVT_55010_ACTB;英国を刺激したくはない。追い返せ！;;;;;;;;;;x
EVT_55011_NAME;自由インド仮政府樹立;;;;;;;;;;x
EVT_55011_DESC;1943年10月21日自由インド仮政府は誕生した。チャンドラ・ボースの元には東南アジア一帯から多くの同胞が独立を目指し集結してきた。チャンドラ・ボースはこの日、力強く宣言した。「兵士諸君！　我々の合言葉はチェロ・デリー！である。我々の任務は、古都デリーのラール・キラにおいて入城式を行う日まで、決して終わる事はないのだ！」;;;;;;;;;;x
EVT_55011_ACTA;チェローデリー！;;;;;;;;;;x
EVT_55020_NAME;デリー入城;;;;;;;;;;x
EVT_55020_DESC;遂に自由インド仮政府はデリーへと入城を果した。;;;;;;;;;;x
EVT_55020_ACTA;チェローデリー！;;;;;;;;;;x
EVT_55021_NAME;インド反逆;;;;;;;;;;x
EVT_55021_DESC;インド反乱軍の不逆者達は遂に独立を宣言した模様です！ 今回の乱は「セポイの乱」 に続く一大不祥事であり、我国に泥を塗る許しがたい暴虐であります。このような蛮行を国際社会が認めるわけがなく、今次大戦終了後インドに対して徹底的に行動に出るべきでしょう！;;;;;;;;;;x
EVT_55021_ACTA;反逆者どもめ！;;;;;;;;;;x
EVT_55022_NAME;インド独立;;;;;;;;;;x
EVT_55022_DESC;遂にインドはイギリスより独立した。長年虐げてきた圧政者より再び自由と 尊厳と権利を勝ち取ったのである。これは偉大なる勝利であった。議会派であるガンジーは暴力的手段は悪しとしたがインド独立を心から祝福した。全インドが見守る中ボースは宣言した。「我々は遂に悪しき呪縛を討破った。最早誰も我々を踏みつけ縛ることは出来ない。さあ自分自身の足で歩こう、我々を阻む者など、もうどこにも存在しないのだから！」;;;;;;;;;;x
EVT_55022_ACTA;ジャイ・ヒンド！;;;;;;;;;;x
EVT_55030_NAME;インド独立義勇軍;;;;;;;;;;x
EVT_55030_DESC;日本は英国との戦争に関し様々な謀略を行った。その活動の一つに東南アジアで活動するインド独立運動家への支援があった。彼らは独立支援を受け積極的に活動し東南アジアに配備されていた多くのインド兵を投降させ独立運動に協力させることに成功した。そしてインド独立派に合流した運動家やインド投降兵を再編成 し新たにインド独立義勇軍が発足した。彼らは独立のために結成されたインドの為の部隊であり、後の自由仮政府の母体となるのである。;;;;;;;;;;x
EVT_55030_ACTA;インドに栄光あれ！;;;;;;;;;;x
EVT_55031_NAME;ビルマ独立義勇軍;;;;;;;;;;x
EVT_55031_DESC;日本は英国との戦争に関し様々な謀略を行った。その活動の一つに東南アジアで活動するビルマ独立運動家への支援があった。諜報機関の南機関は若きアウンサンやバー・モウなどのビルマの運動家を集めると軍事教練を行いビルマ独立義勇軍を結成させた。独立義勇軍は日本軍の攻勢と共にビルマへ進出。最終的にビルマは独立を果し、その歴史的役割を終えるのである。;;;;;;;;;;x
EVT_55031_ACTA;ビルマに栄光あれ！;;;;;;;;;;x
EVT_55032_NAME;アウン・サンとの接触;;;;;;;;;;x
EVT_55032_DESC;独立運動家の一家に生まれたアウン・サンは、父と同様、英領ビルマの独立を目指す独立運動家となった。彼はその運動の過程でイギリス官憲に追われ、中国へと入った。しかしその中国は日本の攻撃を受けている最中で、ビルマを英国から切り離すという利害の一致によりアウン・サンは帝国陸軍の鈴木敬司と合流した。;;;;;;;;;;x
EVT_55032_DECISION_DESC;アウン・サンの目指すビルマの独立を口実に、我が国はイギリスへの積極的な攻撃姿勢を示すことも出来ます。「彼と協力し、ビルマに独立をもたらそう！」を選択した場合は、アウン・サンが指揮官に参加する以上の事は起こりません。ですが、「独立戦争のために彼らを全面的に支援しよう」と選択した場合は、イギリスへの宣戦布告ディシジョン「ビルマ独立闘争」へと段階を進めることが出来ます。当然ですが、イギリスとの対決を望まない場合はこの選択肢は選ぶべきではありません。好戦性の上昇は、あらゆる外交関係にマイナスの影響を与えます。;;;;;;;;;;x
EVT_55032_ACTA;彼と協力し、ビルマに独立をもたらそう！;;;;;;;;;;x
EVT_55032_ACTB;独立戦争のために彼らを全面的に支援しよう;;;;;;;;;;x
EVT_55033_NAME;大英帝国への最後通牒？;;;;;;;;;;x
EVT_55033_DESC;アウンサンに代表とされるビルマ独立運動家たちとの関係が我が国で確立されたことで、我々は極東アジア・太平洋の解放者としての正当な役割を獲得する機会を得た。その理念のために、英国にこの地の全植民地と、インド帝国の特権を要求しなければならない。もし英国が我が要求に応じないとしても、英国は今ドイツに十分に目をつけておかなくてはならない。今の英国に欧州と東亜で同時に戦争をする力は無い、そうではないか？;;;;;;;;;;x
EVT_55033_ACTA;今の我々に余裕はない;;;;;;;;;;x
EVT_55033_ACTB;汎アジア主義の理想のため、英国に譲歩を求める;;;;;;;;;;x
EVT_55034_NAME;日本からの最後通牒;;;;;;;;;;x
EVT_55034_DESC;もう既に数ヶ月の間、大日本帝国はその拡張政策の一貫として、我々が保有するインドと太平洋の領土や権益への野心を示し続けている。今日、ロンドン駐在の日本大使が我々に最後通牒を送りつけた。奴らは我々に、インドと太平洋の領土及び権益の譲渡を要求している。受け入れなければ、日本との戦争になることだろう……。;;;;;;;;;;x
EVT_55034_ACTA;回答することさえ煩わしい;;;;;;;;;;x
EVT_55034_ACTB;日本の要求に応じる;;;;;;;;;;x
EVT_55035_NAME;英国が最後通牒を拒否;;;;;;;;;;x
EVT_55035_DESC;英国は最後通牒を黙殺した。我が国は戦争のために動員し、東亜が今や白人のための場所ではないことを証明しなければならない！;;;;;;;;;;x
EVT_55035_ACTA;宣戦布告だ！;;;;;;;;;;x
EVT_55035_ACTB;引き下がろう、戦争の危険は冒せない;;;;;;;;;;x
EVT_55036_NAME;英国が最後通牒を受諾;;;;;;;;;;x
EVT_55036_DESC;英国は我が国の要求を受け入れた。これは結局のところ、驚嘆するほどのことでもない。英国は常勝不敗の皇軍に恐れをなしたのだ！;;;;;;;;;;x
EVT_55036_ACTA;素晴らしい！;;;;;;;;;;x
EVT_55040_NAME;第二次日英同盟;;;;;;;;;;x
EVT_55040_DESC;イギリスは現在大きな困難に直面している。ヒトラー率いるナチス・ドイツが欧州全域を席巻し、その強力な機甲戦力が英国の至宝インドにまで到達しようとしているのである。陸軍もインド防衛の為に出来うる限りの戦力をかき集めているが、それだけではいま少し心もとないのも確かである。このような情勢下で俄然存在感を増しているのが、今次の大戦に参加せずひたすらに国力を蓄えている大日本帝国であった。ドイツの勢力が増大する中で日本がドイツ側に立って参戦し、英国のアジア利権を侵食するのではないか、という日本脅威論は戦争勃発時からささやかれていたが、現時点では日本は沈黙を守っている。しかし、その沈黙がこのまま守られるという保障はどこにも無い。そこで考えられたのが日本の取り込みである。世界三位の海軍はもとより、精強な歩兵で知られる日本陸軍を味方にする事が出来ればインドや極東植民地の防衛は今よりもずっと容易になるであろう。資源算出の少ない日本にとって我々の側に立つということは、すなわち自国の輸入する資源地帯を守るということになる。ドイツに奪われるくらいならば、日本が力ずくで奪ってしまおうと考えるよりも先に日本を取り込み、資源の一部を融通してやるほうが遥かに我が国の利益に適っているのではないだろうか？;;;;;;;;;;x
EVT_55040_ACTA;日本を我々の側に取り込むのだ！;;;;;;;;;;x
EVT_55040_ACTB;日本は信用できない;;;;;;;;;;x
EVT_55041_NAME;英国からの同盟提案;;;;;;;;;;x
EVT_55041_DESC;ドイツのアジア地域侵攻により帝国崩壊の危機に瀕している英国から対独参戦の要請の使者が到着した。対独参戦の報酬として天然資源の優先供給や軍事技術の供与を申し出てきている。英国の提案を蹴り、ドイツ側に立って参戦するという選択肢も考えられるが、ドイツ総統アドルフ・ヒトラーは熱烈な人種至上主義者である。仮に大英帝国を崩壊させられたとしても、ドイツ民族を構成するアーリア人種以外はすべて劣等民族と切り捨てる男が指導する国と友好関係を構築できるのだろうか？　共闘して勝利をつかんだ瞬間背中から刺されない保証はどこにも無いのである。対して英国は日露戦争や第一次世界大戦でも同盟を結んで利害を共有した仲である。日露戦争中の有形無形の支援にどれだけ我が国が助けられたか、そして第一次世界大戦において我が第二特務艦隊の奮闘を通して得た信頼関係。大戦後の利害の対立から先の大戦後は同盟関係を解消したが、今までの両国関係を考えればどちらの国がより我が国と交友関係を結びやすいかは自明の理ではないだろうか？;;;;;;;;;;x
EVT_55041_ACTA;イギリスの求めに応じる;;;;;;;;;;x
EVT_55041_ACTB;そうなればドイツと協調するまでだ;;;;;;;;;;x
EVT_55041_ACTC;植民地を奪取するために対英宣戦するべきだ;;;;;;;;;;x
EVT_55042_NAME;ドイツのアジア進出;;;;;;;;;;x
EVT_55042_DESC;枢軸国がインドのデリーを占領したとの知らせが世界を駆け巡った。かつての大英帝国の至宝は、今やドイツの前に豊かな大地をさらけ出しており、ドイツがインド全域を占領下に置くのも時間の問題と思われた。今までは米英蘭からの資源輸入で国家運営をしてきたが、その肝心の資源供給源がドイツの手に落ちてしまうと今までのような手段で資源を得ることは難しくなる。いまだアメリカは健在ではあるが、仮に極東の要衝シンガポールをドイツが手にいれるような事があれば、ドイツの誇るUボートによる通商破壊で今までのような自由な貿易は到底望めなくなるであろう。我が国の資源供給を守るためにも連合国とともにドイツと戦うべきなのだろうか？　それとも、ドイツが世界新秩序を構築した後に友好関係を築き上げていけばいいのだろうか？　また、英国の崩壊を近未来の既成事実として捉え、ドイツが蹂躙する前に自らの手で資源地帯を奪取するということも可能ではないだろうか？　日本は戦略決定の大きな岐路に立たされている……。;;;;;;;;;;x
EVT_55042_ACTA;ドイツ討つべし！;;;;;;;;;;x
EVT_55042_ACTB;イギリス植民地をドイツよりも先に奪取せよ！;;;;;;;;;;x
EVT_55042_ACTC;ドイツが勝者になればドイツと協調するまでだ;;;;;;;;;;x
EVT_55043_DESC;枢軸国がインドのデリーを占領したとの知らせが世界を駆け巡った。かつての大英帝国の至宝は、今やドイツの前に豊かな大地をさらけ出しており、ドイツがインド全域を占領下に置くのも時間の問題と思われた。ドイツと友好関係にありつつもいままで大戦に参加してこなかった我が国ではあるが、大英帝国が崩壊寸前の今こそマレーや蘭印といった資源地帯を手にする絶好の機会ではないだろうか。;;;;;;;;;;x
