##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
# ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
NPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;謀略家;The Cloak-and-Dagger Schemer;;;;;;;;;X
NPERSONALITY_ADMINISTRATIVE_GENIUS;天才的実務家;Administrative Genius;;;;;;;;;X
NPERSONALITY_RESOURCE_INDUSTRIALIST;鉱山企業家タイプ;Resource Industrialist;;;;;;;;;X
NPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;自由放任主義者;Laissez-Faire Capitalist;;;;;;;;;X
NPERSONALITY_THEORETICAL_SCIENTIST;理論科学者;Theoretical Scientist;;;;;;;;;X
NPERSONALITY_MILITARY_ENTREPRENEUR;歴戦の勇士;Military Entrepreneur;;;;;;;;;X
NPERSONALITY_BATTLE_FLEET_PROPONENT;艦隊重視;Battle Fleet Proponent;;;;;;;;;X
NPERSONALITY_SUBMARINE_PROPONENT;潜水艦重視;Submarine Proponent;;;;;;;;;X
NPERSONALITY_TANK_PROPONENT;戦車重視;Tank Proponent;;;;;;;;;X
NPERSONALITY_INFANTRY_PROPONENT;歩兵重視;Infantry Proponent;;;;;;;;;X
NPERSONALITY_AIR_TO_GROUND_PROPONENT;空対地戦闘重視;Air-to-Ground Proponent;;;;;;;;;X
NPERSONALITY_AIR_TO_SEA_PROPONENT;空対海戦闘重視;Air-to-Sea Proponent;;;;;;;;;X
NPERSONALITY_STRATEGIC_AIR_PROPONENT;戦略爆撃重視;Strategic Air Proponent;;;;;;;;;X
NPERSONALITY_SILENT_LAWYER;物静かな法律家;Silent Lawyer;;;;;;;;;X
NPERSONALITY_COMPASSIONATE_GENTLEMAN;情け深い紳士;Compassionate Gentleman;;;;;;;;;X
NPERSONALITY_CRIME_FIGHTER;治安重視;Crime Fighter;;;;;;;;;X
NPERSONALITY_PRINCE_OF_TERROR;恐怖政治の推進者;Prince of Terror;;;;;;;;;X
NPERSONALITY_BACK_STABBER;裏工作の名人;Back Stabber;;;;;;;;;X
NPERSONALITY_MAN_OF_THE_PEOPLE;庶民の味方;Man of the People;;;;;;;;;X
NPERSONALITY_EFFICIENT_SOCIOPATH;反社会的効率主義者;Efficient Sociopath;;;;;;;;;X
NPERSONALITY_TECHNICAL_SPECIALIST;技術分析の専門家;Technical Specialist;;;;;;;;;X
NPERSONALITY_LOGISTICS_SPECIALIST;兵站分析の専門家;Logistics Specialist;;;;;;;;;X
NPERSONALITY_POLITICAL_SPECIALIST;政治分析の専門家;Political Specialist;;;;;;;;;X
NPERSONALITY_DISMAL_ENIGMA;不気味な謎の人物;Dismal Enigma;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_SPECIALIST;産業分析の専門家;Industrial Specialist;;;;;;;;;X
NPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;海軍情報の専門家;Naval Intelligence Specialist;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MANOEUVRE;機動論者;School of Maneuver;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;火力支援論者;School of Fire Support;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MASS_COMBAT;人海戦術論者;School of Mass Combat;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_PSYCHOLOGY;精神論者;School of Psychology;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_DEFENCE;防衛論者;School of Defense;;;;;;;;;X
NPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;弾力的防御ドクトリン;Elastic Defense Doctrine;;;;;;;;;X
NPERSONALITY_STATIC_DEFENCE_DOCTRINE;静的防御ドクトリン;Trenches War Expert;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE;決戦ドクトリン;Decisive Battle Doctrine;;;;;;;;;X
NPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;機甲突撃ドクトリン;Armored Spearhead Doctrine;;;;;;;;;X
NPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;軍備優先ドクトリン;Guns and Butter Doctrine;;;;;;;;;X
NPERSONALITY_OPEN_SEAS_DOCTRINE;外海ドクトリン;Open Seas Doctrine;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;決戦ドクトリン;Decisive Battle Doctrine;;;;;;;;;X
NPERSONALITY_POWER_PROJECTION_DOCTRINE;戦力投入ドクトリン;Power Projection Doctrine;;;;;;;;;X
NPERSONALITY_INDIRECT_APPROACH_DOCTRINE;間接接近ドクトリン;Indirect Approach Doctrine;;;;;;;;;X
NPERSONALITY_BASE_CONTROL_DOCTRINE;基地支配ドクトリン;Base Control Doctrine;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_DOCTRINE;制空権ドクトリン;Air Superiority Doctrine;;;;;;;;;X
NPERSONALITY_NAVAL_AVIATION_DOCTRINE;海軍支援ドクトリン;Naval Aviation Doctrine;;;;;;;;;X
NPERSONALITY_ARMY_AVIATION_DOCTRINE;陸軍支援ドクトリン;Army Aviation Doctrine;;;;;;;;;X
NPERSONALITY_CARPET_BOMBING_DOCTRINE;絨毯爆撃ドクトリン;Carpet Bombing Doctrine;;;;;;;;;X
NPERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE;立体集中攻撃ドクトリン;Vertical Envelopment Doctrine;;;;;;;;;X
NPERSONALITY_UNDISTINGUISHED_SUIT;平凡な政治家;Undistinguished Suit;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_PROPONENT;制空権重視;Air Superiority Proponent;;;;;;;;;X
NPERSONALITY_CORRUPT_KLEPTOCRAT;泥棒政治家;Corrupt Kleptocrat;;;;;;;;;X
NPERSONALITY_CROOKED_KLEPTOCRAT;ならず者政治家;Crooked Kleptocrat;;;;;;;;;X
NPERSONALITY_POWER_HUNGRY_DEMAGOGUE;権力に餓えた扇動家;Power-Hungry Demagogue;;;;;;;;;X
NPERSONALITY_BARKING_BUFFOON;口先だけの道化者;Barking Buffoon;;;;;;;;;X
NPERSONALITY_STERN_IMPERIALIST;厳格な帝国主義者;Stern Imperialist;;;;;;;;;X
NPERSONALITY_RUTHLESS_POWERMONGER;権力の亡者;Ruthless Powermonger;;;;;;;;;X
NPERSONALITY_AUTOCRATIC_CHARMER;ワンマン政治家;Autocratic Charmer;;;;;;;;;X
NPERSONALITY_RESIGNED_GENERALISSIMO;引退した大元帥;Resigned Generalissimo;;;;;;;;;X
NPERSONALITY_BENEVOLENT_GENTLEMAN;高潔な紳士;Benevolent Gentleman;;;;;;;;;X
NPERSONALITY_WEARY_STIFF_NECK;臆病な頑固者;Weary Stiff-Neck;;;;;;;;;X
NPERSONALITY_INSIGNIFICANT_LAYMAN;無能な凡人;Insignificant Layman;;;;;;;;;X
NPERSONALITY_DIE_HARD_REFORMER;不屈の改革者;Die-Hard Reformer;;;;;;;;;X
NPERSONALITY_PIG_HEADED_ISOLATIONIST;強硬な孤立主義者;Pig-Headed Isolationist;;;;;;;;;X
NPERSONALITY_POPULAR_FIGUREHEAD;形のみの指導者;Popular Figurehead;;;;;;;;;X
NPERSONALITY_SILENT_WORKHORSE;寡黙な勤勉家;Silent Workhorse;;;;;;;;;X
NPERSONALITY_NAIVE_OPTIMIST;ナイーブな楽天家;Naive Optimist;;;;;;;;;X
NPERSONALITY_FLAMBOYANT_TOUGH_GUY;派手好きなタフガイ;Flamboyant Tough Guy;;;;;;;;;X
NPERSONALITY_HAPPY_AMATEUR;幸運な素人;Happy Amateur;;;;;;;;;X
NPERSONALITY_BACKROOM_BACKSTABBER;裏工作の達人;Backroom Backstabber;;;;;;;;;X
NPERSONALITY_SMILING_OILMAN;にこやかな石油王;Smiling Oilman;;;;;;;;;X
NPERSONALITY_OLD_GENERAL;元陸軍大将;Old General;;;;;;;;;X
NPERSONALITY_OLD_ADMIRAL;元海軍大将;Old Admiral;;;;;;;;;X
NPERSONALITY_OLD_AIR_MARSHAL;元空軍大将;old airmarshal;;;;;;;;;X
NPERSONALITY_POLITICAL_PROTEGE;権力者の腰ぎんちゃく;Political Protege;;;;;;;;;X
NPERSONALITY_AMBITIOUS_UNION_BOSS;野心に燃える元労働組合代表;Ambitious Union Boss;;;;;;;;;X
NPERSONALITY_CORPORATE_SUIT;元ビジネスマン;Corporate Suit;;;;;;;;;X
NPERSONALITY_OIL_BARON;石油王;Oil Baron;;;;;;;;;X
NPERSONALITY_STEEL_MAGNATE;鉄鋼王;Steel Magnate;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_CHEMIST;工業化学者;Industrial Chemist;;;;;;;;;X
NPERSONALITY_MEDIA_MAGNATE;メディア王;Media Magnate;;;;;;;;;X
NPERSONALITY_FOCH;反撃の天才;Counterattack Genius;;;;;;;;;X
NPERSONALITY_HINDENBURG;人気ある軍事指導者;Popular Military Leader;;;;;;;;;X
NPERSONALITY_CADORNA;頑固な規律家;Stubborn Disciplinarian;;;;;;;;;X
NPERSONALITY_BRUSILOV;革新的な攻撃司令官;Innovative Offensive General;;;;;;;;;X
NPERSONALITY_WILHELM_II;情け深い傀儡皇帝;Benevolent Puppet Kaiser;;;;;;;;;X
NPERSONALITY_NICHOLAS_II;専制君主;Despotic Autocrat;;;;;;;;;X
NPERSONALITY_CLEMENCEAU;猛虎;The Tiger;;;;;;;;;X
NPERSONALITY_FRANZ_JOSEPH_I;疲れ果てた老帝;Weary Old Emperor;;;;;;;;;X
NPERSONALITY_WILSON;民主主義の理想家;Democratic idealist;;;;;;;;;X
DPERSONALITY_NONE;なし;none;;;;;;;;;X
NPERSONALITY_GENERIC;一般閣僚;Generic minister;;;;;;;;;X
DPERSONALITY_GENERIC;『一般閣僚』は、何も個性を持っていません。他に使用すべき人材が誰もいない場合にどうぞ。;Used if no valid personality found;;;;;;;;;X
NPERSONALITY_LOCAL_TYRANT;地方の暴君;Local tyrant;;;;;;;;;X
DPERSONALITY_LOCAL_TYRANT;『地方の暴君』は鉄拳による恐怖で国家を支配します。限られた力しか持っていないので、めったに拡張主義的行為を行いません。彼は外国の独裁者から力を借りて、国家権力を掌握しようとしますが、それ避ける方法はありません。;Local tyrant rules his nation with iron-fisted terror. Due to his nation's limited power he rarely supports expansionist acts - in fact, he often owes his power to foreign dictator - but as for centralizing all the power in his country to his own hands, there are no ways to avoid.;;;;;;;;;X
DPERSONALITY_BIASED_INTELLECTUAL;『偏見を持った知識人』は洗練された学究の徒ですが、その豊富な学術的知識ゆえに、他の国家や国民に対して偏った見方をします。自分が気に入らない人々を攻撃する際には尊大な態度を取り、機知に富んだ弁舌の冴えを見せますが、一方で共感を覚える者に対しては、こびへつらうような態度をとる場合があります。;The Biased Intellectual is a refined academic intellectual, whose scholarly work has biased his judgment of other countries and people. The Biased Intellectual is often arrogant and witty about those he dislikes but fawning and ingratiating towards those he likes.;;;;;;;;;X
DPERSONALITY_IDEOLOGICAL_CRUSADER;『イデオロギーの闘士』は自己の政治信条の忠実なしもべを自認していますが、他者の目には過激な急進主義者と映ります。もしこの人物がファシストであれば、他のイデオロギーを軟弱で退廃的である、と批判するでしょう。民主主義者であれば、他の政治思想に迎合するよりは、むしろ敗戦の道を選ぶでしょう。共産主義者であれば、民主主義国は邪悪な資本主義者たちの集まりであり、さらにファシスト国家は邪悪なえせ資本主義者たちの集まりだと断じることでしょう。この人物は自分のイデオロギーに心酔しきっているため、この点に関しては一切他者の意見に耳を貸すことがありません。;The Ideological Crusader views himself as a devoted proponent of his political system, but to others he is an extremist. If a Fascist, he judges all non-Fascists as weak and decadent. If a Democrat, he would rather lose a war than comply with any demands from a non-Democrat. If a Communist, he views Democrats as evil capitalists and Fascists as evil pseudo-capitalists. When it comes to ideology it is impossible to argue with him since he has already found his salvation.;;;;;;;;;X
DPERSONALITY_APOLOGETIC_CLERK;『小心な官吏』は頭脳明晰な人物である場合も多いのですが、意志の弱さ、あるいは自国の政治体制に対する疑念から、優柔不断な態度をとりがちです。ときには『小心な官吏』は、自国の政治体制の正しさを信じつつも、戦争の勝敗について悲観的な人物である場合もあります。;The Apologetic Clerk is often a brilliant man, but either lacks inner strength or is so filled with doubt over the political system of his own country that he can seldom stay consistent. An Apologetic Clerk might also be a man who truly believes in the righteousness of his political system, but unfortunately also believes that the other side will win the war.;;;;;;;;;X
DPERSONALITY_IRON_FISTED_BRUTE;『冷酷非道』な人物は、軍または政党の中で地道に経験を積んだ叩き上げです。この人物にとって世界には敵か味方しかおらず、弱肉強食の論理が世界を支配しています。ときに野蛮な性格をあらわにし、反社会的な手段を用いることもいとわない彼は、一片の情けも容赦もなく政策を推し進めます。;The Iron-Fisted Brute is a simple man who has risen through the ranks of the military or the party. He views the world in black and white: those who eat and those who are eaten. Often brutish and sometimes a sociopath, the Iron-Fisted Brute makes policies without remorse.;;;;;;;;;X
DPERSONALITY_GREAT_COMPROMISER;『調停の達人』は気さくで温厚な人柄で、多くの人々に好かれます。年輪を重ねた賢者タイプであることが多く、外交の世界での豊富な経験を活かして、如才なく物事を進めます。この人物は長続きする友好関係を築いたり、さまざまな意見をひとつにまとめて共通の目標へと向かわせたりすることに長けています。;The Great Compromiser is an easy-going and amiable fellow liked by most. Often he is a sage-like old man and a professional diplomat with many years of service, tactful and experienced. He has the ability to forge lasting friendships and to bind the wills of many into one, striving towards the same goal.;;;;;;;;;X
DPERSONALITY_GENERAL_STAFFER;『参謀タイプ』は元軍人であり、おそらくは参謀本部で戦略を説いていた人物なのでしょう。彼は今、かつて「趣味」として関心を寄せていた外交の世界に身を置いています。物の見方は軍人時代から変わっておらず、軍事力こそが外交を制するカギだと信じています。そのため、ときには単刀直入で意外性がなく、退屈な人物とみなされる場合もあります。;The General Staffer is a former military man, perhaps a former teacher of strategy in the General Staff. He has now resettled in the field of Foreign Affairs, a subject that was always his 'hobby'. The General Staffer most likely follows his old military notion of politics and is focused on diplomacy through military might. However, by doing that, the General Staffer is often deemed a simple-minded man, lacking in imagination and boring.;;;;;;;;;X
DPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;『謀略家』は秘密を好む人物で、奇略を駆使し、常に敵の弱みにつけいる隙を狙っています。諜報機関で活躍した過去を持っている場合も多く、そのことが狡猾さと秘密主義に拍車をかけています。この手のタイプは、それほど外交手腕に優れているわけではないのですが、意表をつく動きで最後に勝利を手にすることもしばしばです。;The Cloak-and-Dagger Schemer is a secretive person. He prefers unorthodox plans and constantly seeks weaknesses to exploit among his slower victims. Often the Cloak-and-Dagger Schemer has a background in the Secret Service and that experience makes him sly and uninformative. Basically the Cloak-and-Dagger Schemer is not a great diplomat but he is so unpredictable that in the end he often gets what he wants.;;;;;;;;;X
DPERSONALITY_ADMINISTRATIVE_GENIUS;『天才的実務家』は勤勉な性格で、継戦能力を高めるために、与えられた人員と最新の理論を最大限に活用します。若い技術者または科学者である場合が多く、慣習にとらわれない自由な発想をすることができます。公平で客観的な視点を維持することで、より多くの人に利益がもたらされるよう、努力を怠りません。;The Administrative Genius is an ardent laborer, who uses his personnel and modern techniques to the utmost to improve the war effort. The Administrative Genius is often a young engineer or scientist, free-thinking and innovative. He always tries to be 'objective' and 'impartial' to further the common good.;;;;;;;;;X
DPERSONALITY_RESOURCE_INDUSTRIALIST;『鉱山企業家タイプ』は重工業の世界から国の産業政策担当として登用された民間人です。彼は故郷の炭鉱を経営するのと同じ要領で国政を運営し、産業の基盤整備と拡張に努めます。組織をまとめる力は相当なものですが、軍需産業に関する細かい知識はやや不足しています。;The Resource Industrialist is usually a civilian from the heavy industry sector who has been appointed to govern the nation's industrial efforts. He always tries to run the country as he would the coal mine back home, improving and expanding its base. As such he is a great organizer, but he sometimes tends to neglect the finer points of the armaments industry.;;;;;;;;;X
DPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;『自由放任主義者』は市場経済の専門家です。この人物は、戦時中であろうとなかろうと、政府による介入は最小限に留め、古典的な「見えざる手」の調節機能に任せたほうが経済はより発展するという信念の持ち主です。;The Laissez-Faire Capitalist is a specialist in market economics. It is his firmest opinion that little government intervention is needed, but that the good old invisible hand will best direct the resources of the Nation, war or no war.;;;;;;;;;X
